Protein,AT1G69770,WT
AT1G69770,159,0
AT5G49160,26,0
AT1G01320,23,0
AT2G47980,22,0
AT1G26540,21,0
AT3G62700,20,0
AT1G05910,19,0
AT2G04235,17,0
AT5G19820,15,0
AT4G30610,15,0
AT3G23300,15,0
AT3G10490,15,0
AT3G02200,15,0
AT5G18750,14,0
AT3G29320,14,0
AT3G16290,14,0
AT1G73100,14,0
AT5G58100,13,0
AT5G40270,13,0
AT5G04940,13,0
AT4G03550,13,0
AT3G48870,13,0
AT3G01320,13,0
AT1G10670,13,0
AT5G59870,12,0
AT5G45140,12,0
AT5G23400,12,0
AT5G17020,12,0
AT4G26870,12,0
AT4G24220,12,0
AT3G57660,12,0
AT3G04260,12,0
AT2G35630,12,0
AT1G61000,12,0
AT1G02150,12,0
AT5G64360,11,0
AT5G63420,11,0
AT5G62790,11,0
AT5G51300,11,0
AT5G44400,11,0
AT5G16990,11,0
AT5G02790,11,0
AT4G23600,11,0
AT4G11820,11,0
AT3G54630,11,0
AT3G53700,11,0
AT3G48670,11,0
AT3G13670,11,0
AT3G12280,11,0
AT3G01460,11,0
AT2G35840,11,0
AT2G30470,11,0
AT1G75350,11,0
AT1G63780,11,0
AT1G15930,11,0
AT5G65720,10,0
AT5G64610,10,0
AT5G22010,10,0
AT5G19370,10,0
AT5G16290,10,0
AT5G15920,10,0
AT5G13450,10,0
AT5G11490,10,0
AT5G01400,10,0
AT4G00450,10,0
AT3G60190,10,0
AT3G59040,10,0
AT3G51000,10,0
AT3G18000,10,0
AT3G16110,10,0
AT3G14415,10,0
AT3G10570,10,0
AT1G55325,10,0
AT1G48090,10,0
AT1G27190,10,0
AT1G02890,10,0
AT5G58060,9,0
AT5G56900,9,0
AT5G50310,9,0
AT5G18410,9,0
AT5G13300,9,0
AT5G12250,9,0
AT5G06870,9,0
AT4G33650,9,0
AT4G33250,9,0
AT4G26900,9,0
AT4G14030,9,0
AT4G03190,9,0
AT3G57990,9,0
AT3G49840,9,0
AT3G43300,9,0
AT3G14840,9,0
AT3G08850,9,0
AT3G06340,9,0
AT3G04790,9,0
AT2G39900,9,0
AT2G17510,9,0
AT1G80480,9,0
AT1G78240,9,0
AT1G76880,9,0
AT1G75990,9,0
AT1G73370,9,0
AT1G52930,9,0
AT1G30530,9,0
AT1G13120,9,0
AT1G01370,9,0
AT5G65940,8,0
AT5G65930,8,0
AT5G63950,8,0
AT5G62350,8,0
AT5G61970,8,0
AT5G58140,8,0
AT5G45620,8,0
AT5G42240,8,0
AT5G38430,8,0
AT5G16750,8,0
AT5G14450,8,0
AT5G14030,8,0
AT4G33760,8,0
AT4G27430,8,0
AT4G17620,8,0
AT4G11220,8,0
AT4G00620,8,0
AT3G59760,8,0
AT3G58660,8,0
AT3G57560,8,0
AT3G49600,8,0
AT3G18820,8,0
AT3G13350,8,0
AT3G12380,8,0
AT3G04760,8,0
AT3G03710,8,0
AT2G48160,8,0
AT2G41790,8,0
AT2G38560,8,0
AT2G28910,8,0
AT1G73180,8,0
AT1G65980,8,0
AT1G59870,8,0
AT1G43890,8,0
AT1G31230,8,0
AT1G30400,8,0
AT1G18270,8,0
AT1G14620,8,0
AT1G11910,8,0
AT1G10270,8,0
AT1G04270,8,0
AT1G01910,8,0
ATCG00820,7,0
AT5G61000,7,0
AT5G59380,7,0
AT5G52530,7,0
AT5G49210,7,0
AT5G48620,7,0
AT5G48600,7,0
AT5G47200,7,0
AT5G35160,7,0
AT5G22580,7,0
AT5G20280,7,0
AT5G17690,7,0
AT5G14250,7,0
AT5G13680,7,0
AT5G13110,7,0
AT5G03300,7,0
AT4G38350,7,0
AT4G31210,7,0
AT4G30210,7,0
AT4G21180,7,0
AT4G14570,7,0
AT4G13750,7,0
AT4G12800,7,0
AT4G10730,7,0
AT4G04920,7,0
AT4G04720,7,0
AT4G01800,7,0
AT3G61130,7,0
AT3G58110,7,0
AT3G44340,7,0
AT3G19340,7,0
AT3G18860,7,0
AT3G13150,7,0
AT3G12810,7,0
AT3G02260,7,0
AT2G47230,7,0
AT2G37690,7,0
AT2G32260,7,0
AT2G31960,7,0
AT2G28390,7,0
AT2G26780,7,0
AT2G25355,7,0
AT2G04865,7,0
AT2G02090,7,0
AT1G80360,7,0
AT1G67120,7,0
AT1G63810,7,0
AT1G59890,7,0
AT1G53430,7,0
AT1G43850,7,0
AT1G31730,7,0
AT1G26830,7,0
AT1G25211,7,0
AT1G23900,7,0
AT1G15130,7,0
AT1G09010,7,0
AT1G08130,7,0
ATCG00650,6,0
AT5G65950,6,0
AT5G65750,6,0
AT5G65540,6,0
AT5G64030,6,0
AT5G62410,6,0
AT5G61460,6,0
AT5G59420,6,0
AT5G57460,6,0
AT5G56740,6,0
AT5G56290,6,0
AT5G55820,6,0
AT5G54260,6,0
AT5G45600,6,0
AT5G42100,6,0
AT5G28900,6,0
AT5G28500,6,0
AT5G18420,6,0
AT5G16960,6,0
AT5G16690,6,0
AT5G16510,6,0
AT5G10840,6,0
AT5G08620,6,0
AT5G08540,6,0
AT5G08100,6,0
AT5G06600,6,0
AT5G04885,6,0
AT5G04420,6,0
AT4G32260,6,0
AT4G30200,6,0
AT4G30010,6,0
AT4G27910,6,0
AT4G27585,6,0
AT4G24330,6,0
AT4G19610,6,0
AT4G12590,6,0
AT4G09960,6,0
AT4G05160,6,0
AT4G04890,6,0
AT3G63260,6,0
AT3G61140,6,0
AT3G57890,6,0
AT3G55110,6,0
AT3G54440,6,0
AT3G51120,6,0
AT3G49250,6,0
AT3G49000,6,0
AT3G45010,6,0
AT3G44680,6,0
AT3G16370,6,0
AT3G15090,6,0
AT3G09090,6,0
AT2G47940,6,0
AT2G43970,6,0
AT2G38610,6,0
AT2G36910,6,0
AT2G35040,6,0
AT2G33380,6,0
AT2G31660,6,0
AT2G22400,6,0
AT2G21440,6,0
AT2G20340,6,0
AT2G19940,6,0
AT2G16950,6,0
AT1G79920,6,0
AT1G79000,6,0
AT1G78680,6,0
AT1G76140,6,0
AT1G70830,6,0
AT1G67680,6,0
AT1G63640,6,0
AT1G54080,6,0
AT1G53050,6,0
AT1G51760,6,0
AT1G35580,6,0
AT1G30470,6,0
AT1G26320,6,0
AT1G24310,6,0
AT1G16340,6,0
AT1G14810,6,0
AT1G11890,6,0
AT1G09320,6,0
AT1G08980,6,0
AT1G04530,6,0
AT1G04430,6,0
AT1G04110,6,0
ATMG00285,5,0
ATCG01010,5,0
AT5G65630,5,0
AT5G64420,5,0
AT5G64050,5,0
AT5G63110,5,0
AT5G60990,5,0
AT5G57020,5,0
AT5G56350,5,0
AT5G55130,5,0
AT5G54960,5,0
AT5G54600,5,0
AT5G54440,5,0
AT5G54430,5,0
AT5G48160,5,0
AT5G44070,5,0
AT5G43900,5,0
AT5G42570,5,0
AT5G38830,5,0
AT5G38690,5,0
AT5G23535,5,0
AT5G23250,5,0
AT5G15610,5,0
AT5G12400,5,0
AT5G12080,5,0
AT5G10920,5,0
AT5G10270,5,0
AT5G08630,5,0
AT5G08550,5,0
AT5G08020,5,0
AT5G07990,5,0
AT5G07300,5,0
AT5G04320,5,0
AT5G03540,5,0
AT5G03350,5,0
AT4G38760,5,0
AT4G37130,5,0
AT4G33790,5,0
AT4G33030,5,0
AT4G32970,5,0
AT4G14920,5,0
AT4G01690,5,0
AT4G00900,5,0
AT4G00740,5,0
AT3G61650,5,0
AT3G54930,5,0
AT3G52380,5,0
AT3G49560,5,0
AT3G48750,5,0
AT3G48210,5,0
AT3G21750,5,0
AT3G18480,5,0
AT3G17820,5,0
AT3G16400,5,0
AT3G11170,5,0
AT3G10480,5,0
AT3G10280,5,0
AT3G08780,5,0
AT3G03305,5,0
AT3G03140,5,0
AT3G02870,5,0
AT3G01410,5,0
AT3G01160,5,0
AT2G47970,5,0
AT2G43910,5,0
AT2G42810,5,0
AT2G42220,5,0
AT2G42120,5,0
AT2G40730,5,0
AT2G38020,5,0
AT2G29450,5,0
AT2G27110,5,0
AT2G25930,5,0
AT2G25760,5,0
AT2G25080,5,0
AT2G24420,5,0
AT2G19080,5,0
AT2G19070,5,0
AT2G07560,5,0
AT2G04842,5,0
AT2G04350,5,0
AT2G04280,5,0
AT1G79870,5,0
AT1G79850,5,0
AT1G79050,5,0
AT1G78210,5,0
AT1G78040,5,0
AT1G76440,5,0
AT1G74690,5,0
AT1G74260,5,0
AT1G73960,5,0
AT1G73460,5,0
AT1G73240,5,0
AT1G70310,5,0
AT1G65650,5,0
AT1G64980,5,0
AT1G55020,5,0
AT1G54990,5,0
AT1G53210,5,0
AT1G52500,5,0
AT1G48050,5,0
AT1G36050,5,0
AT1G30820,5,0
AT1G30680,5,0
AT1G29030,5,0
AT1G25350,5,0
AT1G22530,5,0
AT1G22200,5,0
AT1G21200,5,0
AT1G18560,5,0
AT1G18150,5,0
AT1G17790,5,0
AT1G17690,5,0
AT1G17470,5,0
AT1G13980,5,0
AT1G12230,5,0
AT1G11430,5,0
AT1G10930,5,0
AT1G09430,5,0
AT1G08450,5,0
AT1G07440,5,0
AT1G06770,5,0
AT1G06670,5,0
AT1G04710,5,0
AT1G04190,5,0
AT1G03160,5,0
AT1G01100,5,0
ATCG01300,4,0
ATCG01230,4,0
ATCG00780,4,0
AT5G67385,4,0
AT5G67380,4,0
AT5G67030,4,0
AT5G66120,4,0
AT5G64910,4,0
AT5G63610,4,0
AT5G63260,4,0
AT5G63200,4,0
AT5G63190,4,0
AT5G57290,4,0
AT5G56950,4,0
AT5G55040,4,0
AT5G53180,4,0
AT5G53170,4,0
AT5G51820,4,0
AT5G51570,4,0
AT5G46700,4,0
AT5G45420,4,0
AT5G45300,4,0
AT5G42980,4,0
AT5G41790,4,0
AT5G41670,4,0
AT5G39320,4,0
AT5G37310,4,0
AT5G26860,4,0
AT5G25265,4,0
AT5G24350,4,0
AT5G23575,4,0
AT5G23290,4,0
AT5G21950,4,0
AT5G20520,4,0
AT5G20350,4,0
AT5G19440,4,0
AT5G18580,4,0
AT5G18570,4,0
AT5G18520,4,0
AT5G16450,4,0
AT5G15980,4,0
AT5G15680,4,0
AT5G14430,4,0
AT5G13640,4,0
AT5G13380,4,0
AT5G11900,4,0
AT5G11340,4,0
AT5G11040,4,0
AT5G10540,4,0
AT5G08160,4,0
AT5G06460,4,0
AT5G06290,4,0
AT5G05100,4,0
AT5G03940,4,0
AT5G03160,4,0
AT5G02740,4,0
AT5G02560,4,0
AT5G02050,4,0
AT5G02030,4,0
AT5G01930,4,0
AT4G39480,4,0
AT4G39040,4,0
AT4G37760,4,0
AT4G36760,4,0
AT4G35860,4,0
AT4G32551,4,0
AT4G32250,4,0
AT4G29900,4,0
AT4G29700,4,0
AT4G28480,4,0
AT4G26370,4,0
AT4G24750,4,0
AT4G24060,4,0
AT4G21550,4,0
AT4G19020,4,0
AT4G17270,4,0
AT4G16370,4,0
AT4G16310,4,0
AT4G14420,4,0
AT4G14070,4,0
AT4G13360,4,0
AT4G11130,4,0
AT4G11120,4,0
AT4G10450,4,0
AT4G09010,4,0
AT4G04200,4,0
AT4G03560,4,0
AT4G02990,4,0
AT4G02450,4,0
AT4G02110,4,0
AT4G02020,4,0
AT4G01810,4,0
AT4G01000,4,0
AT3G62820,4,0
AT3G61260,4,0
AT3G60160,4,0
AT3G59820,4,0
AT3G59020,4,0
AT3G56990,4,0
AT3G56850,4,0
AT3G56130,4,0
AT3G55760,4,0
AT3G53610,4,0
AT3G53570,4,0
AT3G53180,4,0
AT3G51950,4,0
AT3G48170,4,0
AT3G48140,4,0
AT3G47930,4,0
AT3G27300,4,0
AT3G27240,4,0
AT3G25140,4,0
AT3G23700,4,0
AT3G23400,4,0
AT3G18210,4,0
AT3G17590,4,0
AT3G16620,4,0
AT3G16480,4,0
AT3G13120,4,0
AT3G13060,4,0
AT3G12120,4,0
AT3G12010,4,0
AT3G11450,4,0
AT3G11210,4,0
AT3G10370,4,0
AT3G07180,4,0
AT3G06910,4,0
AT3G06730,4,0
AT3G04980,4,0
AT3G02420,4,0
AT3G02320,4,0
AT3G01650,4,0
AT3G01090,4,0
AT2G46110,4,0
AT2G45240,4,0
AT2G44650,4,0
AT2G42690,4,0
AT2G41020,4,0
AT2G39770,4,0
AT2G39480,4,0
AT2G39020,4,0
AT2G38010,4,0
AT2G36720,4,0
AT2G35780,4,0
AT2G29080,4,0
AT2G28080,4,0
AT2G26900,4,0
AT2G24440,4,0
