Protein,AT1G30330,AT1G303301,AT1G43850,AT1G438501
AT1G80070,147,229,172,214
ATCG00490,95,211,107,100
AT1G20960,139,181,179,188
AT5G62700,61,159,100,90
AT5G26000,69,154,79,82
AT5G52040,105,152,111,107
AT1G15750,71,148,90,86
AT1G30330,57,144,19,25
AT5G25980,70,136,93,86
AT3G11130,73,131,103,120
AT5G60390,63,120,84,88
AT1G52400,65,116,71,68
AT5G17920,50,114,76,76
AT1G65440,60,110,64,84
AT2G17930,19,109,103,156
AT5G02500,69,106,111,95
AT4G10320,77,102,88,74
AT3G44310,84,101,78,104
AT1G56070,62,99,79,91
ATCG01130,42,97,55,72
AT2G46020,47,96,84,124
AT4G10710,64,91,67,74
AT1G57720,65,88,94,77
AT1G71220,27,88,50,63
AT5G11170,69,87,68,69
AT2G18960,43,85,71,70
AT1G06220,62,81,81,69
AT4G13940,46,80,69,56
AT1G50010,31,80,57,62
AT5G56010,43,79,88,92
AT3G55220,49,78,67,66
AT3G45140,40,77,74,52
AT5G28540,72,75,94,77
AT3G14120,53,75,52,71
AT5G47690,29,75,37,56
AT1G79280,74,73,93,80
AT4G35800,56,73,79,79
AT4G21710,41,71,57,65
AT3G15730,33,71,47,48
AT3G19760,59,69,53,58
AT2G38770,41,67,55,62
AT1G62020,29,67,50,55
AT5G64270,60,66,63,76
AT5G08690,48,65,52,71
AT1G78900,32,65,62,57
AT3G52930,44,64,58,58
AT1G52030,29,64,46,52
AT3G06400,25,64,44,46
AT4G16180,25,63,42,32
AT1G78570,20,63,43,43
AT2G13540,56,62,47,50
AT3G08590,49,62,66,73
AT1G09770,48,62,53,65
AT5G15020,34,62,39,51
AT3G16830,21,62,34,33
AT2G05120,52,61,52,51
AT4G21150,40,61,38,46
AT1G12430,33,61,46,37
AT5G27030,29,60,46,39
AT4G35630,27,60,45,41
AT1G43170,45,59,59,57
AT2G20580,43,59,45,37
AT5G50920,41,59,53,48
AT2G28290,28,59,62,83
AT3G50670,62,58,60,75
AT1G21750,48,58,63,52
AT2G27100,75,57,78,76
AT3G04120,38,57,51,57
AT3G62300,42,56,44,39
ATCG00480,33,56,56,46
AT5G15270,51,55,39,49
AT3G06480,39,55,42,36
AT5G51200,25,55,29,48
AT1G36160,15,55,42,39
AT5G09810,49,54,60,64
AT3G46740,21,54,36,41
AT3G56150,7,53,26,29
AT5G35200,33,52,37,46
AT5G46070,31,52,36,55
AT2G27040,23,52,39,33
AT3G09840,22,52,52,47
AT3G19820,21,52,31,38
AT4G39680,46,51,40,61
AT1G30620,34,51,36,34
AT5G28740,48,50,45,58
AT1G80930,43,50,39,56
AT2G33340,36,50,36,36
AT2G17360,27,50,45,36
AT2G18790,26,50,42,50
AT5G63840,26,49,38,33
AT3G12145,29,48,36,31
AT1G65930,27,48,33,39
