Protein,LFQ intensity LHP1-B,LFQ intensity MSI1-A,LFQ intensity TPHD1-1-B,LFQ intensity TPHD1-2-B,LFQ intensity TPHD2-1-B,LFQ intensity TPHD2-2-A,LFQ intensity WT-1-B,LFQ intensity WT-2-B,AT5G17690,AT5G58230,AT4G35510,AT4G35510,AT2G17540,AT2G17540,WT,WT
AT4G35510,0,0,1175100000,850180000,0,0,0,0,0,0,180,111,1,0,0,0
AT5G67580,0,0,137820000,50136000,51530000,6900500,0,0,0,0,66,36,43,3,0,0
AT1G11910,0,0,511110000,640500000,0,0,0,0,0,0,41,36,1,0,0,0
AT3G11910,3630700,0,71329000,27725000,9452800,0,0,0,3,0,81,24,16,0,0,0
AT3G29410,0,0,39499000,23187000,38629000,10177000,15367000,0,0,0,38,23,46,6,4,0
AT4G24280,20245000,18327000,23930000,30928000,16517000,12179000,5655400,0,8,7,21,19,18,7,1,0
AT1G22950,0,0,324840000,209160000,54733000,0,0,0,0,0,32,19,16,4,0,0
AT3G49850,0,0,73052000,46696000,10943000,15526000,0,0,0,0,31,19,8,6,0,0
AT1G55490,5590800,24414000,41099000,26117000,41999000,21727000,0,0,2,3,25,18,22,5,1,0
AT1G49950,0,0,130930000,92841000,86241000,42109000,0,0,0,0,39,15,26,5,0,0
AT3G26650,0,0,35485000,16135000,22332000,11308000,0,0,0,0,23,15,17,4,1,0
AT5G11170,0,0,15553000,12128000,21787000,0,0,0,0,0,27,14,29,3,0,0
AT3G59970,0,0,41171000,21411000,48334000,22523000,20002000,0,0,0,28,13,41,6,2,0
ATCG00120,0,0,42459000,19239000,31183000,5434800,0,0,1,0,31,13,23,6,0,0
AT3G55870,0,0,11538000,11901000,15915000,0,0,0,1,0,14,12,15,1,2,0
AT3G09200,7639000,0,21276000,23874000,17343000,12299000,0,0,6,0,19,12,14,4,1,0
AT2G29560,0,0,10730000,10098000,6258400,0,0,0,2,0,6,12,10,0,1,0
AT2G19520,235680000,60266000,14861000,19702000,20047000,8601000,0,0,26,9,11,11,12,4,1,0
AT1G75940,0,0,10804000,27871000,14112000,21765000,0,0,1,1,7,11,5,4,0,0
AT5G02490,0,0,57023000,16703000,33370000,0,0,0,1,1,25,9,15,1,0,0
AT4G23920,0,0,18745000,8697100,21010000,4380900,0,0,0,0,14,9,13,3,1,0
AT3G25860,5499300,0,15405000,12253000,18032000,6685400,0,0,3,1,14,9,12,3,0,0
AT4G20850,0,0,2733000,3610700,2817600,0,0,0,0,1,6,9,11,1,0,0
AT5G09590,11288000,10715000,9169700,11696000,6652000,6337200,0,0,5,3,9,9,10,3,1,0
AT5G58230,342970000,7148800000,14102000,9352700,2035900,0,0,0,43,150,20,9,3,0,0,0
AT1G33140,0,0,14559000,6536400,15883000,6594000,0,0,0,1,13,8,20,1,2,0
AT5G58290,0,0,7901200,5333900,8174100,0,0,0,0,0,9,8,12,1,0,0
AT3G07110,7685900,0,8124900,16732000,11634000,10209000,0,0,5,1,7,8,9,2,1,0
AT1G48920,0,0,3582500,4134700,0,7162100,0,0,4,0,3,8,3,6,0,0
AT5G17690,14075000000,710090000,11533000,6982300,1431200,0,0,0,311,44,14,8,2,1,0,0
AT1G09640,0,0,20799000,10381000,19199000,0,0,0,0,0,14,7,22,2,1,0
AT1G18080,0,0,10710000,14123000,20776000,0,0,0,1,1,13,7,15,3,0,0
AT2G41530,10812000,0,12861000,13782000,19668000,15096000,0,0,6,2,6,7,10,5,1,0
AT3G16640,18493000,13451000,14354000,12446000,12634000,29457000,0,0,4,3,5,7,9,3,0,0
AT1G02500,0,0,26273000,22660000,28220000,0,0,0,2,0,7,7,5,1,1,0
AT5G11530,84518000,41219000,42213000,13669000,6853300,0,0,0,8,14,36,7,4,0,0,0
AT2G17410,0,0,6054300,9523300,0,0,0,0,0,0,7,7,3,0,0,0
AT4G04460,0,0,26583000,27326000,0,0,0,0,0,0,18,7,2,0,0,0
ATCG00800,0,0,22584000,10778000,0,0,0,0,1,0,15,7,2,1,0,0
AT3G03960,0,8650800,5817300,4500600,10736000,3492300,0,0,0,8,20,6,18,3,0,0
AT5G16070,0,11565000,9160200,3117200,14584000,0,0,0,0,2,13,6,17,0,0,0
AT3G60750,0,0,12104000,6838900,12872000,0,0,0,0,0,14,6,13,1,0,0
AT3G22110,0,0,24148000,11802000,37989000,10168000,0,0,0,1,12,6,13,4,0,0
AT1G11860,10348000,0,8929500,8595300,11469000,8207800,0,0,3,0,4,6,13,2,0,0
AT5G62300,0,0,5254500,4264800,8086300,0,0,0,0,1,8,6,12,1,0,0
AT1G23310,0,0,7947400,5701300,6493800,0,0,0,0,0,9,6,11,0,0,0
AT2G47730,0,5426600,6889400,11314000,14406000,26018000,0,0,2,5,8,6,11,10,1,0
