Protein,AT1G26540,AT1G26540,AT1G26540,AT1G26540,WT,WT
AT1G77270,0,0,77,83,2,0
AT5G22440,2,0,10,9,9,1
AT5G18000,0,0,9,9,0,0
AT5G60142,0,0,7,5,0,0
AT2G16570,1,0,5,3,0,0
AT1G74910,0,0,5,3,0,0
AT1G67730,0,0,5,3,0,0
AT5G63120,1,0,4,3,0,0
AT4G24830,1,0,4,3,0,0
AT1G30350,0,0,4,3,0,0
AT3G11964,2,0,4,0,0,0
AT1G07440,3,0,4,3,1,2
AT1G72810,7,0,4,1,2,0
AT1G20330,1,0,3,3,0,0
AT5G23610,0,0,3,3,0,0
AT1G11660,2,0,3,2,0,0
AT3G26560,1,0,3,2,0,0
AT3G06480,1,0,3,2,0,0
AT1G27450,1,0,3,2,0,0
AT5G18090,0,0,3,2,0,0
AT3G04260,3,0,3,1,0,0
AT3G02930,2,0,3,1,0,0
AT5G40650,1,0,3,1,0,0
AT5G13010,1,0,3,1,0,0
AT1G68590,1,0,3,1,0,0
AT5G10810,0,0,3,1,0,0
AT1G57750,0,0,3,1,0,0
AT5G19290,1,0,3,0,0,0
AT3G13350,1,0,3,0,0,0
AT3G07480,1,0,3,0,0,0
AT2G41140,1,0,3,0,0,0
AT1G18610,1,0,3,0,0,0
AT2G27820,4,0,3,1,1,0
AT3G52180,0,0,3,2,2,0
AT2G38660,7,0,3,2,2,2
AT1G66430,2,0,2,3,0,0
AT1G51760,1,0,2,3,0,0
AT5G41770,5,0,2,2,0,0
AT5G11490,1,0,2,2,0,0
AT3G47800,1,0,2,2,0,0
AT5G51110,0,0,2,2,0,0
AT4G14570,0,0,2,2,0,0
AT1G16340,0,0,2,2,0,0
AT5G28740,4,0,2,1,0,0
AT4G29830,3,0,2,1,0,0
AT4G28980,3,0,2,1,0,0
AT1G70820,3,0,2,1,0,0
AT4G39120,1,0,2,1,0,0
AT2G23740,1,0,2,1,0,0
AT5G01600,0,0,2,1,0,0
AT4G19150,0,0,2,1,0,0
AT4G13560,0,0,2,1,0,0
AT3G59650,0,0,2,1,0,0
AT3G57300,0,0,2,1,0,0
AT1G55150,0,0,2,1,0,0
AT1G16020,0,0,2,1,0,0
AT1G04870,3,0,2,0,0,0
AT3G09100,2,0,2,0,0,0
AT5G48030,1,0,2,0,0,0
AT5G42100,1,0,2,0,0,0
AT5G11040,1,0,2,0,0,0
AT1G12010,1,0,2,0,0,0
AT5G57110,0,0,2,0,0,0
AT1G25450,0,0,2,0,0,0
AT5G48960,0,0,2,0,0,1
AT5G46280,4,0,2,5,1,0
AT1G76810,4,0,2,2,1,0
AT1G69200,4,0,2,2,1,0
AT5G58100,2,0,2,2,1,0
AT4G02580,0,0,2,2,1,0
AT5G20060,0,0,2,2,1,1
AT1G17100,1,0,2,2,1,2
AT1G79750,2,0,2,1,1,0
AT3G12270,4,0,2,1,1,1
AT3G03590,0,0,2,0,1,0
AT3G28720,0,0,2,0,1,2
