Protein,WT,AT4G22745,WT,AT1G17770,WT,AT1G17770
AT1G17770,0,0,0,492,0,140
AT2G25560,0,0,0,60,0,21
AT1G62740,0,0,0,60,0,16
AT3G11910,8,0,1,62,0,16
AT5G67630,4,0,0,39,0,13
AT2G27040,3,0,1,22,0,12
AT1G09620,4,0,1,14,0,12
AT4G33010,13,0,0,38,0,11
AT4G23670,0,0,0,3,0,10
AT2G25170,0,0,0,51,0,10
AT1G79930,2,0,3,26,0,10
AT3G48730,0,0,0,8,0,9
AT1G76290,0,0,0,50,0,9
AT5G39570,0,0,3,7,0,8
AT3G13860,0,0,0,29,0,8
AT1G08600,0,0,0,41,0,8
AT2G21390,2,0,0,37,0,8
AT5G35630,6,1,2,13,0,8
AT5G22330,1,0,0,27,0,7
AT1G08520,12,0,1,18,0,7
AT2G23390,21,3,0,10,0,7
AT1G52400,29,8,1,57,0,7
AT3G13750,0,0,0,2,0,6
AT1G23740,0,0,0,5,0,6
AT1G21670,0,0,0,7,0,6
AT3G02360,0,0,0,9,0,6
AT1G72150,0,0,0,12,0,6
AT1G79440,1,6,0,5,0,6
AT3G18060,1,0,0,2,0,6
AT5G02240,1,0,0,9,0,6
AT1G62750,2,0,1,8,0,6
AT3G12110,2,0,2,9,0,6
AT3G60370,3,0,0,3,0,6
AT5G19440,3,0,0,4,0,6
AT3G44110,3,0,0,53,0,6
AT4G34200,3,0,5,7,0,6
AT2G21170,4,0,0,4,0,6
AT5G43010,5,0,1,19,0,6
AT2G29320,7,1,2,4,0,6
AT3G12580,8,3,0,17,0,6
AT3G12915,0,1,1,3,0,5
AT1G61720,0,0,1,5,0,5
AT4G37930,0,0,0,12,0,5
AT1G12270,0,0,0,15,0,5
AT4G24190,0,0,1,18,0,5
AT5G66420,1,0,0,4,0,5
AT4G05180,1,0,0,6,0,5
AT2G42590,2,0,1,1,0,5
AT2G47940,2,0,0,7,0,5
AT1G14000,2,0,2,2,0,5
AT3G58500,3,1,1,9,0,5
AT5G48180,3,0,0,0,0,5
AT3G54470,4,0,0,8,0,5
AT2G46280,5,0,0,13,0,5
AT3G14067,5,0,0,4,0,5
AT2G06850,6,1,0,8,0,5
AT5G09590,8,4,3,15,0,5
AT3G02110,12,2,0,4,0,5
AT1G65450,0,0,0,3,0,4
AT3G05420,0,0,0,4,0,4
AT1G45130,0,0,0,4,0,4
AT4G34490,0,0,3,5,0,4
AT5G26570,0,0,0,6,0,4
AT3G51800,0,0,0,7,0,4
AT3G42170,0,0,0,12,0,4
AT4G09020,1,0,0,2,0,4
AT2G05710,1,0,0,2,0,4
AT2G33210,1,0,0,5,0,4
AT4G29840,2,0,0,2,0,4
AT3G13470,2,0,0,2,0,4
AT5G65430,2,0,0,5,0,4
AT2G34810,2,0,0,5,0,4
AT3G09980,2,0,0,7,0,4
AT2G27020,2,0,0,8,0,4
AT4G34450,2,0,2,17,0,4
AT5G62790,2,0,0,2,0,4
AT1G35160,3,0,0,3,0,4
AT5G13420,3,0,0,4,0,4
AT1G65960,5,0,0,17,0,4
AT1G48630,6,0,0,12,0,4
AT5G19990,6,0,1,23,0,4
AT2G20760,6,0,0,8,0,4
AT4G09000,6,0,0,3,0,4
AT3G22110,8,2,1,9,0,4
ATCG00660,8,1,1,6,0,4
AT3G58610,10,1,2,15,0,4
AT5G52810,0,0,0,0,0,3
AT3G55400,0,0,0,1,0,3
AT5G25757,0,0,0,2,0,3
AT5G04590,0,0,0,2,0,3
AT1G48850,0,0,0,2,0,3
AT1G47710,0,0,0,2,0,3
AT4G24800,0,0,0,3,0,3
AT3G24480,0,0,0,3,0,3
AT3G08030,0,0,1,3,0,3
AT5G34850,0,0,0,4,0,3
AT2G44350,0,0,0,4,0,3
AT2G26080,0,0,0,4,0,3
AT5G16715,0,0,0,5,0,3
AT4G16130,0,0,0,5,0,3
AT2G41790,0,0,0,5,0,3
AT1G80460,0,0,0,6,0,3
AT5G21150,0,0,0,8,0,3
AT4G21630,0,0,0,8,0,3
AT1G01730,0,0,0,8,0,3
AT4G38510,0,0,0,9,0,3
AT1G12900,0,0,3,9,0,3
AT1G29880,0,0,0,10,0,3
AT1G65150,0,0,0,13,0,3
AT3G05530,0,0,0,16,0,3
AT5G06600,0,0,0,23,0,3
AT2G40840,1,0,0,3,0,3
AT4G38740,1,0,0,5,0,3
AT4G10840,1,0,0,7,0,3
AT5G24420,1,0,0,8,0,3
AT5G13930,1,0,4,11,0,3
AT5G22060,1,0,0,12,0,3
AT4G05420,1,0,0,13,0,3
ATCG00750,2,1,1,3,0,3
AT5G47210,2,0,0,2,0,3
AT5G43830,2,0,0,2,0,3
AT2G17265,2,0,0,2,0,3
AT3G62030,2,0,1,2,0,3
AT4G20890,2,0,0,3,0,3
AT3G02520,2,0,0,3,0,3
AT3G25220,2,0,0,4,0,3
AT2G43750,2,0,0,4,0,3
AT1G12000,2,0,0,6,0,3
AT3G58140,2,0,0,7,0,3
AT3G51240,2,0,1,7,0,3
AT3G53110,3,0,0,6,0,3
AT1G53750,4,0,2,26,0,3
AT3G52990,4,0,0,12,0,3
AT5G13520,4,0,0,7,0,3
AT3G54050,4,0,0,4,0,3
AT1G76010,5,2,1,6,0,3
AT3G53750,5,1,1,8,0,3
AT4G38630,5,0,2,4,0,3
AT5G63840,5,0,1,8,0,3
AT1G68560,5,0,0,11,0,3
AT3G25520,6,0,0,6,0,3
AT3G48930,8,6,0,4,0,3
AT5G65780,10,3,0,6,0,3
AT5G36880,13,2,0,11,0,3
AT5G35360,13,0,0,16,0,3
AT5G08690,26,10,0,25,0,3
AT5G10300,0,0,0,0,0,2
AT3G48580,0,0,0,0,0,2
AT2G30860,0,0,0,0,0,2
AT2G24940,0,0,0,0,0,2
AT1G75270,0,0,0,0,0,2
AT1G04130,0,0,0,0,0,2
AT5G49360,0,0,0,1,0,2
AT5G45280,0,0,0,1,0,2
AT5G27450,0,0,0,1,0,2
AT4G34260,0,0,0,1,0,2
AT4G23820,0,0,0,1,0,2
AT3G63190,0,0,0,1,0,2
AT3G59990,0,0,0,1,0,2
AT1G78680,0,0,0,1,0,2
AT1G09830,0,0,0,1,0,2
AT2G45220,0,0,0,2,0,2
AT2G38730,0,0,0,2,0,2
AT1G25350,0,0,0,2,0,2
AT5G49650,0,0,0,3,0,2
AT3G05000,0,0,0,3,0,2
AT2G36390,0,0,0,3,0,2
AT1G64980,0,0,0,3,0,2
AT1G62390,0,0,0,3,0,2
AT5G09660,0,0,1,3,0,2
AT1G73600,0,0,1,3,0,2
AT5G57870,0,0,0,4,0,2
AT1G72550,0,0,0,4,0,2
AT1G70410,0,0,0,4,0,2
AT1G06550,0,0,0,4,0,2
AT1G15950,0,0,1,4,0,2
AT2G47470,0,0,3,4,0,2
AT4G12890,0,0,0,5,0,2
AT3G51260,0,0,0,5,0,2
AT4G31300,0,0,0,6,0,2
AT4G29060,0,0,0,6,0,2
AT1G02930,0,0,0,6,0,2
AT4G27440,0,0,0,9,0,2
AT1G18500,0,0,0,9,0,2
AT2G42810,0,0,0,11,0,2
AT5G56030,0,0,0,13,0,2
AT1G62020,0,0,0,13,0,2
AT5G03920,0,0,0,23,0,2
AT5G25270,0,0,1,27,0,2
AT5G65683,1,0,0,0,0,2
AT5G05270,1,0,0,0,0,2
AT5G03300,1,0,0,0,0,2
AT5G56360,1,0,0,1,0,2
AT5G07470,1,0,0,1,0,2
AT1G45000,1,0,0,1,0,2
AT3G49680,1,0,0,2,0,2
AT2G13540,1,0,0,2,0,2
AT1G54220,1,0,0,3,0,2
AT3G14310,1,0,0,4,0,2
AT3G10850,1,0,0,4,0,2
AT3G52200,1,0,0,5,0,2
AT1G50200,1,0,0,5,0,2
AT4G34870,1,0,0,6,0,2
AT5G56680,1,0,0,7,0,2
AT2G42600,1,0,1,7,0,2
AT3G53420,1,0,0,9,0,2
AT1G22410,1,0,0,9,0,2
AT5G48880,1,0,2,14,0,2
ATCG00810,1,0,0,3,0,2
AT1G20220,2,1,0,1,0,2
AT4G26910,2,0,0,0,0,2
AT2G47730,2,0,2,0,0,2
AT3G16400,2,0,0,1,0,2
AT1G30620,2,0,0,1,0,2
AT1G16970,2,0,0,1,0,2
AT3G56150,2,0,0,2,0,2
AT2G27720,2,0,0,2,0,2
AT2G43710,2,0,0,3,0,2
AT1G17290,2,0,2,6,0,2
AT5G09900,2,0,1,7,0,2
AT3G01340,2,0,0,3,0,2
AT4G02930,2,0,0,6,0,2
AT4G35100,3,3,1,6,0,2
AT5G45775,3,1,0,4,0,2
AT2G30200,3,0,0,1,0,2
AT1G48920,3,0,0,1,0,2
AT1G30120,3,0,0,6,0,2
AT1G24360,3,0,0,6,0,2
AT3G63460,3,0,2,14,0,2
AT4G09570,3,0,0,2,0,2
AT3G06720,3,0,0,6,0,2
AT3G47520,4,1,0,5,0,2
AT2G19540,4,0,0,3,0,2
AT2G13560,4,0,0,3,0,2
AT4G34360,4,0,0,6,0,2
AT1G15690,5,3,0,13,0,2
AT4G04640,5,0,0,9,0,2
AT5G09650,5,0,3,2,0,2
AT2G34420,6,3,2,4,0,2
AT5G37720,6,1,0,1,0,2
AT1G05460,6,0,0,9,0,2
AT1G69620,6,0,0,3,0,2
AT2G31610,7,2,3,15,0,2
AT3G14210,7,1,0,4,0,2
AT5G25460,8,1,0,3,0,2
AT5G65750,9,0,1,4,0,2
AT2G01250,14,3,0,11,0,2
AT1G72370,15,4,1,21,0,2
AT5G63570,0,0,0,1,0,1
AT5G59810,0,0,0,1,0,1
AT5G19180,0,0,0,1,0,1
AT5G11670,0,0,0,1,0,1
AT4G39210,0,0,0,1,0,1
AT4G26760,0,0,0,1,0,1
AT3G48420,0,0,0,1,0,1
AT2G35020,0,0,0,1,0,1
AT2G27860,0,0,0,1,0,1
AT2G20420,0,0,0,1,0,1
AT2G16940,0,0,0,1,0,1
AT1G79870,0,0,0,1,0,1
AT1G70830,0,0,0,1,0,1
AT1G65260,0,0,0,1,0,1
AT1G60940,0,0,0,1,0,1
AT1G29965,0,0,0,1,0,1
AT1G29670,0,0,0,1,0,1
AT1G22920,0,0,0,1,0,1
AT1G14520,0,0,0,1,0,1
AT1G01560,0,0,0,1,0,1
AT5G54160,0,0,0,2,0,1
AT5G42800,0,0,0,2,0,1
AT4G35260,0,0,0,2,0,1
AT4G21580,0,0,0,2,0,1
AT4G15210,0,0,0,2,0,1
AT3G25230,0,0,0,2,0,1
AT3G14930,0,0,0,2,0,1
AT3G08943,0,0,0,2,0,1
AT2G31390,0,0,0,2,0,1
AT2G30870,0,0,0,2,0,1
AT2G28470,0,0,0,2,0,1
AT2G22780,0,0,0,2,0,1
AT1G80560,0,0,0,2,0,1
AT1G52340,0,0,0,2,0,1
AT1G12050,0,0,0,2,0,1
AT1G10760,0,0,0,2,0,1
AT1G09020,0,0,0,2,0,1
AT4G26900,0,0,1,2,0,1
AT1G48050,0,0,1,2,0,1
AT4G16760,0,0,0,3,0,1
AT4G11260,0,0,0,3,0,1
AT4G00570,0,0,0,3,0,1
AT3G48000,0,0,0,3,0,1
AT3G10740,0,0,0,3,0,1
AT3G02780,0,0,0,3,0,1
AT2G17380,0,0,0,3,0,1
AT1G56450,0,0,0,3,0,1
