Protein,WT,WT.1,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT3G44310,538,539,562,634,549,616
AT5G02490,71,48,200,684,195,176
AT1G17770,0,0,187,448,4,2
AT5G52040,191,125,184,153,25,197
AT3G15730,144,143,158,167,120,225
AT3G08590,95,88,121,132,150,112
AT1G19480,113,104,115,130,117,135
AT1G61850,81,75,98,89,20,112
AT1G48120,63,64,85,78,69,92
AT3G44690,77,70,77,61,13,111
AT5G02500,28,30,76,127,48,52
ATCG00490,85,52,74,111,103,101
AT2G29550,38,32,70,121,51,68
AT4G35630,72,52,69,83,71,72
AT2G29560,73,67,65,74,31,82
AT2G39730,37,37,48,83,56,47
AT1G71080,44,56,46,40,52,51
AT5G56030,12,10,46,100,49,36
AT5G09810,24,49,44,66,52,55
AT1G56070,35,36,44,81,47,55
AT3G44320,32,34,44,56,44,48
AT1G20620,34,37,43,38,29,41
AT5G28540,26,30,41,53,42,49
AT3G11130,28,27,39,51,19,55
AT1G43170,32,22,38,41,36,45
AT2G39800,35,46,38,36,33,55
AT2G28000,13,20,37,60,30,33
AT1G52570,23,23,35,31,29,48
AT3G09630,24,28,33,34,33,37
AT4G14960,28,29,31,49,45,45
AT3G09440,13,14,31,54,20,28
AT5G35200,26,23,31,36,15,38
AT4G33680,25,35,30,25,35,43
AT4G37800,21,28,29,29,18,23
AT2G25560,0,0,29,44,0,0
AT3G13470,9,15,28,68,32,26
AT1G52400,16,25,28,19,22,30
AT4G20850,12,8,27,21,35,30
AT5G46810,18,16,25,23,35,35
AT3G44300,22,17,25,30,32,24
AT3G13490,15,16,25,21,29,30
AT5G38420,26,22,25,31,27,28
AT2G17630,38,29,25,30,27,30
AT3G23600,19,23,25,23,23,26
AT3G23990,4,4,24,61,113,81
AT1G20020,17,18,24,21,22,28
AT1G08360,16,15,24,23,21,26
AT5G17920,17,14,24,24,21,20
AT5G26742,18,22,24,23,11,50
AT5G62700,23,19,23,34,26,27
AT3G25860,16,15,23,21,24,30
AT3G09820,26,23,23,29,24,25
AT5G24420,17,21,23,29,23,28
AT4G31990,17,12,23,17,19,23
AT3G13920,15,13,23,29,17,24
AT5G22060,2,1,23,48,7,11
AT5G11710,16,22,22,22,17,28
AT5G25980,13,9,22,19,14,22
AT2G25170,0,0,22,79,1,2
AT1G62740,0,0,22,79,0,0
AT3G17390,24,21,21,31,33,34
AT4G24280,12,24,21,54,26,31
AT1G42970,11,11,21,21,24,27
AT3G62870,23,20,21,17,19,28
AT1G74060,15,22,21,15,17,20
AT1G64880,19,20,21,10,11,25
AT1G08600,0,0,21,28,0,0
AT2G18020,20,23,20,18,29,28
AT3G55800,18,17,20,23,26,22
AT3G18780,9,21,20,24,25,20
AT3G04120,8,13,20,19,21,18
AT5G24780,19,15,20,21,21,27
AT3G62250,8,8,20,34,17,23
AT4G10320,12,17,20,25,15,28
AT5G26710,9,12,19,16,26,17
AT4G35090,12,14,19,27,23,18
AT3G55410,7,9,19,14,19,22
AT5G27850,21,19,19,18,15,19
AT5G26000,12,16,18,23,34,23
AT4G38970,15,12,18,14,29,25
AT3G09840,8,6,18,30,22,24
AT1G23310,11,7,18,29,21,23
AT3G52930,14,16,18,20,21,25
AT5G39280,12,10,18,14,19,12
AT5G11200,14,11,18,13,19,20
AT5G63110,12,9,18,17,6,18
AT1G33960,0,0,18,0,0,0
AT5G36160,23,24,17,26,29,29
AT1G04410,13,17,17,21,23,27
AT5G35630,6,6,17,15,17,12
AT4G25130,14,14,16,10,15,15
AT2G32080,14,15,16,17,14,14
AT5G06600,3,0,16,68,7,11
AT5G60100,22,27,16,17,7,32
AT4G09000,15,15,15,19,28,16
AT1G07890,26,21,15,22,26,25
AT1G60710,10,13,15,13,22,25
AT3G49010,22,16,15,22,19,15
AT3G13930,9,13,15,13,17,12
AT3G26650,10,10,15,16,16,12
AT5G06850,15,12,15,11,12,15
AT1G08520,10,16,15,22,7,22
AT4G23670,16,17,14,12,29,19
AT5G49460,4,6,14,17,21,16
AT1G67090,20,12,14,18,19,16
AT3G09200,7,11,14,15,18,20
AT1G14320,19,13,14,16,17,20
AT3G53020,10,13,14,14,16,19
AT4G21280,13,14,14,14,13,15
AT3G01500,13,10,13,15,29,18
AT1G09340,11,7,13,12,27,18
AT2G36880,8,9,13,18,21,17
AT4G16155,13,13,13,15,21,23
AT1G26630,15,6,13,12,21,12
AT4G12960,13,12,13,12,17,15
AT5G20010,6,10,13,16,16,14
AT3G05530,6,4,13,50,14,15
AT2G34480,10,4,13,8,12,11
AT1G02780,8,7,13,11,10,7
AT2G38040,3,2,13,23,9,18
AT5G60790,3,3,13,24,9,14
AT5G67630,1,2,13,44,3,4
AT4G29270,9,13,12,15,23,10
AT5G62790,6,8,12,4,21,13
AT3G03960,4,4,12,46,14,21
AT5G19550,5,12,12,10,14,16
AT2G27710,8,8,12,11,14,12
AT1G34430,9,13,12,13,14,14
AT5G10360,8,11,12,12,13,17
AT3G24830,11,10,12,11,13,15
ATCG01310,12,12,12,18,13,20
AT3G11630,2,5,12,10,12,9
AT2G40660,12,11,12,16,12,9
AT5G10450,2,5,12,4,8,5
AT5G56740,5,5,12,13,7,14
AT4G15000,12,7,12,10,7,11
AT5G66190,7,7,11,17,24,12
AT2G36530,15,15,11,20,24,21
AT1G32060,14,7,11,16,21,14
AT5G04140,3,1,11,14,19,11
AT3G28500,12,10,11,7,18,17
AT3G11510,8,9,11,13,17,14
AT2G24270,10,5,11,14,16,13
AT4G16720,14,12,11,10,15,18
AT3G49910,10,13,11,10,14,16
AT1G30230,2,2,11,11,13,7
AT1G70600,7,7,11,14,13,10
AT3G07110,11,14,11,11,13,19
AT3G55280,9,9,11,12,11,11
AT3G26060,10,10,11,12,11,9
AT3G53430,10,10,11,13,10,10
AT4G16143,9,4,11,11,6,14
AT3G13860,0,1,10,33,67,49
AT4G13940,9,7,10,20,20,14
AT1G20010,2,5,10,17,5,8
AT3G18190,1,1,10,35,15,11
AT5G26360,2,4,10,38,14,9
AT3G20210,8,9,10,15,14,12
AT2G20580,3,1,10,37,13,12
AT3G04840,5,8,10,12,11,14
AT3G53740,5,6,10,7,11,12
AT2G41840,9,10,10,13,11,18
ATCG00120,3,2,10,15,8,11
