Protein,AT4G15180,AT4G151801,WT,WT
AT4G15180,279,384,0,0
AT1G48050,59,89,0,0
AT2G31320,31,59,0,0
AT1G71260,39,53,0,0
ATCG00190,34,53,0,0
AT3G04260,39,52,0,0
AT3G48500,39,49,0,0
AT1G48620,41,39,0,0
AT4G35800,30,39,0,0
ATCG00180,33,36,0,0
AT5G51590,32,34,0,0
AT1G61730,35,33,0,0
AT1G69200,30,33,0,0
AT1G74850,24,33,0,0
AT2G34640,30,32,0,0
AT1G21600,25,31,0,0
AT4G21710,23,28,0,0
AT4G20130,20,27,0,0
AT3G04590,26,26,0,0
AT5G28040,17,25,0,0
AT4G15570,10,24,0,0
AT1G63470,30,23,0,0
AT4G17950,21,23,0,0
AT5G45140,17,23,0,0
AT4G25210,39,22,0,0
AT5G60040,18,22,0,0
AT3G54090,17,22,0,0
AT5G54180,6,19,0,0
AT4G23800,21,18,0,0
AT3G20540,7,16,0,0
AT3G14890,0,16,0,0
AT1G52740,14,15,0,0
AT4G25320,6,15,0,0
AT2G33620,9,14,0,0
AT5G51100,7,14,0,0
AT3G12410,11,13,0,0
AT1G14900,10,13,0,0
AT3G61310,10,12,0,0
AT4G25180,7,12,0,0
AT2G06510,4,12,0,0
AT5G42080,2,12,0,0
AT3G18990,12,11,0,0
AT3G49000,8,11,0,0
AT3G22320,7,11,0,0
AT2G26550,5,11,0,0
AT1G60620,14,10,0,1
AT5G59870,11,10,0,0
ATCG00740,10,10,0,1
AT5G49530,6,10,0,0
AT5G24314,3,10,0,0
AT1G30680,8,9,0,1
AT2G35530,6,9,0,0
AT4G16130,0,9,0,0
AT5G02560,9,8,0,0
AT2G45850,8,8,0,0
AT3G04930,8,8,0,0
AT3G06730,4,8,0,0
AT5G23570,4,8,0,0
AT5G52840,2,8,0,0
AT2G40840,1,8,0,0
AT5G45620,0,8,0,0
AT4G00390,9,7,0,0
AT5G23310,9,7,0,0
AT5G46640,9,7,0,0
AT3G12460,6,7,0,0
AT4G31210,5,7,0,0
AT1G63480,4,7,0,0
AT3G60190,2,7,0,0
AT5G22010,2,7,0,0
AT1G78580,0,7,0,1
AT3G25810,0,7,0,0
AT4G28470,0,7,0,0
AT5G27670,9,6,0,0
AT3G23900,7,6,0,0
AT4G00200,7,6,0,0
AT1G55520,4,6,0,0
AT1G21690,2,6,0,0
AT1G72040,2,6,0,0
AT3G25800,1,6,0,0
AT4G26900,1,6,0,1
AT1G63810,0,6,0,1
AT3G24430,0,6,0,0
AT3G63460,0,6,0,2
AT4G18465,0,6,0,0
AT3G12480,6,5,0,0
AT4G12080,4,5,0,0
AT1G14830,3,5,0,0
AT1G59610,3,5,0,0
AT4G24800,3,5,0,2
AT2G27020,2,5,0,0
AT1G64520,1,5,0,0
AT1G01100,0,5,0,0
AT1G24360,0,5,0,0
AT1G43190,0,5,0,3
AT1G70320,0,5,0,0
AT3G06810,0,5,0,0
AT3G23810,0,5,0,0
AT4G19006,0,5,0,0
AT3G24170,5,4,0,0
AT3G29090,4,4,0,0
AT4G01590,4,4,0,0
AT5G07030,4,4,0,0
AT1G76180,3,4,0,2
AT2G32650,3,4,0,0
AT3G52170,3,4,0,0
AT1G06790,2,4,0,0
AT1G19520,2,4,0,0
AT1G75280,2,4,0,0
AT4G02930,2,4,0,3
AT4G17100,2,4,0,0
AT5G54160,2,4,0,1
AT1G04690,1,4,0,1
AT1G53850,1,4,0,0
AT1G62820,1,4,0,0
AT2G45640,1,4,0,0
AT4G09730,1,4,0,0
AT4G33400,1,4,0,0
AT1G05190,0,4,0,1
AT1G54270,0,4,0,1
AT1G62020,0,4,0,0
AT1G67660,0,4,0,0
AT3G02650,0,4,0,0
AT4G11380,0,4,0,0
AT4G11420,0,4,0,0
AT4G16390,0,4,0,0
AT4G20050,0,4,0,0
AT4G34215,0,4,0,0
AT5G02050,0,4,0,0
AT5G40040,0,4,0,0
AT5G42820,0,4,0,0
AT5G45300,0,4,0,0
AT5G54640,4,3,0,0
AT2G31390,4,3,0,0
AT3G12050,4,3,0,1
AT4G05420,4,3,0,1
AT1G01370,3,3,0,0
AT2G17280,3,3,0,1
AT3G09210,3,3,0,0
AT3G15610,3,3,0,0
AT3G08770,2,3,0,0
AT3G12580,2,3,0,2
AT1G07360,1,3,0,0
AT1G77470,1,3,0,0
AT2G03750,1,3,0,1
AT3G10610,1,3,0,1
AT4G28750,1,3,0,1
AT4G24550,1,3,0,2
AT5G16130,1,3,0,1
AT5G52890,1,3,0,0
AT1G10522,0,3,0,0
AT1G16150,0,3,0,0
AT1G16870,0,3,0,0
AT1G32500,0,3,0,1
AT1G48830,0,3,0,2
AT1G49480,0,3,0,0
AT1G50480,0,3,0,0
AT1G63160,0,3,0,0
AT1G64790,0,3,0,0
AT2G03820,0,3,0,0
AT2G04740,0,3,0,0
AT3G02200,0,3,0,0
AT3G23780,0,3,0,0
AT3G60600,0,3,0,0
AT4G02150,0,3,0,0
AT4G02390,0,3,0,0
AT4G04910,0,3,0,0
AT4G10840,0,3,0,0
AT5G12950,0,3,0,0
AT5G37020,0,3,0,0
AT5G39850,0,3,0,0
AT5G47010,0,3,0,0
AT5G50340,0,3,0,0
AT1G47250,5,2,0,0
AT3G55560,4,2,0,0
AT4G17830,4,2,0,0
AT2G34590,3,2,0,0
AT1G54250,3,2,0,0
AT4G03210,3,2,0,1
AT4G26630,3,2,0,0
AT5G23710,3,2,0,0
AT5G38470,3,2,0,2
AT5G61495,3,2,0,0
ATMG00070,3,2,0,0
AT1G12780,2,2,0,0
AT1G72260,2,2,0,2
AT2G38580,2,2,0,0
AT3G09480,2,2,0,0
AT3G13860,2,2,0,0
AT3G46580,2,2,0,0
AT4G10750,2,2,0,0
AT4G12960,2,2,0,0
AT4G36730,2,2,0,0
AT5G40200,2,2,0,0
AT1G09210,1,2,0,0
AT1G13060,1,2,0,0
AT1G79210,1,2,0,0
AT1G60000,1,2,0,0
AT1G65450,1,2,0,0
AT1G79870,1,2,0,0
AT2G05710,1,2,0,1
AT2G18510,1,2,0,1
AT2G36830,1,2,0,0
AT2G37340,1,2,0,0
AT2G40360,1,2,0,0
AT2G46140,1,2,0,0
AT3G10270,1,2,0,0
AT3G20670,1,2,0,0
AT3G55290,1,2,0,0
AT5G05920,1,2,0,1
AT5G41520,1,2,0,0
AT5G49980,1,2,0,0
AT1G08320,0,2,0,0
AT1G24260,0,2,0,0
AT1G25260,0,2,0,1
AT1G26380,0,2,0,0
AT1G27970,0,2,0,0
AT1G29880,0,2,0,0
AT1G29965,0,2,0,1
AT1G43690,0,2,0,0
AT1G51720,0,2,0,0
AT1G54220,0,2,0,0
AT1G62750,0,2,0,0
AT1G71040,0,2,0,0
AT1G72970,0,2,0,0
AT1G73100,0,2,0,0
AT1G74470,0,2,0,0
AT1G75780,0,2,0,0
AT1G79920,0,2,0,0
AT2G24210,0,2,0,0
AT2G30200,0,2,0,0
AT2G36870,0,2,0,0
AT3G01340,0,2,0,0
AT3G01390,0,2,0,0
AT3G02260,0,2,0,0
AT3G02720,0,2,0,0
AT3G03950,0,2,0,0
AT3G04600,0,2,0,0
AT3G05590,0,2,0,0
AT3G09100,0,2,0,0
AT3G18165,0,2,0,0
AT3G18580,0,2,0,0
AT3G18600,0,2,0,0
AT3G19820,0,2,0,0
AT3G22220,0,2,0,0
AT3G24480,0,2,0,0
AT3G28730,0,2,0,0
AT3G28830,0,2,0,0
AT3G29320,0,2,0,0
AT3G29630,0,2,0,0
AT3G43300,0,2,0,0
AT3G45640,0,2,0,0
AT3G58990,0,2,0,0
AT3G60370,0,2,0,1
AT3G60830,0,2,0,0
AT3G63250,0,2,0,0
AT4G10790,0,2,0,0
AT4G11220,0,2,0,0
AT4G15210,0,2,0,0
AT4G24770,0,2,0,0
AT4G25890,0,2,0,0
AT4G27500,0,2,0,0
