Protein,WT,WT,AT1G08620,AT1G08620,AT1G63490,AT1G63490,AT1G30810,AT1G30810,AT2G38950,AT2G38950
AT1G08620,0,0,872,709,3,1,0,0,0,0
AT3G04740,0,0,105,89,0,0,0,0,0,0
AT4G00450,0,0,88,79,0,0,0,0,0,0
AT4G04920,0,0,77,67,0,0,0,0,0,0
AT1G55325,0,0,64,53,0,0,0,0,0,0
AT1G23230,0,0,74,47,0,0,0,0,0,0
AT5G35330,0,0,30,44,0,0,0,0,0,0
AT5G20170,0,0,43,37,0,0,0,0,0,0
AT1G15780,0,0,29,37,0,0,0,0,0,0
AT3G09180,0,0,32,32,0,0,0,0,0,0
AT3G23590,0,0,24,25,0,0,0,0,0,0
AT4G10930,0,0,32,23,0,0,0,0,0,0
AT2G16485,0,0,23,23,0,0,0,0,2,0
AT2G23740,0,0,16,22,0,0,0,0,0,0
AT3G51120,0,0,30,21,0,0,0,0,0,0
AT2G48110,0,0,18,19,0,0,0,0,0,0
AT5G13530,0,0,10,18,0,2,2,2,2,5
AT5G63610,0,0,21,17,0,0,0,0,0,0
AT5G02850,0,0,16,15,0,0,0,0,0,0
AT1G25540,0,0,7,12,0,0,0,0,0,0
AT2G22370,0,0,9,9,0,0,0,0,0,0
AT2G03070,0,0,14,9,0,0,0,0,0,0
AT1G18610,0,0,11,8,0,0,0,0,0,0
AT1G07950,0,0,8,8,0,0,0,0,0,0
AT3G15290,0,0,6,7,0,0,8,8,0,0
AT3G13350,0,0,8,7,0,0,0,0,0,0
AT1G64790,0,0,2,7,0,0,4,13,1,4
AT5G62300,4,0,3,6,6,4,7,6,3,2
AT5G19910,0,0,5,6,0,0,0,0,0,0
AT4G21710,0,0,6,6,0,3,7,9,2,3
AT3G21350,0,0,10,6,0,0,0,0,0,0
AT3G06850,0,0,5,6,1,0,6,10,7,6
AT1G11760,0,0,6,6,0,0,0,0,0,0
ATCG00170,0,0,4,5,1,2,4,4,3,5
AT5G57870,0,0,3,5,0,0,6,6,2,3
AT3G02260,0,0,11,5,0,0,3,3,1,5
AT3G01435,0,0,1,5,0,0,0,0,0,0
AT1G79050,0,0,5,5,0,0,2,5,5,2
AT1G69200,0,0,2,5,0,0,0,0,1,0
AT1G50370,0,0,4,5,0,1,1,2,3,5
AT1G14510,2,0,1,5,3,1,1,3,1,1
ATCG00190,0,0,1,4,0,0,6,5,1,2
AT5G47690,0,0,3,4,0,1,10,11,2,1
AT5G26570,0,0,0,4,0,0,1,1,0,3
AT5G05010,2,0,5,4,0,0,8,8,6,3
AT3G18000,1,0,3,4,0,0,2,3,2,2
AT2G37600,1,0,1,4,1,1,0,0,2,2
AT2G28230,0,0,6,4,0,0,0,0,0,0
AT5G64270,0,0,2,3,1,0,1,0,1,3
AT5G52820,0,0,2,3,1,2,8,7,2,6
AT5G14170,0,0,2,3,0,0,3,2,1,0
AT5G12230,0,0,4,3,0,0,0,0,0,0
AT4G25740,3,0,2,3,1,1,6,5,3,2
AT4G16130,0,0,3,3,0,1,9,8,1,4
AT4G10940,0,0,3,3,0,0,0,0,0,0
AT4G10610,0,0,3,3,1,1,2,2,1,3
AT4G08350,0,0,3,3,1,0,4,2,0,2
AT4G04640,0,0,4,3,0,0,5,2,4,4
AT3G62120,3,0,4,3,3,4,8,9,2,12
AT3G52200,0,0,2,3,0,0,1,2,0,3
AT2G47250,1,0,1,3,0,2,5,4,2,2
AT2G37220,1,0,1,3,0,0,4,4,2,5
AT2G03820,0,0,2,3,0,0,4,5,1,0
AT1G49430,0,0,1,3,0,2,1,1,0,0
AT1G08520,2,0,4,3,0,2,8,5,2,3
ATCG01300,1,0,3,2,1,3,4,6,2,4
ATCG00180,0,0,1,2,0,0,0,0,0,0
AT5G66860,0,0,1,2,0,0,4,5,3,4
AT5G64200,0,0,1,2,2,1,1,1,1,1
AT5G63480,0,0,4,2,0,0,0,0,0,0
AT5G61580,0,0,2,2,1,1,2,0,2,1
AT5G47320,1,0,1,2,1,2,3,2,2,3
AT5G28900,0,0,3,2,2,1,6,6,3,4
AT5G27670,0,0,3,2,3,3,1,2,4,4
AT5G22060,0,0,0,2,0,0,1,1,0,3
AT5G20920,0,0,0,2,1,0,3,2,0,2
AT5G19820,0,0,4,2,0,0,3,6,0,0
AT5G11040,0,0,0,2,0,0,1,0,0,0
AT5G08450,1,0,8,2,0,1,6,5,0,1
AT5G03850,1,0,4,2,2,1,3,1,4,4
AT4G39090,1,0,4,2,1,3,4,1,1,2
AT4G34620,1,0,1,2,3,1,1,1,4,3
AT4G29410,0,0,3,2,2,3,5,3,5,4
AT4G21620,2,0,0,2,0,0,0,0,0,0
AT4G18430,1,0,1,2,1,0,1,2,1,1
AT4G17560,0,0,2,2,0,0,1,1,1,0
AT4G17190,2,0,1,2,0,1,1,0,1,4
AT4G01310,0,0,1,2,1,2,1,0,2,3
AT3G53110,4,0,4,2,0,4,4,2,3,3
AT3G49160,1,0,3,2,0,0,0,3,1,0
AT3G47520,1,0,1,2,1,1,6,5,5,8
AT3G42050,0,0,2,2,1,0,0,0,0,0
AT3G28790,0,0,1,2,0,0,2,3,3,6
AT3G28730,0,0,0,2,0,0,1,3,0,1
AT3G25800,0,0,5,2,0,0,2,8,1,3
AT3G18240,0,0,2,2,1,1,0,1,2,4
AT3G18035,1,0,3,2,2,2,6,4,7,5
AT3G14790,0,0,2,2,1,0,4,3,5,2
AT3G13580,1,0,1,2,1,2,4,2,2,2
AT3G13510,0,0,3,2,0,0,0,0,0,0
AT3G13470,1,0,0,2,2,1,0,3,3,3
AT3G13290,0,0,1,2,0,0,2,2,1,0
AT3G10270,0,0,1,2,0,0,1,1,1,0
AT3G06980,0,0,0,2,0,0,1,1,0,1
AT2G47240,0,0,4,2,0,2,5,7,3,4
AT2G45960,0,0,0,2,1,2,1,1,2,3
AT2G32000,0,0,1,2,0,0,1,3,0,0
AT2G29400,0,0,1,2,0,2,3,3,2,0
AT2G23070,0,0,0,2,0,0,1,1,0,1
AT2G18960,0,0,6,2,2,1,6,5,5,8
AT1G62830,0,0,3,2,0,0,0,0,0,0
AT1G53500,0,0,1,2,1,3,2,1,0,0
AT1G49480,0,0,0,2,0,0,2,2,0,2
AT1G47970,0,0,4,2,4,2,0,0,0,1
AT1G32580,1,0,1,2,0,0,4,4,2,1
AT1G21540,0,0,2,2,0,0,2,4,0,1
AT1G16890,0,0,0,2,0,0,2,2,0,0
AT1G10370,1,0,2,2,0,2,6,5,3,2
AT1G06670,0,0,0,2,0,0,2,2,1,1
AT1G04510,0,0,1,2,1,0,5,4,5,7
AT1G02150,0,0,4,2,0,2,10,9,4,4
AT1G02080,0,0,1,2,0,0,4,3,0,1
AT1G01050,2,0,1,2,0,1,2,1,0,2
AT3G19170,2,0,2,2,1,1,6,8,1,5
ATMG00510,0,0,2,1,0,1,0,0,3,1
ATMG00090,2,0,1,1,0,0,3,2,1,1
ATMG00070,0,0,2,1,0,2,0,0,0,0
ATCG01120,0,0,1,1,0,0,1,1,1,1
ATCG00670,0,0,1,1,0,2,0,1,0,1
AT5G67510,0,0,0,1,0,0,1,1,2,2
AT5G64760,0,0,1,1,0,0,1,2,1,1
AT5G64370,0,0,2,1,0,0,3,2,0,1
