Protein,WT,WT,AT4G10710,AT4G10710,AT3G28730,AT3G28730,AT5G66000
AT5G52040,1359,1116,1065,1002,882,915,947
AT3G15730,453,416,347,359,358,321,296
AT3G08590,387,363,303,336,312,358,259
AT5G02500,128,119,173,174,146,176,147
ATCG00490,154,173,202,182,182,185,134
AT4G35630,203,181,141,148,136,137,130
AT3G44310,105,115,89,95,116,97,120
AT1G19480,180,152,150,166,136,144,118
AT1G56070,108,113,140,114,127,126,113
AT5G60390,78,66,100,98,119,131,105
AT5G62700,68,75,96,85,107,101,100
AT2G27040,60,61,92,95,108,99,91
AT5G66000,0,0,0,0,0,0,91
AT1G52570,140,138,121,113,105,127,87
AT1G20620,61,69,87,82,107,99,82
AT1G43170,97,101,111,124,85,91,81
AT3G45140,40,63,73,62,72,64,66
AT5G56010,64,57,69,69,82,69,66
AT5G43940,29,28,44,51,66,74,66
AT3G28730,7,6,1242,1167,2054,1961,63
AT1G50010,71,62,64,74,71,75,59
AT3G46970,53,56,58,65,52,50,58
AT3G09820,68,70,71,64,87,91,57
AT3G52930,47,53,61,54,57,50,57
AT2G47610,64,68,60,61,45,56,56
AT4G33010,42,38,69,61,75,55,53
AT5G28540,52,53,57,61,71,59,53
AT2G36880,50,54,48,53,68,55,52
AT3G03540,57,62,43,53,53,49,52
AT5G17920,49,48,59,58,71,66,50
AT1G07890,51,57,59,64,56,58,50
AT1G52030,37,39,52,54,51,44,50
AT5G04140,36,36,48,59,65,57,50
AT5G24780,68,56,57,54,75,53,49
AT4G33680,47,60,44,43,49,48,49
AT4G35090,47,48,62,50,43,57,48
AT5G09810,57,61,50,47,50,51,48
AT1G69740,28,42,47,49,53,50,48
AT3G09630,74,64,66,61,49,53,47
AT4G20850,36,42,56,43,57,53,47
AT4G16720,40,39,38,41,50,39,47
AT4G16143,41,47,57,48,48,40,46
AT5G50920,27,40,41,41,51,39,43
AT1G19570,31,27,33,46,47,34,43
AT5G11170,57,61,53,57,54,55,42
AT5G38420,41,37,36,32,50,42,42
AT3G29360,31,43,49,37,59,44,41
AT1G04690,35,46,47,50,52,44,41
AT4G16155,35,29,44,47,45,47,41
AT1G21750,25,28,40,39,28,30,41
AT3G06650,25,35,51,37,45,46,40
AT1G42970,46,35,50,46,37,51,39
AT2G17360,58,49,45,50,41,39,39
AT1G57720,36,39,44,43,43,44,39
AT5G51750,28,34,39,31,28,30,39
AT5G26000,31,45,34,41,39,34,39
AT4G13940,28,45,64,62,41,43,38
AT1G54270,36,42,49,46,50,52,38
AT2G04030,43,42,42,44,35,48,38
AT5G35630,51,37,34,39,54,50,38
AT2G37040,22,23,33,30,33,36,38
AT4G34110,31,30,32,31,36,51,38
AT4G37910,33,33,35,41,46,47,37
AT5G26742,59,48,57,63,34,27,36
AT3G58510,41,31,47,39,52,46,36
AT3G59970,45,49,42,42,59,51,36
AT1G30580,26,29,40,35,41,39,36
AT2G23350,28,30,39,40,33,39,36
AT2G18020,39,36,35,35,25,28,36
AT3G13490,41,43,46,49,47,48,35
AT1G69830,40,51,44,37,35,35,35
AT1G48410,18,21,31,30,39,39,35
AT5G24420,21,21,20,20,34,32,35
AT4G10710,3,2,1091,1179,1293,1376,34
AT1G36160,21,36,64,61,63,39,34
AT3G55410,27,29,48,49,39,36,34
AT1G55490,34,42,43,33,23,32,34
AT1G29900,27,32,39,36,47,44,34
AT5G27850,49,45,37,34,33,38,34
AT5G15200,32,31,34,43,26,23,34
AT5G36160,24,30,29,28,17,22,34
AT5G61780,19,20,26,28,34,26,34
AT2G36530,32,50,48,57,58,44,33
AT5G49910,29,34,43,41,54,55,33
AT2G29560,58,60,43,38,36,44,33
AT1G04410,39,42,41,34,46,45,33
AT4G20050,37,26,36,37,30,29,33
AT5G26360,26,26,35,29,45,43,33
AT2G46280,30,24,30,31,34,33,33
AT1G08360,44,40,49,34,29,23,32
AT2G41840,39,37,45,47,25,29,32
AT3G09840,37,53,42,39,41,38,32
AT5G20290,49,51,33,30,28,25,32
AT2G47510,23,28,30,24,33,30,32
AT3G03960,25,27,30,29,40,43,32
AT1G09310,29,29,26,30,24,15,32
AT3G20820,44,46,34,39,28,25,31
AT3G11830,19,22,29,29,30,28,31
AT3G26650,31,34,42,39,42,39,30
AT1G78630,31,29,40,32,24,34,30
AT3G25860,37,35,33,39,28,27,30
AT3G01500,25,32,29,33,31,40,30
AT5G25980,39,34,39,48,46,54,29
AT1G52400,36,37,38,36,34,39,29
