Protein,WT,WT,WT,WT,AT5G17690,AT5G176901,AT3G28730,AT3G287301,WT,AT5G35330
AT5G17690,0,2,0,0,747,620,25,9,1,1
AT5G52040,278,324,2,4,401,306,465,345,590,972
AT4G16143,3,3,0,0,336,286,19,12,11,21
AT1G09270,0,0,0,0,231,186,9,2,0,5
AT3G44310,219,177,18,11,253,181,326,206,68,141
AT3G44690,152,138,0,0,130,125,167,150,236,189
AT3G15730,96,95,39,30,115,100,179,107,49,112
AT3G08590,71,75,2,0,123,92,110,59,94,113
AT4G02020,0,0,0,0,78,82,0,0,0,0
AT1G19480,61,61,0,0,76,75,94,56,102,149
ATCG00490,58,71,80,54,92,71,125,84,52,71
AT5G58230,0,0,0,0,79,71,3,0,0,4
AT1G48120,47,39,0,0,58,68,84,44,27,46
AT4G29270,44,42,1,1,72,60,128,62,17,20
AT4G35630,44,40,0,0,71,59,63,26,76,88
AT1G64880,38,45,0,0,68,50,60,27,56,58
AT5G26000,30,36,2,1,50,49,57,28,21,18
AT5G53480,0,0,0,0,82,48,0,0,0,0
AT3G59430,0,0,0,0,52,48,0,0,0,0
AT2G29560,43,42,0,0,30,47,60,37,13,36
AT5G02500,18,18,10,12,50,44,121,77,32,233
AT5G51230,0,0,0,0,30,39,0,0,0,0
AT1G61850,29,25,0,0,29,38,53,19,1,32
AT2G23380,0,0,0,0,27,38,0,0,0,0
AT4G37800,31,23,0,0,37,34,38,25,12,26
AT2G39730,12,18,24,16,39,33,37,25,13,31
AT5G11530,0,0,0,0,29,32,0,0,0,0
AT4G21280,33,28,12,11,30,31,46,36,8,13
AT4G35090,34,33,10,16,45,30,44,36,7,9
AT1G71080,26,22,0,0,33,29,28,31,31,39
AT1G33960,44,59,0,0,15,27,29,15,0,0
AT1G43170,16,24,3,1,22,27,30,13,30,49
AT3G20740,0,0,0,0,36,27,0,0,0,0
AT3G09630,12,14,0,1,25,26,29,21,22,32
AT4G24280,5,11,2,1,13,25,33,23,4,43
AT3G14420,16,24,4,5,26,24,37,25,0,1
AT1G42970,11,15,4,5,25,23,33,18,1,3
AT5G38420,13,14,24,28,26,22,27,18,8,17
AT5G09650,19,15,0,0,23,22,23,13,10,8
AT5G20290,11,12,0,0,23,22,19,12,19,24
AT3G52930,16,24,15,7,39,21,39,32,30,23
AT3G62250,3,2,18,26,19,21,35,19,5,22
AT2G18020,4,9,1,1,19,21,14,11,16,27
AT3G12140,0,0,0,0,25,21,1,0,0,0
ATCG01310,13,9,0,0,24,20,20,15,9,17
AT5G10360,12,8,0,0,22,19,11,12,15,25
AT4G10320,22,16,0,0,32,19,37,11,35,43
AT5G35200,11,12,0,0,20,19,24,7,16,55
AT4G18480,12,6,0,0,13,19,26,1,0,2
AT2G32080,22,26,0,0,25,18,30,24,13,14
AT2G41840,9,12,1,1,23,18,28,19,12,21
AT1G20020,10,14,0,0,26,18,27,18,3,7
AT3G25920,14,9,1,4,14,18,10,14,6,12
AT2G31610,6,3,2,0,13,18,19,8,4,13
AT3G04840,5,4,2,0,14,18,17,5,9,17
AT3G11910,0,0,0,0,47,18,0,0,0,10
AT5G06600,0,0,0,0,36,18,0,0,1,5
AT5G59970,7,3,0,0,22,16,57,36,3,20
AT5G14740,17,12,16,17,20,16,36,23,5,7
AT2G13360,10,9,5,5,19,16,23,17,0,2
AT3G23600,17,17,6,4,18,16,24,16,12,11
AT5G07090,9,6,0,0,20,16,20,15,18,16
AT5G26710,11,11,0,0,20,16,26,10,21,23
ATCG00380,5,4,0,0,11,16,10,10,2,8
AT5G26742,9,14,0,0,11,16,17,8,6,31
AT2G17630,23,20,0,0,24,16,23,6,18,30
AT4G02150,0,0,0,0,26,16,0,0,0,0
AT3G44320,13,12,0,0,24,15,78,35,10,18
AT4G20360,8,7,3,3,17,15,15,6,0,1
AT1G06230,0,0,0,0,10,15,14,6,0,0
AT5G65730,12,5,0,0,17,15,7,5,7,12
AT1G13440,12,12,15,8,10,15,14,5,10,15
AT1G23310,11,14,10,12,28,14,36,28,0,1
AT5G66190,8,18,1,0,24,14,21,12,6,13
AT2G28000,3,6,3,0,17,14,11,10,10,20
AT5G58040,3,4,0,0,3,14,2,3,0,0
AT1G56070,5,9,5,6,19,13,16,13,24,62
AT3G26650,7,9,5,3,14,13,18,10,3,4
ATCG00120,8,14,5,3,18,13,19,7,6,9
AT5G09810,15,8,22,11,19,13,19,6,10,23
AT2G19520,0,1,0,0,16,13,4,2,4,7
AT3G09440,2,4,0,0,16,12,46,17,3,65
AT2G01250,1,5,0,0,12,12,19,15,9,14
AT1G20620,12,12,5,7,21,12,22,14,9,16
AT5G15200,3,5,1,0,15,12,10,13,11,22
AT1G70600,8,2,0,0,11,12,9,9,8,12
AT3G57150,1,3,0,0,8,12,10,9,1,2
AT3G53020,2,2,0,0,11,12,7,7,10,19
AT1G20960,2,4,0,0,7,12,20,7,1,10
AT1G80070,0,0,0,0,5,12,26,4,4,18
AT4G00100,1,2,1,0,12,12,10,3,6,13
AT2G23390,10,6,0,0,13,12,15,2,1,5
AT3G52500,0,0,0,0,7,12,3,0,0,1
AT1G08360,10,11,1,2,14,11,15,15,21,28
AT5G28540,6,2,1,2,12,11,26,15,18,71
AT3G44300,12,9,0,0,10,11,23,13,0,3
AT4G38970,8,14,8,8,16,11,12,12,8,9
AT1G07890,3,6,8,6,19,11,11,8,12,21
AT1G55490,4,6,0,0,11,11,18,8,11,24
AT1G02780,6,8,0,0,11,11,8,7,10,19
AT3G49010,5,6,0,0,12,11,13,5,8,19
AT3G17390,4,5,3,3,10,11,10,4,11,25
AT5G64040,0,2,1,1,9,11,8,1,0,0
AT4G13670,24,25,0,0,3,11,11,1,0,0
AT3G08947,0,0,0,0,12,11,0,0,0,0
AT3G42170,0,0,0,0,4,11,3,0,0,4
AT3G26060,10,14,6,9,8,10,16,17,4,3
AT3G16530,11,16,4,2,12,10,14,14,0,0
AT3G01500,6,9,2,4,12,10,18,11,2,5
AT2G36160,7,5,6,4,12,10,16,11,8,18
AT4G16720,2,7,0,0,12,10,12,8,11,18
AT5G27850,8,6,0,1,9,10,8,8,14,17
AT5G66570,0,11,5,6,12,10,7,7,1,1
AT3G07110,6,4,0,0,13,10,10,6,6,12
AT4G18100,4,6,0,0,12,10,9,6,4,13
AT5G63110,8,9,0,0,7,10,15,5,16,72
AT3G20820,6,4,0,0,7,10,7,5,15,24
AT5G18380,1,0,0,0,10,10,5,3,2,8
AT5G35330,0,6,0,0,0,10,0,3,0,152
AT3G05720,0,0,0,0,6,10,0,0,0,0
AT1G68010,16,13,9,6,27,9,32,24,0,3
AT3G09200,6,9,1,0,9,9,15,12,10,22
AT5G35630,7,8,8,4,15,9,15,9,1,0
AT3G62870,11,6,0,0,10,9,13,8,17,34
AT3G05850,2,4,0,0,0,9,15,4,1,5
AT5G35660,0,0,0,0,6,9,4,3,0,0
AT1G35680,0,0,0,0,3,9,5,2,1,3
AT3G09260,3,3,4,1,4,9,13,1,0,0
AT4G08455,0,0,0,0,11,9,0,0,0,0
AT1G07790,3,1,0,0,15,8,28,24,1,13
AT3G12580,2,2,0,0,6,8,19,13,0,22
AT3G18035,0,0,0,0,9,8,17,11,1,3
AT2G27530,3,4,0,0,4,8,4,10,8,12
AT3G60750,3,6,8,2,17,8,11,9,2,8
AT5G25980,4,9,0,0,11,8,20,8,7,18
AT4G15000,5,7,0,0,6,8,5,8,8,11
AT1G78630,8,10,0,0,11,8,6,7,3,14
AT2G05520,0,9,0,0,3,8,7,7,2,2
AT1G33140,4,3,0,0,9,8,9,6,3,5
AT3G49910,6,5,0,0,14,8,8,5,5,17
AT1G67430,1,2,2,1,9,8,7,5,0,11
AT3G55280,7,5,0,1,4,8,4,5,5,16
ATCG00800,0,1,3,2,4,8,7,4,0,4
AT4G33010,3,3,3,2,9,8,7,3,1,7
AT2G33800,1,2,2,1,6,8,6,2,0,1
AT1G57720,1,4,0,0,10,8,3,1,5,14
AT2G06850,1,0,0,0,6,8,3,0,0,2
AT3G04400,1,2,0,0,4,8,2,0,2,4
AT3G12780,6,7,3,1,9,7,13,15,5,6
AT4G26530,6,15,0,0,14,7,19,13,2,0
AT4G33680,4,10,0,0,4,7,10,13,4,11
AT4G25130,8,6,5,5,14,7,10,8,6,4
AT3G25860,3,5,0,0,10,7,11,8,4,8
AT3G29410,10,8,0,0,4,7,16,7,29,19
AT1G05190,5,3,0,1,7,7,9,4,0,0
AT3G54050,3,3,1,0,7,7,3,4,1,1
AT2G40660,10,9,0,0,11,7,20,3,23,25
AT1G29250,1,5,0,0,6,7,6,3,2,8
AT1G72370,4,3,5,4,18,7,9,2,10,7
AT4G09800,0,3,2,1,7,7,5,1,2,4
AT1G22950,0,0,0,0,5,7,0,0,0,0
AT3G06810,0,0,0,0,4,7,1,0,0,0
AT3G11940,0,0,0,0,3,7,5,0,0,0
AT3G54660,0,3,0,0,2,7,7,0,0,0
AT1G67090,5,7,14,8,10,6,12,15,4,5
AT2G43030,5,10,0,0,10,6,13,9,5,25
ATCG00790,5,3,1,0,10,6,8,8,4,5
AT1G59359,5,4,1,0,7,6,11,7,6,15
AT2G44120,0,0,0,0,4,6,8,7,3,6
ATCG00160,0,0,0,0,8,6,10,6,2,2
AT3G24830,5,2,0,0,4,6,10,6,5,8
AT2G36460,4,7,2,0,10,6,15,5,3,0
AT3G48930,3,4,0,0,10,6,11,5,5,11
AT1G11860,1,4,4,0,12,6,6,4,0,2
AT4G05180,1,7,0,0,6,6,3,4,3,3
AT5G62700,6,4,10,4,21,6,10,3,15,81
AT5G02870,2,3,0,0,6,6,5,3,3,7
AT1G04270,0,1,4,0,4,6,2,3,1,3
AT2G05380,2,5,0,0,3,6,6,3,0,0
AT3G11130,2,1,0,0,2,6,12,3,3,27
AT3G18740,2,2,0,0,7,6,5,2,9,10
ATCG01240,1,0,0,0,7,6,2,2,2,3
AT5G28060,1,0,0,0,5,6,4,2,5,8
AT2G30620,1,1,0,0,1,6,4,2,4,1
AT5G52470,2,1,0,0,2,6,3,1,0,4
AT5G15270,3,2,0,0,0,6,5,1,0,0
AT2G01970,0,1,0,0,6,6,2,0,0,0
AT1G02690,0,0,0,0,3,6,0,0,0,0
AT1G49760,1,0,0,0,1,6,3,0,0,0
AT3G20670,1,4,0,0,5,5,33,29,2,11
AT1G09340,2,4,0,0,11,5,13,8,1,2
AT1G47128,4,4,1,1,8,5,10,8,4,10
AT5G43960,2,5,0,0,5,5,10,7,6,1
AT1G66580,4,4,1,1,9,5,11,6,6,14
AT4G34670,2,3,0,0,5,5,7,6,3,7
AT2G19730,3,2,0,2,4,5,6,6,2,0
AT4G23670,3,8,10,5,8,5,2,5,1,4
AT3G15356,0,4,7,3,6,5,11,5,0,0
AT1G13880,2,7,0,0,5,5,6,5,8,10
AT3G14415,6,3,2,1,4,5,6,5,0,0
AT3G53740,5,9,0,0,3,5,4,5,8,8
AT1G04410,0,1,9,6,8,5,9,4,9,8
AT1G18540,2,10,0,0,8,5,6,4,8,22
AT3G02080,3,1,1,0,7,5,3,4,1,3
AT1G07930,6,7,8,6,6,5,8,4,4,8
AT5G02960,1,2,0,0,6,5,5,4,3,4
