Protein,WT,AT1G26540,AT4G26630,AT1G77270,AT1G09320
AT5G52040,786,1095,833,883,1177
AT1G09320,0,2,0,0,323
AT3G44690,236,266,253,274,295
AT3G44310,175,374,168,351,251
AT1G19480,92,146,91,95,177
AT3G08590,89,145,124,120,136
ATCG00490,50,94,53,61,110
AT4G35630,66,106,91,75,108
AT4G10320,74,131,81,70,106
AT5G02500,48,131,61,54,102
AT3G15730,60,97,28,58,93
AT1G64880,61,55,68,55,78
AT1G48120,34,67,34,18,76
AT5G26710,48,76,47,63,67
AT5G26742,44,58,49,20,66
AT1G61850,33,61,12,29,65
AT5G62700,25,96,18,16,63
AT3G09630,39,37,48,29,63
AT1G43170,46,51,101,37,62
AT3G29410,35,35,16,28,57
AT1G56070,21,68,33,31,52
AT2G29560,31,50,15,38,50
AT1G71080,30,45,36,41,49
AT2G43030,23,23,37,16,46
AT3G52930,25,42,55,65,41
AT5G07090,31,26,68,20,41
AT5G35200,22,62,13,15,40
AT3G44320,32,72,30,45,39
AT2G47610,29,34,50,27,39
AT5G20290,32,31,65,21,39
AT2G40660,28,50,34,29,36
AT2G01250,20,29,43,12,36
AT5G42020,22,44,31,29,35
AT2G39730,16,55,19,14,35
AT2G18020,26,35,39,21,35
AT5G63110,7,12,9,11,34
ATCG01310,20,25,31,11,34
AT1G08360,21,23,52,15,33
AT1G52570,11,26,1,12,33
AT4G29270,28,29,15,24,31
AT5G09810,15,34,13,17,31
AT4G14960,18,35,17,13,31
AT3G55870,19,32,14,14,30
AT3G11130,16,36,7,4,30
AT5G10360,30,30,50,21,30
AT3G03540,12,24,11,7,30
AT5G25980,11,25,39,17,29
AT3G49430,12,8,10,8,28
AT2G38040,7,22,8,8,27
AT1G02840,17,18,17,14,27
AT5G38420,8,23,16,15,26
AT3G25920,16,22,18,12,26
AT5G15200,19,15,31,10,26
AT2G28000,11,25,14,15,25
AT4G34670,7,20,22,12,25
AT5G51750,14,20,30,4,25
AT2G17630,23,29,19,31,24
AT3G04120,14,46,11,21,24
AT5G26000,12,21,33,19,24
AT1G71220,9,21,2,6,24
AT5G65730,17,29,19,14,24
AT3G09820,12,24,18,15,24
AT3G49010,14,16,19,15,24
AT3G49910,15,17,30,11,24
AT5G11200,5,19,10,6,24
AT3G04840,10,15,31,11,24
AT3G09200,16,22,22,9,23
AT1G02780,12,12,26,15,23
AT3G50670,23,28,10,12,23
AT1G20960,7,20,2,3,23
AT1G55490,12,29,17,25,22
AT2G04030,5,26,8,10,22
AT5G11710,7,11,6,4,22
AT4G24280,11,23,11,7,22
AT3G20820,25,25,28,14,22
AT1G48410,10,14,5,4,22
AT1G80070,11,23,5,3,22
AT3G62250,12,49,50,10,21
AT3G52580,15,13,22,16,21
AT1G74060,11,14,27,17,21
AT3G48930,13,13,29,8,21
AT4G36740,0,1,0,0,21
AT4G37800,14,32,17,22,20
AT2G20580,13,29,7,6,20
AT3G09440,6,29,9,5,20
AT5G27850,19,18,23,17,20
