Protein,WT,WT.1,AT1G17770,AT1G17770,AT2G24740,AT2G24740,AT5G53150,AT5G53150,AT2G05230,AT2G05230
AT2G25170,2,3,470,271,62,33,2461,2096,1830,1342
AT5G52040,1263,1179,920,1168,846,930,917,960,1119,964
AT2G05230,0,0,7,2,0,0,3,0,547,396
AT5G02500,123,128,223,171,171,182,1680,1537,435,237
AT1G01730,1,1,85,38,10,4,561,430,397,192
AT3G44310,390,604,214,293,292,374,405,399,345,305
AT3G08590,222,223,169,203,113,133,144,142,221,175
AT5G62700,124,88,89,131,72,77,95,103,156,110
AT1G19480,228,183,156,221,141,172,140,134,152,155
ATCG00490,176,121,88,135,66,78,77,80,146,99
AT4G35630,146,161,95,140,71,74,77,79,135,104
AT1G48120,163,168,123,181,111,152,132,147,132,133
AT3G15730,160,144,99,143,112,145,143,145,128,152
AT3G09440,29,30,67,55,52,56,327,315,116,86
AT3G08530,108,98,88,119,86,111,95,86,115,118
AT1G56070,90,71,73,82,45,52,52,54,101,77
AT1G43170,142,108,73,127,71,83,70,70,99,79
AT5G28540,39,50,53,57,30,34,62,65,99,92
AT3G44690,123,161,174,144,107,120,102,114,92,154
AT5G26742,99,79,63,78,51,64,61,57,92,76
AT4G10320,82,109,89,92,61,70,72,67,85,87
AT5G24780,65,47,36,62,30,58,87,77,84,68
AT1G64880,84,117,102,113,64,79,52,62,80,97
AT5G02870,64,65,56,74,44,54,51,40,80,58
AT1G61850,102,101,57,106,83,99,88,80,76,94
AT1G50010,58,46,42,55,43,37,38,37,74,52
AT5G65770,22,27,16,31,16,24,17,16,70,49
AT1G80070,58,48,65,67,30,47,19,29,65,75
AT5G49910,43,26,51,37,26,25,148,167,65,39
AT2G29560,72,68,44,70,60,64,75,62,63,70
AT3G09200,48,40,28,41,27,28,38,39,62,38
AT3G55410,56,52,43,50,43,51,42,35,61,64
AT5G51750,56,44,27,46,26,49,38,43,60,45
AT3G55870,60,57,44,49,31,38,51,48,59,62
AT5G20290,71,45,35,56,26,40,31,31,58,44
AT3G45140,65,53,32,60,35,37,28,26,58,50
AT3G03540,79,53,57,67,38,57,54,52,57,52
AT4G20850,57,47,35,62,38,54,23,29,57,49
AT5G58420,81,60,39,69,35,41,36,35,57,47
AT5G09810,49,33,33,48,35,36,40,35,55,41
AT1G71220,59,57,31,59,33,40,34,33,54,64
AT5G02490,19,24,43,33,40,36,199,178,54,47
AT5G35200,53,75,60,64,51,56,65,74,53,49
AT2G36880,51,35,21,48,17,27,19,26,53,33
AT3G04840,60,48,26,58,31,38,27,33,52,40
AT3G62870,73,63,42,56,57,59,45,43,51,58
AT1G20960,45,39,79,50,30,50,30,31,51,71
AT3G02260,53,36,20,78,20,31,16,19,51,53
AT5G56010,54,41,66,81,30,29,27,30,50,43
AT3G44320,64,106,36,39,36,50,74,63,48,43
AT2G18020,51,39,43,58,34,34,26,32,48,35
AT3G13920,36,32,21,55,15,22,27,25,48,30
AT5G11710,47,41,41,47,29,41,36,38,47,46
AT2G01250,52,42,41,51,39,39,52,39,47,42
AT5G25980,47,29,28,52,18,30,37,23,47,40
AT1G71080,33,50,49,45,34,49,36,32,46,46
AT1G08360,61,45,35,39,32,40,23,37,46,39
AT4G37910,36,40,43,50,27,25,110,116,46,37
AT3G20820,37,37,34,44,23,44,34,36,45,43
AT3G25860,40,40,26,35,23,29,28,40,45,40
AT2G43030,44,36,27,40,21,29,25,28,44,43
AT2G39730,30,45,45,45,27,28,47,43,44,46
AT2G39800,56,46,39,56,29,44,36,34,43,47
AT1G52570,54,60,46,65,27,34,39,41,43,57
AT1G67430,35,36,21,29,15,26,19,19,43,26
AT5G56740,49,54,50,53,48,51,46,47,42,37
AT2G41840,45,46,25,49,18,33,26,23,42,40
AT1G66580,35,31,24,35,22,22,27,24,42,27
AT5G26710,48,54,50,51,37,45,39,42,41,45
AT1G74060,52,42,26,32,25,26,18,23,41,41
AT1G08600,0,0,433,217,52,16,65,26,41,40
AT2G34160,58,44,25,41,38,42,23,32,40,32
AT3G62250,41,30,27,39,37,41,59,41,40,37
AT3G09820,63,35,26,43,17,22,17,21,40,29
AT1G27090,49,43,27,38,28,37,33,23,39,31
AT1G42970,30,17,11,18,6,12,18,22,39,15
AT2G04030,31,30,20,37,8,8,14,18,39,25
AT1G07890,56,33,19,43,26,33,17,18,38,36
AT4G33680,49,30,10,36,18,27,19,14,38,26
ATCG01310,31,36,24,33,20,26,20,33,38,30
