Protein,WT,WT.1,WT.2,WT.3,WT.4,WT.5,AT2G25560,AT2G25560,WT.6,AT1G54850,WT.7
AT1G54850,0,0,0,0,0,0,0,0,0,1,8
AT3G46580,0,0,0,0,0,0,0,0,0,0,8
AT1G76440,0,0,0,143540000,0,0,0,0,0,5,7
AT5G59380,0,0,0,0,0,0,0,0,0,0,5
AT3G16470,0,0,0,1352000,0,0,0,9,0,0,4
AT1G43170,53735000,150700000,0,2263000,26,27,32,32,0,0,3
AT5G16130,0,0,0,0,0,0,0,0,0,0,3
AT1G76010,0,35134000,0,11556000,0,4,3,4,1,0,3
AT2G05920,0,0,0,0,0,0,0,1,0,1,2
AT1G52030,0,0,0,0,1,1,0,3,0,0,2
AT1G78630,26093000,26382000,0,0,10,8,8,8,0,0,2
AT4G18905,9280400,4927700,0,0,3,2,4,3,0,0,2
AT2G10940,0,0,0,0,1,2,1,1,0,1,1
AT2G30620,16793000,0,0,0,5,0,0,6,0,1,1
AT1G02813,0,0,0,0,0,0,1,3,0,0,1
AT1G07320,0,0,0,0,1,0,0,1,0,0,1
AT1G14410,0,0,0,0,2,0,2,3,0,0,1
AT1G18540,30317000,31539000,0,0,5,2,3,4,0,0,1
AT1G22300,0,2279700,0,0,1,3,4,4,0,0,1
AT1G23240,0,0,0,0,0,0,0,0,0,0,1
AT1G26550,0,0,0,0,1,0,2,1,0,0,1
AT1G52040,0,0,0,0,0,0,0,2,0,0,1
AT1G52740,0,0,0,0,1,0,0,0,0,0,1
AT1G75910,0,0,0,0,0,1,1,3,0,0,1
AT2G38580,0,0,0,0,1,0,1,1,0,0,1
AT3G02520,0,0,0,0,0,0,0,0,0,0,1
AT3G09500,18960000,21763000,0,0,3,4,2,6,0,0,1
AT3G53230,0,0,0,0,2,1,5,7,0,0,1
AT3G62870,69469000,98788000,0,0,21,25,32,26,0,0,1
AT4G16720,50552000,71543000,0,0,13,14,10,16,0,0,1
AT4G38540,0,0,0,0,0,0,0,0,0,0,1
AT5G07090,31071000,39097000,0,0,14,12,21,19,0,0,1
AT5G46640,0,0,0,0,0,0,0,0,0,0,1
AT5G51590,0,0,0,0,0,0,0,2,0,0,1
AT5G64140,0,0,0,0,0,0,1,0,0,0,1
AT1G35160,13534000,0,0,0,3,1,6,7,1,0,1
AT2G38540,10561000,0,0,0,3,0,2,2,1,0,1
AT5G02500,123130000,80312000,0,0,33,23,76,100,1,0,1
AT1G61730,0,0,0,0,0,0,0,0,2,0,1
AT3G23450,0,17933000,0,0,2,3,3,7,0,1,0
AT4G18100,20795000,43229000,0,0,6,12,11,13,0,1,0
