Protein,WT,WT,AT2G25560,AT2G255601,WT
AT5G52040,410,464,545,558,0
AT3G44310,179,199,264,217,0
AT2G25170,1,0,190,244,0
AT2G25560,5,0,188,193,0
AT1G08600,3,0,156,199,0
AT3G44690,83,77,122,148,0
AT5G02500,33,23,76,100,1
AT3G15730,53,58,66,75,0
AT1G19480,40,37,57,54,0
AT3G08590,38,44,47,88,0
AT1G48120,20,16,41,47,0
AT1G01730,0,0,40,31,0
AT1G64880,16,24,37,44,0
ATCG00490,30,42,36,49,0
AT1G43170,26,27,32,32,0
AT3G62870,21,25,32,26,0
AT3G55870,6,11,32,27,0
AT3G08530,17,5,31,28,0
AT5G26742,21,20,29,30,0
AT5G52040,4,3,29,8,0
AT1G71080,22,28,28,33,0
AT3G44320,18,15,27,17,0
AT3G09630,22,24,25,25,0
AT2G29560,17,24,23,17,0
AT2G19520,3,2,22,15,0
AT5G10360,19,19,22,22,0
AT5G07090,14,12,21,19,0
AT3G04840,6,6,20,19,0
AT5G35200,17,9,20,21,0
AT2G27530,20,28,19,22,0
AT1G56070,2,6,19,29,0
AT1G29250,14,22,18,22,3
AT5G20290,12,14,18,21,0
AT2G01250,12,14,18,17,0
AT2G18020,21,22,18,29,0
AT5G62700,8,2,18,24,0
ATCG01310,17,10,18,16,0
AT5G49910,0,3,17,23,0
AT4G35630,25,6,17,37,0
AT3G49010,11,12,16,13,1
AT5G43960,8,7,16,18,0
AT4G14960,4,2,15,25,6
AT1G27090,14,12,15,17,0
AT4G10320,10,0,15,18,0
AT1G61850,12,9,14,13,0
AT2G32080,12,13,14,21,0
AT5G51750,11,15,14,16,0
AT5G65770,0,0,14,18,0
AT5G42020,13,6,13,29,3
AT3G03540,19,10,13,9,0
AT3G09440,5,0,13,16,0
AT3G49910,8,17,13,16,0
AT3G52930,10,10,13,17,0
AT4G38970,6,8,13,12,0
AT4G39880,10,14,13,12,0
AT5G36160,10,6,13,9,0
AT5G52040,7,8,13,14,0
AT5G24780,21,13,12,23,3
AT5G27850,8,11,12,15,0
AT2G41840,13,7,12,14,0
AT2G44730,0,0,12,16,0
AT3G60770,6,9,12,16,0
AT5G15200,8,12,12,11,0
