Protein,AT3G20810,AT3G20810,AT3G20810,AT3G20810,AT3G20810,AT3G20810,WT,WT
AT3G20810,102,98,96,175,137,128,2,0
AT1G48120,91,89,77,112,86,92,0,0
AT4G35630,84,74,71,92,90,85,1,0
AT1G19480,66,60,59,69,64,67,0,0
AT4G10320,64,57,54,75,45,45,0,0
AT5G35200,61,58,58,72,68,57,0,0
AT3G44320,60,81,69,96,91,67,3,0
AT5G43940,52,46,35,73,76,79,3,0
AT4G37800,43,50,39,53,40,34,0,0
AT3G44690,42,22,21,21,19,23,0,0
AT5G04140,38,38,33,43,24,33,1,0
AT1G71080,35,25,28,38,41,32,0,0
AT5G26710,34,46,42,36,32,35,0,0
AT1G69830,33,33,34,39,37,36,1,0
AT3G23990,33,37,24,29,31,43,0,0
AT3G11130,32,46,36,49,30,30,1,0
AT1G15750,31,24,24,30,21,27,0,0
AT3G11910,30,39,31,72,45,52,0,0
AT3G18190,30,32,22,34,28,40,0,0
AT4G35090,30,24,30,19,26,26,11,0
AT5G26360,30,33,27,36,35,35,4,0
AT5G65730,30,37,28,27,22,23,0,0
AT2G47730,27,18,17,14,12,15,6,0
AT4G18480,27,26,25,20,17,17,3,0
AT5G11710,27,26,21,36,33,24,0,0
AT2G29560,26,17,21,18,9,20,0,0
AT3G55410,26,21,19,19,17,22,1,0
AT1G07890,25,19,17,18,18,24,6,0
AT2G23390,25,26,28,28,31,24,0,0
AT2G40660,25,24,24,26,19,19,0,0
AT1G20020,24,25,22,22,27,30,0,0
AT3G03960,24,23,25,29,23,31,0,0
AT3G20050,24,24,25,28,24,27,0,0
AT1G53750,23,17,18,20,19,20,0,0
AT2G17630,23,28,31,26,26,24,0,0
AT2G21390,23,35,28,26,27,30,0,0
AT4G26530,23,16,16,18,19,19,0,0
AT1G24510,22,22,24,31,20,28,0,0
AT2G20580,22,33,26,24,18,29,0,0
AT2G38040,22,19,20,18,17,19,0,0
AT3G11830,22,28,32,31,29,30,0,0
AT5G16070,22,19,19,29,21,18,0,0
AT3G09820,21,21,26,23,21,21,9,0
AT5G20890,21,28,25,29,27,29,0,0
AT5G56030,21,23,15,27,21,28,0,0
AT5G25980,20,18,13,22,21,21,0,0
AT1G36160,19,23,18,13,15,17,0,0
AT1G78900,19,31,20,24,19,24,1,0
AT4G37930,19,17,16,18,16,18,6,0
AT2G13360,17,18,18,14,15,16,4,0
AT2G42600,17,16,20,10,7,9,0,0
AT3G57410,17,21,12,7,5,9,0,0
