Protein,WT,AT1G05490,AT3G24340,AT5G18000,AT5G60140,WT,AT1G05490,AT3G24340,AT5G18000,AT5G60140
AT5G52040,1271,1553,1628,1551,795,1388,1692,1525,1382,1274
AT3G24340,0,0,297,6,0,0,0,287,5,0
AT1G63020,0,382,248,2,0,0,408,242,3,0
AT3G08590,106,257,210,141,74,123,258,265,147,144
AT3G23780,2,285,203,4,0,1,290,207,6,1
AT3G44690,172,240,187,213,97,211,255,225,223,199
AT3G44310,144,230,182,137,80,103,232,214,161,156
AT4G35630,87,197,176,110,73,93,197,179,89,105
AT4G10320,118,207,173,182,71,121,241,197,166,112
AT1G19480,77,166,157,113,56,110,188,155,119,94
ATCG00490,105,194,152,117,72,103,190,172,130,111
AT4G11130,0,205,140,0,0,0,192,141,1,0
AT1G64880,72,116,135,108,59,65,134,112,106,72
AT5G02500,61,202,103,129,48,55,200,99,100,73
AT2G40030,0,42,96,0,0,0,39,101,1,0
AT5G26710,64,98,92,84,52,75,104,91,81,74
AT5G62700,51,127,85,83,20,61,134,90,73,50
AT1G43170,94,81,84,91,40,87,87,80,95,75
AT1G48120,35,95,80,68,13,28,95,93,62,33
AT3G52930,42,51,80,78,39,54,54,83,69,51
AT2G39730,34,100,71,68,20,48,94,64,42,37
AT1G57720,36,51,64,46,14,31,71,57,47,34
AT1G56070,61,75,64,71,26,61,80,65,61,60
AT2G15430,2,97,63,5,0,3,72,55,2,3
AT2G40660,53,65,63,62,28,59,63,65,67,59
AT3G62870,53,69,57,52,33,59,66,59,53,51
AT4G16265,1,88,52,3,0,0,88,49,1,0
AT5G56030,26,67,50,39,8,25,65,43,32,25
AT5G26742,50,75,50,53,34,58,70,62,59,54
AT5G65730,24,60,49,45,18,22,71,68,45,41
AT1G71080,36,61,49,52,23,45,52,50,49,36
AT5G20290,42,47,48,47,29,37,50,47,44,32
AT1G20960,32,53,45,42,11,35,58,47,36,29
AT5G24780,27,52,44,37,13,46,69,38,27,24
AT5G28540,37,50,44,40,28,47,45,46,38,49
AT3G09630,38,49,43,51,35,39,54,50,48,43
AT4G37800,23,37,42,29,15,25,29,33,29,24
AT5G35200,29,50,42,34,20,30,57,40,25,24
