Protein,WT,AT4G00990
AT4G00990,979,230
AT5G52040,574,492
AT3G44690,145,148
AT5G02500,134,37
AT5G62700,114,28
AT3G08590,87,63
AT3G44310,85,91
AT1G19480,85,80
AT1G56070,68,16
AT4G35630,59,41
AT1G50140,59,0
ATCG00490,55,40
AT5G28540,47,26
AT1G43170,41,47
AT5G20290,39,20
AT1G64880,38,31
AT2G47610,37,26
AT1G48920,37,21
AT5G07090,37,21
AT1G50010,37,14
AT1G71080,35,28
AT3G15730,35,28
AT3G13920,33,3
AT2G39730,32,12
AT3G08530,31,24
AT2G29550,31,4
AT1G29250,30,26
AT3G09630,28,25
AT5G10360,28,22
AT2G43030,28,13
AT3G09440,28,4
AT5G04290,28,2
AT1G48120,27,15
AT5G26742,26,15
AT1G27090,26,13
AT3G25860,26,13
AT4G10320,24,15
AT5G24780,24,15
AT5G09810,24,14
AT4G24280,24,12
AT2G18020,23,18
AT5G26710,22,19
AT3G52930,22,15
AT3G49010,22,11
AT3G45140,22,7
AT5G56030,22,7
AT2G17630,20,14
AT5G36160,20,11
AT1G78630,20,6
AT3G26650,20,3
AT1G08360,19,32
AT1G52400,19,16
AT2G42520,19,11
AT2G01250,18,16
AT3G04840,18,11
AT5G15200,18,11
AT5G35200,18,7
AT5G02490,18,3
AT2G38040,18,2
AT1G70320,18,0
AT5G59950,17,13
AT3G55870,17,10
AT1G07890,17,8
AT2G31610,17,4
AT2G25870,17,1
AT4G05420,17,1
AT4G33400,17,0
AT4G16720,16,17
AT3G24830,16,16
AT3G09820,16,12
AT5G02530,16,11
AT5G09590,16,8
AT3G17390,16,7
AT3G49140,16,0
AT3G48930,15,15
AT3G23600,15,14
AT3G49910,15,14
AT4G37800,15,12
AT1G02780,15,11
AT5G38420,15,11
AT1G02840,15,9
AT3G62250,15,9
AT3G11510,15,9
AT5G51750,15,9
AT3G09200,15,8
AT3G09840,15,8
AT1G13440,15,7
AT3G06650,15,5
AT4G13940,15,5
AT2G33210,15,1
AT5G47210,14,20
AT3G20820,14,18
AT2G41840,14,16
AT1G70180,14,14
AT2G29560,14,14
AT5G46430,14,14
AT2G32080,14,12
AT1G74060,14,11
AT1G20620,14,10
AT3G55410,14,10
AT1G01300,14,5
AT1G20010,14,5
AT3G05530,14,5
AT5G44340,14,1
ATCG00750,14,1
AT3G17850,14,0
AT3G03540,13,15
AT5G27850,13,12
ATCG01310,13,12
AT5G60100,13,11
AT3G13580,13,9
AT3G59970,13,7
AT4G34980,13,7
AT1G02500,13,5
AT1G65440,13,5
AT5G11200,13,4
AT5G65770,13,3
AT3G03960,13,2
AT5G19780,13,2
AT5G60790,13,2
AT1G63640,13,0
AT2G40660,12,13
AT3G18740,12,13
AT3G29410,12,13
AT1G26630,12,9
AT2G27530,12,9
AT2G28790,12,8
AT4G16155,12,7
AT1G52570,12,5
AT2G34480,12,5
AT2G20580,12,4
AT3G44110,12,3
AT1G50370,12,0
AT4G37210,12,0
AT2G19070,11,12
AT1G48410,11,9
AT3G44320,11,9
AT1G34430,11,8
AT4G00100,11,7
AT5G39740,11,7
AT4G16143,11,6
AT1G55490,11,5
AT1G07930,11,3
AT1G57720,11,2
ATCG01240,11,1
AT1G53750,11,0
AT3G55280,10,12
AT1G70600,10,9
AT1G66580,10,9
AT2G27720,10,9
AT3G22230,10,7
AT2G34160,10,6
AT4G34670,10,5
AT1G67090,10,4
AT1G72370,10,4
AT1G33120,10,3
AT3G01500,10,3
AT3G60750,10,3
ATCG00660,10,3
AT5G55190,10,2
AT1G20020,10,1
AT4G26110,10,1
AT4G37910,10,1
AT1G78570,10,0
AT2G03820,10,0
AT4G08455,10,0
AT4G25340,10,0
AT3G53740,9,12
AT4G20850,9,9
AT5G59970,9,8
AT1G75940,9,7
AT4G38970,9,7
AT5G45775,9,6
AT3G53020,9,6
AT3G62530,9,6
AT5G06850,9,5
AT5G22650,9,5
AT1G61850,9,3
AT2G36530,9,3
AT4G09000,9,2
AT5G03740,9,2
AT2G19480,9,1
AT1G05890,9,0
AT1G69830,9,0
AT3G06340,9,0
AT3G58110,9,0
AT5G13530,9,0
ATCG00790,9,0
AT3G28500,8,13
AT3G25920,8,11
AT1G26110,8,10
AT2G21660,8,9
AT5G19510,8,9
AT2G37190,8,7
