Protein,WT,WT,AT1G05490,AT1G05490,AT5G18000,AT5G18000,AT5G60140,AT5G60140,AT1G77270,AT1G77270
AT3G44310,132,46,99,55,123,47,83,105,59,50
AT3G08590,67,12,58,71,71,54,42,44,25,42
AT2G38540,16,20,21,22,25,26,17,17,24,21
ATCG00490,45,15,47,30,69,29,39,44,22,35
AT2G21660,25,13,31,28,34,37,22,36,22,30
AT5G52040,217,77,93,65,113,76,90,60,21,52
AT1G52400,47,4,58,64,59,69,20,33,20,37
AT5G25980,57,10,52,45,48,30,25,22,18,28
AT4G37800,33,7,37,28,43,27,28,14,16,14
AT1G48920,38,24,64,28,59,39,44,28,15,32
AT1G57720,49,1,49,41,57,36,41,41,15,24
AT5G02500,25,4,44,19,39,16,19,19,14,19
AT4G35630,26,5,36,33,34,38,26,20,13,16
AT5G09810,21,5,26,6,25,8,14,18,12,20
AT4G39260,13,4,13,16,21,21,7,11,12,14
AT1G71080,26,7,22,34,32,19,22,27,11,26
AT5G47210,20,6,27,21,43,22,28,14,11,15
AT1G77270,0,0,0,0,7,0,0,0,11,11
AT3G16470,14,1,17,28,18,19,8,12,11,6
AT4G10320,39,1,45,33,55,25,32,14,10,14
AT5G11200,35,4,41,19,51,9,18,15,9,9
AT5G10360,16,6,19,19,21,12,10,15,8,14
AT3G22330,22,7,14,13,18,13,13,10,7,10
AT3G13570,19,17,13,6,42,20,26,23,6,27
AT5G60390,23,5,18,16,26,9,17,16,6,14
AT3G63095,16,2,13,6,22,7,21,7,6,13
AT5G19510,19,1,6,6,17,3,17,16,6,10
AT1G52030,14,1,21,21,25,22,7,7,6,9
AT3G44690,18,1,28,16,21,4,18,15,6,7
AT5G09650,9,0,9,10,22,8,15,8,6,6
AT4G26840,2,0,6,4,7,3,5,4,6,6
AT2G39330,7,0,11,9,12,10,3,5,6,3
AT3G49430,21,16,21,6,30,12,17,14,5,21
AT5G42020,29,3,21,19,36,20,22,11,5,16
AT3G52930,18,1,22,14,26,17,14,11,5,15
AT3G09630,12,5,14,9,22,12,9,9,5,10
AT3G11510,10,11,16,15,22,16,11,11,5,10
AT1G29250,10,4,14,7,18,5,9,7,5,9
AT2G33845,7,5,6,7,8,11,6,6,5,8
AT2G18020,12,5,17,10,19,9,4,8,5,6
AT1G20620,14,1,13,7,15,3,8,10,5,5
AT2G46110,10,4,7,2,10,5,14,10,5,5
AT3G26060,10,5,10,5,11,6,11,6,5,4
AT4G39880,8,6,6,6,7,4,5,6,5,4
AT3G02110,17,1,9,0,8,2,9,6,5,2
