Protein,WT,WT,AT1G09060,AT1G09060,AT4G00990,AT4G00990
AT4G00990,0,1,0,0,465,587
AT5G52040,300,375,385,518,413,244
AT3G44310,99,136,96,163,167,96
AT3G44690,116,123,98,104,94,85
ATCG00490,67,78,52,102,91,83
AT5G02500,22,36,76,100,73,84
AT1G56070,25,34,42,84,70,70
AT3G08590,50,65,60,83,64,61
AT5G62700,8,10,25,70,62,56
AT1G19480,39,47,46,71,51,55
AT3G15730,15,21,18,35,47,29
AT5G28540,29,28,33,36,42,38
AT4G20850,14,23,24,35,39,34
AT4G35630,38,53,38,63,39,47
AT3G52930,33,36,22,34,37,36
AT3G62870,13,18,17,10,36,8
AT1G43170,10,16,9,17,35,33
AT1G71080,27,31,29,34,35,24
AT1G20620,25,31,23,37,32,32
AT2G20580,3,4,17,19,30,28
AT4G35090,15,19,20,35,30,24
AT2G38040,5,6,14,20,29,27
AT1G29250,14,21,9,9,29,11
AT3G09820,16,25,23,30,29,28
AT1G42970,9,12,14,23,28,21
AT1G07890,13,16,19,27,27,23
AT4G24280,8,10,22,22,26,16
AT5G56010,8,15,15,23,26,25
AT5G04140,0,3,2,4,25,9
AT3G55410,4,4,4,13,25,14
AT3G62250,6,5,16,26,25,35
AT4G14960,6,8,16,23,25,18
AT3G06650,11,13,10,16,25,16
AT4G33010,12,15,12,35,25,22
AT5G09810,15,22,33,50,25,24
AT5G47690,0,0,2,6,24,19
AT1G55490,7,5,6,9,24,12
AT3G45140,8,5,14,12,24,20
AT3G09630,9,11,10,6,24,14
AT1G21750,9,16,12,23,24,22
AT2G39730,6,9,9,22,23,18
AT2G37040,19,16,11,23,23,28
AT1G20960,3,1,11,19,22,21
AT1G36160,0,2,10,15,22,19
AT1G79930,3,6,10,17,22,21
AT3G42170,0,0,11,19,21,17
AT1G80070,1,1,9,21,21,19
AT5G50920,2,1,7,12,21,15
AT5G10360,10,7,12,13,21,27
AT2G28000,7,8,12,13,21,19
AT1G69740,10,11,6,22,21,11
AT1G78900,7,12,14,14,21,20
AT3G17390,9,12,12,19,21,16
AT3G03540,13,16,16,19,21,19
AT5G67630,0,0,72,63,20,9
AT4G17330,0,0,10,14,20,18
AT3G54760,0,1,10,9,20,25
AT2G04030,2,1,6,9,20,19
AT5G57655,10,11,11,16,20,11
AT5G20290,10,13,11,12,20,18
AT3G13920,1,1,14,19,19,14
AT1G65010,2,1,2,4,19,7
AT3G09840,7,8,9,21,19,14
AT2G27040,10,19,11,20,19,16
AT1G09770,1,3,11,16,18,13
AT5G01410,3,3,4,7,18,4
AT4G16720,7,5,5,6,18,4
AT3G03960,6,6,5,16,18,18
AT1G48410,4,9,5,10,18,11
AT2G19520,8,13,15,25,18,17
AT2G46280,7,14,8,13,18,16
AT1G09060,0,0,377,632,17,7
AT2G21390,0,0,5,7,17,12
AT5G65770,0,0,3,3,17,13
AT5G35630,7,4,3,8,17,9
AT3G09440,2,5,8,11,17,15
AT3G48560,2,5,4,6,17,4
AT1G52030,6,7,10,12,17,13
AT4G13940,7,7,9,7,17,18
AT3G55120,6,9,12,10,17,15
AT3G44320,8,9,4,7,17,10
AT3G01500,13,9,11,11,17,11
AT2G47510,6,12,10,13,17,18
AT4G31490,0,0,12,16,16,18
AT4G35800,0,0,1,2,16,16
AT2G32730,1,0,4,6,16,13
AT3G11910,1,0,3,9,16,13
AT5G04290,1,1,1,4,16,15
AT1G69830,4,1,10,12,16,15
AT4G29060,3,2,3,7,16,14
AT1G78570,2,3,2,1,16,11
ATCG00120,1,5,5,4,16,12
AT4G37910,4,7,14,22,16,18
AT5G60390,12,7,9,11,16,9
AT1G08360,9,9,9,10,16,7
AT2G18020,7,10,10,6,16,14
AT1G26630,8,11,10,12,16,19
ATCG00500,0,0,4,9,15,10
AT4G16143,1,3,6,11,15,12
AT3G20050,1,4,10,13,15,7
AT3G25860,3,4,5,13,15,15
AT5G55230,4,4,6,9,15,8
AT4G20360,1,5,10,12,15,13
AT1G65960,3,5,6,13,15,12
AT4G24620,3,6,3,11,15,13
AT3G55870,4,6,8,12,15,9
AT3G49910,6,6,7,5,15,6
AT3G59970,11,6,5,10,15,16
AT3G09200,2,8,10,5,15,4
AT5G27850,5,8,7,7,15,13
AT5G07090,7,9,8,9,15,13
AT5G38420,4,10,15,19,15,10
AT2G21660,12,15,9,13,15,9
AT1G48920,23,16,13,16,15,31
AT1G20200,0,1,8,4,14,12
AT2G41740,1,1,5,5,14,7
AT1G53750,1,1,4,8,14,15
AT5G30510,2,1,5,6,14,11
AT3G05530,2,3,13,17,14,16
AT5G27640,3,3,4,10,14,9
AT1G32060,4,4,3,9,14,5
AT4G16155,5,4,5,8,14,12
AT3G60750,4,7,6,7,14,8
AT1G27090,7,7,13,15,14,17
AT1G13440,7,9,7,13,14,14
AT4G39330,4,10,4,10,14,11
AT5G24780,12,11,6,14,14,5
AT4G38970,17,14,12,16,14,13
AT5G25980,8,15,8,27,14,10
AT5G26710,11,17,17,20,14,20
AT2G01250,0,0,3,3,13,15
AT1G02840,1,2,3,7,13,8
AT5G26742,1,2,1,4,13,2
AT4G05420,2,2,5,12,13,13
AT1G65440,2,3,8,3,13,12
AT1G18540,5,4,4,4,13,1
AT5G59290,5,4,2,7,13,4
AT4G26110,4,5,5,4,13,9
AT1G48420,5,5,2,6,13,5
AT3G55280,4,7,4,5,13,4
AT1G26110,6,8,5,9,13,7
AT5G09590,9,9,11,18,13,16
AT5G19510,6,10,5,13,13,10
AT3G26060,10,10,11,14,13,13
AT2G40660,7,11,12,13,13,17
AT5G02530,12,11,9,10,13,16
AT1G04410,12,12,8,16,13,15
ATCG01310,0,0,0,2,12,4
AT5G60210,0,1,1,2,12,4
AT3G18190,3,1,2,7,12,11
AT4G00100,1,2,4,7,12,8
AT5G02490,1,3,12,15,12,15
AT2G43770,1,3,7,8,12,13
AT3G11830,7,3,7,11,12,8
AT2G19480,4,4,1,7,12,5
AT3G49010,5,4,5,7,12,10
AT4G26870,2,5,2,1,12,7
AT2G36880,3,5,4,8,12,10
AT5G15200,6,5,2,6,12,15
AT1G48120,3,6,9,11,12,10
AT1G60710,6,6,3,4,12,6
AT2G25970,6,7,2,6,12,12
AT1G08200,1,8,5,6,12,9
AT1G75940,6,9,4,16,12,11
AT5G17920,7,9,8,14,12,12
AT2G47730,7,9,4,17,12,7
AT3G11510,5,12,9,7,12,17
AT4G10320,7,12,11,15,12,19
AT5G08450,0,0,11,7,11,15
AT4G21710,0,0,7,15,11,13
AT5G66420,0,0,7,8,11,19
AT3G49140,0,0,0,0,11,5
AT3G60240,1,0,3,5,11,9
AT4G00570,5,1,2,3,11,6
AT3G56150,0,2,3,3,11,6
AT5G44340,1,2,3,6,11,10
AT1G09640,3,2,2,13,11,12
AT3G11130,0,3,11,8,11,13
AT4G22670,2,3,8,10,11,7
AT4G29040,5,3,2,7,11,9
AT5G08640,6,3,4,12,11,10
AT2G33340,0,4,10,11,11,12
AT3G20820,2,4,2,5,11,4
AT2G29550,3,4,10,9,11,11
ATCG00480,4,4,7,16,11,10
