Protein,WT,WT
AT1G54850,0,9
AT5G09810,16,8
AT3G01450,4,6
AT4G34980,24,6
AT1G76440,0,5
AT2G39730,3,4
AT1G50010,4,4
ATCG00490,12,4
AT2G36170,2,3
AT5G24780,4,3
AT5G62700,5,3
AT3G14067,1,2
AT5G02500,3,2
AT5G38420,3,2
AT3G18780,3,2
AT4G20360,0,1
AT3G01500,0,1
AT5G56710,0,1
ATCG00480,0,1
AT2G38540,0,1
AT5G37380,0,1
AT1G53780,0,1
AT3G09840,0,1
AT3G46580,0,1
AT4G21620,0,1
AT1G24020,1,1
AT5G17920,1,1
AT3G14240,2,1
ATCG00120,2,1
AT1G10395,2,1
AT3G05560,2,1
AT2G34420,2,1
AT1G42970,6,1
AT5G35630,7,1
AT3G12145,0,0
AT4G28520,0,0
AT4G38970,0,0
AT1G07890,0,0
AT2G36980,0,0
AT2G29550,0,0
AT1G05190,0,0
AT5G45775,0,0
AT3G11630,0,0
AT4G33865,0,0
AT3G15730,0,0
AT5G56030,0,0
AT1G43170,0,0
AT3G55120,0,0
AT1G20010,0,0
AT2G19480,0,0
AT1G03880,0,0
AT1G20870,0,0
AT2G21660,0,0
AT3G13920,0,0
AT3G09440,0,0
AT4G13940,0,0
AT5G02490,0,0
AT5G20290,0,0
AT5G42980,0,0
AT1G56070,0,0
AT4G38680,0,0
AT1G45000,0,0
AT1G78570,0,0
AT3G60750,0,0
AT4G21280,0,0
AT4G21890,0,0
AT5G02240,0,0
AT5G15230,0,0
AT1G06680,0,0
AT1G12900,0,0
AT1G55040,0,0
AT2G37660,0,0
AT2G38620,0,0
AT3G60245,0,0
AT3G20250,0,0
AT3G20820,0,0
AT3G25520,0,0
AT3G49010,0,0
AT3G52960,0,0
AT4G00100,0,0
AT4G01080,0,0
AT4G09000,0,0
AT4G13930,0,0
AT5G44340,0,0
AT4G22670,0,0
AT3G49640,0,0
AT4G27090,0,0
AT5G24770,0,0
ATCG00020,0,0
AT1G52400,0,0
AT3G15980,0,0
AT1G20620,0,0
AT1G04410,0,0
AT1G52040,0,0
AT2G01710,0,0
AT1G48860,0,0
AT1G72370,0,0
AT1G78300,0,0
AT2G21060,0,0
AT3G06010,0,0
AT3G25860,0,0
AT4G00980,0,0
AT4G20850,0,0
AT1G08430,0,0
AT1G22300,0,0
AT1G30570,0,0
AT1G47490,0,0
AT1G64520,0,0
AT5G07410,0,0
AT1G74810,0,0
AT2G47470,0,0
AT3G03460,0,0
AT3G12110,0,0
AT3G17020,0,0
AT3G44110,0,0
AT4G35785,0,0
AT4G39680,0,0
AT5G07550,0,0
AT5G23940,0,0
AT5G48180,0,0
AT1G47870,0,0
AT2G27830,0,0
AT5G63120,0,0
AT4G22240,0,0
AT4G39260,0,0
AT5G60070,0,0
AT1G30630,1,0
AT1G67090,1,0
AT3G53750,1,0
AT3G09820,1,0
AT4G39200,1,0
AT3G45140,1,0
AT4G14960,1,0
AT2G31610,1,0
AT5G14670,1,0
AT4G27160,1,0
AT5G42020,1,0
AT1G20630,1,0
AT2G19730,1,0
AT5G41580,1,0
AT1G26630,1,0
AT3G55280,1,0
AT3G50820,1,0
AT5G01600,1,0
AT5G02870,1,0
AT5G49910,1,0
AT1G67430,1,0
ATMG01190,1,0
AT4G34870,1,0
AT5G08230,1,0
AT1G02050,1,0
AT5G48880,1,0
AT2G33510,1,0
AT2G43030,1,0
AT4G21490,1,0
AT4G38062,1,0
AT5G02430,1,0
AT5G09260,1,0
AT5G59310,1,0
ATCG00540,1,0
AT1G07930,2,0
AT3G52930,2,0
AT2G40010,2,0
AT3G12780,2,0
AT5G55190,2,0
AT5G60670,2,0
AT3G11510,2,0
AT5G20630,2,0
AT5G26000,2,0
AT2G36880,2,0
AT5G54640,2,0
AT5G08690,2,0
AT3G26650,3,0
AT1G13440,4,0
AT5G19780,4,0
AT5G59970,4,0
AT2G10940,4,0
AT1G02500,5,0
AT3G44310,5,0
AT4G35090,6,0
AT5G52040,15,0
