Protein,WT,WT,AT3G06220,AT1G63020,AT1G630201,AT5G18000,AT5G180001,AT5G180002,AT5G180003,AT1G05490,AT1G054901,AT1G054902,AT1G054903
AT5G52040,1107,1049,949,988,988,1091,1031,1115,1080,929,1106,892,1002
AT3G44690,213,195,178,150,157,223,260,244,260,252,199,139,144
AT3G44310,303,351,244,262,347,363,292,231,270,249,306,271,237
AT3G08590,211,175,186,174,189,220,179,197,191,197,242,153,176
ATCG00490,98,113,104,103,150,128,161,129,156,120,155,83,96
AT1G19480,123,110,107,127,136,120,116,111,110,104,131,97,113
AT4G35630,96,109,94,86,108,116,78,92,88,111,153,94,104
AT1G64880,88,62,81,66,99,93,109,91,96,112,91,78,64
AT5G02500,75,65,70,251,385,134,117,72,88,163,216,107,112
AT1G48120,59,57,63,59,68,63,60,63,60,61,68,49,55
AT3G15730,86,89,63,82,90,75,50,58,63,45,83,65,93
AT1G43170,79,64,56,60,68,73,78,56,70,68,71,72,63
AT1G71080,67,63,57,57,42,70,66,51,55,60,52,49,39
AT2G29560,41,44,50,47,54,46,44,48,45,30,36,29,27
AT3G55870,45,58,35,48,42,36,30,48,42,30,42,37,36
AT3G62870,52,39,44,49,47,49,51,45,51,47,41,54,45
AT3G09630,55,51,42,51,65,54,59,44,62,54,68,54,58
AT5G18000,0,0,0,0,0,126,131,42,65,1,0,0,1
AT1G56070,58,51,54,74,90,68,64,42,64,62,69,55,60
AT1G08360,39,30,31,32,39,38,42,42,42,44,30,39,39
AT2G38760,1,0,31,0,0,35,34,42,40,32,0,7,0
AT4G10320,51,34,36,39,41,60,39,41,51,60,61,26,34
AT2G18020,39,38,33,44,36,30,40,40,38,38,38,32,41
AT5G26710,35,26,31,23,28,40,40,39,43,44,42,23,22
AT5G62700,51,40,22,115,158,67,64,37,49,71,85,38,76
AT5G42020,36,42,27,41,45,51,40,37,41,43,49,48,44
AT5G26742,48,30,23,36,41,49,40,36,30,31,48,43,44
AT3G44320,48,60,28,31,58,56,39,35,36,28,46,30,27
AT3G29410,43,30,30,33,42,50,43,35,34,53,41,28,37
AT3G11130,56,42,37,48,58,49,41,35,38,47,52,39,46
AT5G20290,42,31,35,45,40,40,46,35,31,26,44,38,37
AT1G20960,42,23,33,31,41,32,40,35,40,48,34,28,22
AT1G52400,42,36,28,35,31,46,41,34,43,37,47,30,33
AT3G49010,29,26,29,34,31,30,28,34,29,20,32,25,23
AT5G07090,47,33,34,36,41,46,35,33,33,37,37,36,43
AT2G38750,2,0,27,0,0,24,30,33,35,30,0,9,0
AT5G10360,38,33,39,39,35,37,39,32,37,37,32,35,40
AT3G04840,30,23,25,34,42,39,35,31,28,31,34,28,36
AT1G27090,30,25,35,32,29,37,32,31,31,25,41,35,24
AT4G24280,39,30,22,38,39,36,36,31,34,33,43,30,29
AT4G20850,34,21,19,31,34,32,34,31,33,25,37,17,34
AT5G24780,35,39,27,33,40,37,32,30,24,27,42,24,35
AT3G55410,34,34,29,31,31,36,32,30,32,20,37,28,36
AT3G45140,33,29,25,37,46,33,37,30,39,27,46,23,33
AT1G80070,45,16,24,33,43,33,39,30,37,43,49,28,26
AT3G52930,33,31,34,25,38,31,47,30,41,39,37,31,29
AT4G16720,34,24,21,30,29,30,29,30,25,28,30,30,26
AT5G65770,20,11,17,12,20,25,29,30,21,30,30,14,13
AT2G17630,26,28,30,23,36,29,20,29,26,49,44,28,28
AT1G55490,25,23,33,40,40,38,37,28,36,35,32,30,31
AT2G28000,33,29,30,34,39,32,42,28,40,38,34,33,26
AT3G03540,38,27,35,33,40,29,28,28,34,28,23,30,34
AT5G27850,24,25,28,21,35,25,23,28,23,20,26,24,23
AT3G09820,24,28,23,31,30,24,32,27,26,19,25,28,36
AT2G32080,20,19,23,24,16,20,24,27,32,20,19,16,16
AT2G01250,29,30,25,32,35,38,24,26,30,31,33,32,33
AT3G25860,31,25,25,26,26,26,28,26,26,24,34,25,29
AT3G17390,26,20,20,27,27,14,25,26,21,16,36,26,34
AT2G33340,30,17,25,25,31,19,25,25,24,30,32,25,16
AT5G26000,28,35,32,26,42,33,22,24,31,32,50,27,24
AT5G25980,29,23,31,31,35,29,23,24,34,24,39,26,35
AT5G15200,21,27,18,24,18,27,25,24,20,24,24,21,23
AT2G36160,19,22,19,26,33,26,28,24,21,24,22,16,29
AT4G33680,27,25,30,35,25,24,26,24,17,19,31,28,25
AT2G41840,31,26,24,32,32,24,25,24,23,28,29,25,28
AT5G56030,17,19,25,76,126,36,32,23,42,59,70,38,49
AT1G06220,23,16,19,16,16,33,22,23,27,36,30,27,11
AT3G62250,21,13,23,37,49,31,33,23,31,40,41,29,39
AT5G47210,21,18,30,15,19,26,29,23,29,22,22,21,19
AT2G43030,35,24,19,27,30,24,24,23,22,26,28,24,26
AT5G09810,19,21,20,40,36,21,28,23,24,26,37,24,35
AT5G38420,23,23,17,22,33,24,25,22,24,25,30,16,18
AT3G09200,30,25,26,19,23,23,24,22,20,22,23,19,29
AT5G09650,18,23,20,13,17,22,26,22,26,26,23,13,15
AT4G16155,25,15,25,21,27,22,22,22,18,14,28,20,21
AT5G59950,23,14,20,19,20,20,17,22,24,21,18,23,19
AT1G61850,18,17,29,33,35,19,26,22,17,20,24,17,15
AT5G51750,21,22,8,20,25,17,20,22,20,18,18,10,22
AT2G39730,22,18,17,35,52,31,31,21,26,27,41,21,23
AT1G18540,34,22,25,25,26,28,32,21,26,16,26,29,26
AT2G40660,25,17,17,18,21,24,25,21,24,28,24,17,19
AT1G07890,30,25,23,32,34,21,29,21,24,24,31,22,28
AT5G36160,25,20,16,24,21,15,13,21,18,22,22,19,32
AT3G57150,10,1,15,0,11,9,9,21,21,14,5,21,4
AT1G50010,30,21,23,46,57,33,28,20,32,32,50,25,38
AT3G06650,24,23,20,18,21,23,18,20,22,22,22,22,26
ATCG01310,29,26,22,18,26,23,18,20,21,16,25,23,31
AT3G23990,26,15,19,27,26,22,26,20,25,17,21,15,17
AT1G48920,18,22,14,17,16,21,29,20,23,18,20,22,17
AT4G00100,20,20,21,22,17,21,22,20,26,25,20,20,20
AT5G43960,22,25,21,15,22,17,18,20,21,14,26,11,16
AT3G04120,15,14,14,23,28,29,20,19,18,17,28,16,20
AT2G39800,13,21,17,19,19,22,25,19,15,22,28,16,19
AT5G02530,16,14,15,17,15,17,19,19,21,13,19,14,17
AT4G37910,20,12,15,16,22,25,25,18,22,18,29,19,23
AT3G13580,32,27,31,21,29,25,21,18,28,24,29,26,21
AT4G38680,16,22,24,28,24,23,17,18,18,14,19,19,19
AT5G35360,18,14,11,16,20,21,21,18,15,15,19,15,21
AT4G13940,19,15,14,18,30,19,27,18,18,19,21,17,20
AT1G20620,28,28,29,19,26,19,27,18,15,14,25,21,35
AT5G28740,18,14,12,8,12,16,19,18,14,12,17,13,2
AT3G23600,13,16,9,12,22,14,16,18,18,18,19,8,8
AT5G57290,22,16,6,7,15,7,15,18,16,18,20,8,17
AT1G66580,22,32,13,28,21,27,31,17,27,18,24,22,27
