Protein,WT,WT.1,AT5G27240,AT5G27240,AT3G04980,AT3G04980,AT2G36490,AT2G36490
AT5G27240,0,0,190,333,2,0,0,0
AT2G36490,0,0,99,6,7,1,1880,2254
AT5G49910,8,0,25,47,16,21,57,66
AT5G02490,3,0,24,44,47,60,116,169
AT5G62700,22,0,20,21,12,16,140,171
AT2G29560,12,0,20,27,21,27,24,19
AT5G26742,20,0,16,24,17,21,32,69
AT1G78630,13,0,16,15,23,25,28,28
AT3G55410,14,0,15,11,8,14,33,51
AT3G27850,6,0,12,6,10,10,8,9
AT1G50010,19,0,11,12,7,15,51,79
ATCG00810,3,0,11,6,5,6,7,5
AT5G51750,10,0,10,4,4,10,14,24
AT4G16143,8,0,9,12,8,8,48,62
AT2G28000,16,0,9,9,4,6,26,21
ATCG00380,9,0,9,6,8,10,20,32
AT4G34980,5,0,9,3,5,5,13,17
AT1G52570,12,0,8,12,2,6,18,23
AT4G39680,14,0,8,9,10,13,15,9
AT3G55220,6,0,8,4,1,5,8,19
AT3G01500,4,0,8,15,5,7,7,6
AT4G25130,0,0,8,5,3,5,1,2
AT5G09590,10,0,7,19,15,28,37,45
AT3G13920,5,0,7,2,1,4,20,29
AT4G33680,10,0,7,11,15,16,17,11
AT1G76010,1,0,7,8,4,5,11,15
AT4G38970,4,0,7,8,3,6,6,12
AT1G67430,1,0,6,7,6,8,14,17
AT3G60245,3,0,6,5,6,6,13,20
AT5G60100,5,0,6,7,3,8,13,11
AT5G23740,5,0,6,8,9,5,12,8
AT5G17920,5,0,6,3,2,2,7,27
AT3G56490,0,0,6,1,1,3,1,2
AT3G04980,0,0,6,12,482,546,0,0
AT3G44110,7,0,5,5,1,3,34,45
AT1G01300,8,0,5,9,14,13,21,29
AT4G24280,3,0,5,17,6,7,21,24
AT5G02790,2,0,5,10,6,8,19,15
AT5G65750,6,0,5,10,2,6,17,18
AT5G18380,1,0,5,2,3,2,14,17
AT2G33340,9,0,5,2,6,10,13,22
AT4G09000,4,0,5,5,0,2,13,15
AT1G04270,2,0,5,5,4,2,7,5
AT2G19540,1,0,5,1,1,1,6,6
AT1G09310,3,0,5,7,3,6,4,8
AT4G18905,1,0,5,3,2,3,4,6
AT5G38480,3,0,5,2,2,2,4,3
AT1G22300,3,0,5,3,0,1,3,10
AT4G27090,1,0,5,2,0,0,3,9
AT3G55440,2,0,5,4,3,2,2,5
AT1G52030,6,0,5,1,2,2,2,18
AT1G35310,0,0,5,4,3,3,0,0
AT3G12580,0,0,4,7,23,21,38,25
AT2G29550,1,0,4,5,2,5,37,48
AT3G54210,7,0,4,5,3,6,17,16
AT3G26650,7,0,4,5,0,0,17,24
AT5G26000,6,0,4,2,0,1,11,15
AT3G11130,6,0,4,7,2,3,9,11
AT4G13940,7,0,4,5,0,0,7,21
AT3G56910,3,0,4,4,4,5,6,5
AT5G11200,6,0,4,4,0,1,6,10
AT2G45640,3,0,4,2,2,4,5,2
AT2G46280,3,0,4,4,0,0,4,4
AT5G04290,2,0,4,2,1,2,3,11
AT1G75660,2,0,4,3,2,3,2,8
AT1G51510,2,0,4,0,1,5,1,3
AT2G01140,1,0,4,3,1,1,1,2
AT1G69740,4,0,4,3,0,1,1,4
AT4G23670,4,0,4,6,1,0,0,0
AT2G25420,0,0,3,0,0,0,37,48
AT4G37910,1,0,3,10,6,8,23,29
AT1G20010,2,0,3,3,1,1,17,17
AT2G19520,3,0,3,8,2,4,15,12
AT5G07530,1,0,3,2,2,1,15,10
AT3G29410,15,0,3,10,2,3,13,31
AT5G52040,2,0,3,2,2,2,12,12
ATCG00660,5,0,3,5,5,5,11,11
AT3G09840,5,0,3,6,0,1,10,22
AT5G63420,3,0,3,8,7,13,9,13
AT5G08690,4,0,3,0,0,1,9,18
ATCG00330,2,0,3,7,2,4,8,11
AT3G58500,0,0,3,1,1,1,8,9
AT4G16500,3,0,3,5,4,3,7,7
AT4G15900,5,0,3,1,8,5,6,17
AT3G11630,0,0,3,2,7,2,6,5
AT1G13880,5,0,3,2,1,4,5,12
AT4G35090,2,0,3,5,1,3,5,8
AT5G09510,3,0,3,3,3,0,4,5
AT1G65440,2,0,3,3,1,2,4,15
AT5G15650,5,0,3,6,1,2,4,9
AT3G17390,0,0,3,1,0,1,4,7
AT4G24130,1,0,3,3,2,3,3,6
AT4G26630,1,0,3,5,1,2,3,5
AT2G10940,1,0,3,2,4,1,2,3
