Protein,WT,AT2G04865,AT1G17930
AT2G04865,1,271,0
AT3G10730,0,5,0
AT5G47880,0,4,0
AT2G30060,1,4,0
AT5G36880,1,4,0
AT2G19730,0,3,0
ATCG00470,0,3,0
AT3G49430,1,3,0
AT1G32440,1,3,0
AT3G57150,3,3,0
AT5G19950,0,0,5
AT1G35670,3,3,0
AT5G16390,0,2,0
AT2G05830,0,2,0
AT3G14930,0,2,0
AT2G18740,0,2,0
AT2G21385,0,2,0
AT1G03890,0,2,0
AT5G52820,0,2,0
AT2G27020,0,2,0
AT1G11580,0,2,0
AT5G45950,0,2,0
AT2G33210,1,2,0
AT1G70840,1,2,0
AT3G23390,1,2,0
AT1G74960,1,2,0
AT5G13650,1,2,0
AT2G19480,1,2,0
AT3G05420,1,2,0
AT5G13050,1,2,0
AT5G63890,1,2,0
AT3G52200,2,2,0
AT1G03600,2,2,0
AT2G28190,5,2,0
ATCG00680,0,1,0
AT5G52040,0,1,0
AT3G51840,0,1,0
AT5G56710,0,1,0
AT1G32690,0,1,0
AT1G67370,0,1,0
AT3G27160,0,1,0
AT5G54600,0,1,0
AT3G48690,0,1,0
AT4G02840,0,1,0
AT5G24420,0,1,0
AT4G27160,0,1,0
AT1G17170,0,1,0
AT3G20370,0,1,0
AT3G63490,0,1,0
AT2G17265,0,1,0
AT4G32330,0,1,0
AT1G02620,0,1,0
AT1G07370,0,1,0
AT4G02580,0,1,0
AT5G07390,0,1,0
AT4G17300,0,1,0
AT3G62730,0,1,0
AT1G09940,0,1,0
AT5G65110,0,1,0
AT5G57420,0,1,0
AT2G35635,0,1,0
AT5G59880,0,1,0
AT4G29720,0,1,0
AT1G50480,0,1,0
AT2G39990,0,1,0
AT4G11820,0,1,0
AT1G04690,0,1,0
AT1G09010,0,1,0
AT1G15820,0,1,0
AT1G63770,0,1,0
AT3G01310,0,1,0
AT3G03060,0,1,0
AT3G10220,0,1,0
AT3G18165,0,1,0
AT4G20960,0,1,0
AT5G03740,0,1,0
AT1G67310,1,1,0
AT1G27310,1,1,0
AT5G60360,1,1,0
AT1G76300,1,1,0
AT4G09150,1,1,0
AT1G48860,1,1,0
AT3G16910,1,1,0
AT3G13470,1,1,0
AT5G64990,1,1,0
AT5G51110,1,1,0
AT2G30050,1,1,0
AT5G04280,1,1,0
AT4G34620,2,1,0
AT3G01390,2,1,0
AT1G09130,2,1,0
AT2G02850,2,1,0
AT1G62380,3,1,0
AT1G16150,3,1,0
AT4G19880,3,1,0
AT5G55040,0,0,0
AT2G22560,0,0,0
AT3G06720,0,0,0
AT5G01010,0,0,0
AT4G29640,0,0,0
AT4G01050,0,0,0
AT1G16030,0,0,0
AT1G52740,0,0,0
AT2G42170,0,0,0
AT3G06010,1,0,0
AT3G12915,1,0,0
