Protein,AT4G31680,AT4G31680,AT2G24740,AT2G24740,WT,WT,AT1G01730,AT1G08600,AT2G25170,AT2G25170
AT2G25170,0,0,0,0,0,0,421,533,707,1315
AT5G52040,0,367,341,397,383,477,366,485,339,505
AT1G08600,0,0,0,0,0,0,225,1010,57,82
AT3G44690,0,153,114,111,142,154,132,155,58,126
AT5G53150,0,0,0,0,0,0,129,78,0,0
AT3G44310,0,144,139,156,170,168,126,162,154,167
AT2G05230,0,0,0,0,0,0,115,79,0,0
AT5G02500,0,67,115,116,47,45,113,136,115,187
AT1G01730,0,0,0,0,0,0,92,98,186,345
AT2G25560,0,0,0,0,0,0,83,177,3,8
AT3G08590,0,79,75,57,86,101,76,111,55,151
AT1G19480,0,82,92,71,73,77,70,97,82,106
AT4G10320,0,34,30,16,24,32,59,48,14,61
AT4G35630,0,31,50,38,45,49,53,60,33,60
ATCG00490,0,36,43,33,46,43,49,61,40,72
AT5G26710,0,25,28,12,26,25,48,40,11,37
AT1G64880,0,57,52,33,40,56,47,70,19,54
AT5G47210,0,27,21,23,28,31,42,28,11,18
AT5G42020,0,16,32,25,19,27,41,39,28,42
AT1G43170,0,46,51,38,56,53,38,53,35,58
AT3G15730,0,37,37,47,59,50,36,51,71,58
AT1G48120,0,28,27,19,14,41,32,63,22,57
AT3G09630,0,44,34,27,36,35,31,36,27,40
AT3G08530,0,29,27,28,29,37,30,55,38,61
AT1G71080,0,34,22,26,34,32,30,41,23,31
AT5G62700,0,24,31,26,24,22,29,75,21,55
AT3G55870,0,25,13,16,18,24,29,31,43,39
AT1G56070,0,19,27,17,24,29,28,57,13,41
AT3G62870,0,43,32,27,48,42,27,40,20,43
AT1G20960,0,24,22,18,27,31,27,36,9,49
AT4G37800,0,7,20,20,15,15,27,32,11,29
AT1G48410,0,22,17,27,32,50,26,31,12,23
AT2G38760,0,24,18,0,0,19,26,18,0,4
AT5G35200,0,15,17,16,17,14,25,22,25,32
AT2G38750,0,16,7,0,0,21,25,20,13,15
AT5G59970,0,6,9,2,5,5,25,77,2,5
AT1G27090,0,20,21,17,19,21,24,24,15,17
AT5G43960,0,14,21,17,16,26,24,26,13,19
AT1G52400,0,15,25,13,15,19,23,32,28,36
AT3G09440,0,13,27,29,7,7,23,26,19,42
AT5G58420,0,19,31,19,26,29,23,24,14,30
AT1G08360,0,29,25,20,33,38,23,22,17,36
AT4G15000,0,18,15,11,14,27,23,20,18,24
AT5G10360,0,24,22,16,23,18,23,22,9,21
AT2G17630,0,15,16,9,21,18,23,19,9,26
AT2G31610,0,12,6,5,11,5,22,20,4,15
AT3G62250,0,15,27,25,10,7,21,27,21,28
AT5G20290,0,21,25,19,30,20,21,25,17,32
AT5G59950,0,30,26,26,22,24,20,22,20,26
AT4G24280,0,9,20,6,13,11,20,26,16,45
AT2G01250,0,24,31,17,25,28,19,34,13,33
AT3G49010,0,18,20,18,27,21,19,17,13,24
AT2G40660,0,22,9,6,19,14,19,25,4,28
AT5G02490,0,6,22,13,4,6,19,33,21,38
AT1G50010,0,18,18,17,17,14,19,29,15,35
AT1G34430,0,14,14,14,18,18,19,20,10,19
AT3G09820,0,2,5,3,6,6,19,16,4,14
AT2G18020,0,23,23,26,32,24,18,31,22,28
AT5G15200,0,22,18,15,23,17,18,20,9,19
AT3G26650,0,5,6,6,7,8,18,22,7,20
AT1G61850,0,17,7,11,10,19,17,31,25,38
AT1G80070,0,11,23,4,27,37,17,43,4,50
AT5G09590,0,3,14,5,7,9,17,16,2,21
AT2G42520,0,13,9,9,12,18,17,14,2,13
AT1G66580,0,14,19,12,19,22,16,16,14,20
AT4G16720,0,17,24,12,26,24,16,19,11,22
AT3G52930,0,12,15,6,13,16,16,20,8,23
AT2G39800,0,15,3,3,8,11,16,12,4,8
AT5G09650,0,3,8,1,8,8,16,10,0,8
AT1G48920,0,26,20,22,25,26,15,22,10,20
AT2G32080,0,17,7,12,10,15,15,16,17,21
AT5G02530,0,14,14,13,19,18,15,14,17,12
AT4G00100,0,15,18,15,16,18,15,21,11,19
AT3G04840,0,15,13,21,23,21,15,23,10,26
AT5G27850,0,15,21,12,22,18,15,21,15,19
AT1G20620,0,5,5,1,12,12,15,8,12,23
AT3G53430,0,8,12,5,8,9,15,7,5,11
AT5G63110,0,8,3,4,6,17,15,10,3,6
AT5G11710,0,4,10,4,7,5,15,17,4,7
AT4G40030,0,0,3,0,0,1,15,27,1,5
AT2G29560,0,25,11,17,30,29,14,28,29,31
AT3G44320,0,16,15,16,22,15,14,24,18,17
AT4G18100,0,21,19,10,14,16,14,20,6,15
AT3G53020,0,13,12,7,13,18,14,15,12,19
AT5G02870,0,9,9,11,12,14,14,10,12,12
AT3G48930,0,11,16,15,12,16,14,15,9,17
AT3G17390,0,3,8,4,9,9,14,12,4,21
AT1G33140,0,4,9,4,8,7,14,15,2,11
AT1G74060,0,24,12,15,18,16,13,24,13,23
AT3G03540,0,22,14,16,17,18,13,24,7,25
