Protein,AT4G31680,AT4G31680,AT2G24740,AT2G24740,WT,WT,AT1G01730,AT1G08600
AT2G25560,0,0,0,0,0,0,83,176
AT2G25170,0,0,0,0,0,0,420,547
AT1G08600,0,0,0,0,0,0,222,1044
AT5G48160,0,0,0,0,0,0,0,4
AT3G63500,0,0,0,0,0,0,1,2
AT3G11910,1,0,6,5,0,0,0,1
AT2G44730,0,0,0,0,0,0,0,6
AT1G48560,0,0,0,0,0,0,0,4
AT5G57020,0,0,0,0,0,0,0,0
AT2G05230,0,0,0,0,0,0,115,80
AT1G01730,0,0,0,0,0,0,93,98
AT1G01510,0,0,0,0,0,0,0,4
AT2G44530,0,1,3,0,1,0,0,2
AT1G53750,0,0,6,2,1,0,7,15
AT1G14740,0,0,0,0,0,0,0,1
AT1G61710,1,0,3,0,1,0,0,0
AT3G07780,0,0,0,0,0,0,0,0
AT5G12250,0,1,1,2,1,0,0,4
AT1G33240,0,0,0,0,0,0,2,3
AT5G06600,0,0,2,3,0,0,0,2
AT5G03780,0,0,0,0,0,0,0,2
AT1G14770,0,0,0,0,0,0,0,1
AT2G24310,0,0,0,0,0,0,0,1
AT2G33210,0,1,0,0,0,0,0,0
AT5G58340,0,0,0,0,0,0,0,0
AT3G07850,0,0,0,0,0,0,0,4
AT1G54220,1,1,0,0,1,0,0,0
AT5G53150,0,0,0,0,0,0,129,86
AT4G24820,1,1,0,2,1,0,3,10
AT2G04030,0,0,1,0,3,0,2,8
AT2G06850,0,0,0,0,0,0,0,8
AT1G70320,0,0,5,2,0,0,0,5
AT1G76880,0,0,0,0,0,0,0,3
AT5G27640,0,0,1,0,2,0,0,2
AT1G73460,0,0,0,0,0,0,0,2
AT1G51510,2,1,2,1,0,0,3,1
AT1G64370,0,1,1,0,0,0,1,1
AT3G24860,0,0,0,0,0,0,0,1
AT5G40950,0,1,0,0,0,0,0,1
AT4G39200,0,1,0,0,1,0,1,0
AT4G32570,0,0,0,0,0,0,0,0
AT5G51590,0,0,0,0,0,0,0,0
AT4G01850,1,2,2,2,3,0,6,7
AT5G22580,0,0,0,0,0,0,1,1
AT4G29350,0,0,2,0,0,0,0,1
AT1G49130,0,0,1,0,0,0,0,1
AT1G35310,0,0,0,0,2,0,0,1
AT2G45640,1,0,0,0,1,0,0,0
AT3G02260,0,0,0,0,0,0,0,4
AT3G56490,2,0,0,0,1,0,3,2
AT2G28355,0,1,0,0,1,0,0,2
AT5G54760,0,0,0,0,1,0,3,1
AT3G23390,1,3,0,1,0,0,0,1
AT2G21390,0,0,0,0,0,0,0,14
AT3G12800,4,3,2,1,3,0,0,6
AT4G11380,0,0,0,0,0,0,0,6
AT5G59850,0,0,7,1,1,0,5,5
AT3G19120,0,0,0,0,0,0,0,5
AT1G09070,3,2,0,0,2,0,0,5
AT3G04670,0,0,0,0,0,0,2,3
AT1G35160,0,1,2,4,1,0,1,3
AT3G06720,0,0,0,0,1,0,1,3
AT4G33400,0,0,1,0,0,0,0,3
AT5G63120,2,2,2,1,0,0,2,2
AT3G20050,2,1,0,0,0,0,1,2
AT1G16870,1,2,0,1,2,0,1,2
AT1G15720,0,0,0,0,0,0,0,2
AT1G54060,0,0,0,0,0,0,0,2
AT4G22140,0,0,0,0,0,0,0,2
AT5G03470,0,1,0,0,0,0,0,2
AT5G20240,0,0,0,0,0,0,0,2
AT5G46020,1,2,2,0,0,0,2,1
AT1G09270,0,0,0,0,0,0,2,1
AT5G16390,1,1,0,0,2,0,2,1
AT1G62390,1,0,1,0,1,0,1,1
AT3G04640,2,1,0,0,0,0,1,1
AT1G07210,0,0,0,0,0,0,1,1
AT1G75240,0,0,0,0,0,0,0,1
AT2G28290,0,0,0,0,0,0,0,1
AT3G60190,0,0,0,0,0,0,0,1
AT4G17060,0,0,0,0,0,0,0,1
AT4G22240,0,0,0,0,0,0,0,1
AT5G25230,0,1,0,0,0,0,0,1
AT5G25757,0,0,0,0,0,0,0,1
ATCG00170,0,0,0,0,0,0,0,1
AT5G05780,0,0,2,1,0,0,2,0
ATCG00820,2,1,1,2,0,0,1,0
AT1G65010,0,0,1,0,0,0,1,0
AT5G16050,0,0,1,2,0,0,1,0
AT2G17930,0,0,0,0,0,0,1,0
AT4G15802,0,0,0,0,0,0,1,0
AT5G44100,2,1,1,1,0,0,0,0
AT3G24080,0,0,1,0,0,0,0,0
AT1G65890,0,0,1,1,1,0,0,0
AT5G14320,0,0,1,1,1,0,0,0
AT1G12380,0,0,0,0,0,0,0,0
AT1G15740,1,0,0,0,0,0,0,1
AT3G44370,1,0,2,0,0,0,0,2
AT4G27010,1,0,0,0,0,0,1,0
AT1G15290,0,0,0,0,0,0,0,0
AT1G30880,0,2,0,0,0,0,0,0
AT2G34810,0,0,0,0,0,0,0,0
AT3G11770,0,0,0,0,0,0,0,0
AT3G13350,0,0,0,0,0,0,0,0
AT4G02150,0,0,0,0,0,0,0,0
AT4G25590,0,0,0,0,0,0,0,0
AT5G23680,0,0,0,0,0,0,0,0
AT5G62670,0,0,0,0,0,0,0,0
AT2G19870,1,0,0,0,1,0,0,0
AT5G20720,1,2,0,0,1,0,0,0
AT5G27720,0,1,0,0,2,0,0,0
AT1G53110,0,0,0,0,0,0,0,1
AT1G80940,0,2,0,2,0,0,0,0
AT4G23670,2,0,1,1,1,0,0,6
AT2G28860,0,0,0,0,0,0,0,0
AT5G62310,0,0,0,0,0,0,0,0
AT1G03010,0,0,0,4,3,0,0,0
AT5G23940,0,0,0,0,0,0,0,8
AT1G08730,0,0,0,0,0,0,0,2
AT2G17870,0,1,0,0,1,0,0,2
ATCG00650,0,0,0,0,2,0,1,1
AT5G24420,0,0,1,0,0,0,1,0
AT2G20597,0,1,1,1,4,0,1,0
AT1G04790,0,0,0,0,0,0,0,0
AT1G80950,0,0,0,0,0,0,0,0
AT2G21940,0,0,0,1,0,0,0,0
AT5G24490,0,0,0,0,0,0,0,0
AT5G40340,0,0,0,0,0,0,0,11
AT1G04170,0,0,0,0,0,0,1,9
AT3G42170,0,0,0,0,0,0,0,9
AT1G29150,0,1,0,0,0,0,0,7
AT5G25460,1,0,0,1,0,0,3,6
AT1G80480,0,0,0,0,0,0,1,6
AT4G34450,0,0,0,0,0,0,0,6
AT5G42790,0,0,4,1,0,0,7,5
AT4G13400,3,2,1,0,1,0,1,5
AT5G47930,0,0,1,0,1,0,1,5
AT4G29730,0,0,0,0,0,0,0,5
AT5G22060,0,0,0,0,0,0,0,5
AT5G22770,0,0,0,0,0,0,0,5
AT5G23860,0,0,0,0,0,0,0,5
AT5G27120,0,3,0,0,0,0,0,5
AT4G37930,3,1,0,0,1,0,0,5
AT1G79930,0,1,1,0,1,0,2,4
AT4G35780,0,0,0,0,0,0,1,4
AT1G12900,0,0,0,0,1,0,1,4
AT2G19480,0,0,3,1,0,0,0,4
AT5G20920,0,0,1,0,1,0,0,4
AT2G15430,0,0,0,0,0,0,0,4
AT2G24200,0,0,0,0,0,0,0,4
AT2G40290,0,0,0,0,0,0,0,4
AT3G19820,0,0,0,0,0,0,0,4
AT4G04640,0,0,0,0,0,0,0,4
AT5G14520,0,0,0,0,0,0,0,4
ATCG01060,0,0,0,0,0,0,0,4
AT5G35590,0,0,0,0,0,0,4,3
AT1G73380,0,1,1,0,0,0,3,3
AT3G49470,0,0,0,0,0,0,3,3
AT3G55360,0,0,0,0,0,0,3,3
AT2G27020,0,0,2,0,0,0,2,3
AT5G01600,0,0,2,0,1,0,1,3
AT5G40200,1,3,2,0,2,0,1,3
AT5G14670,0,0,0,0,0,0,1,3
AT1G70830,0,0,0,0,0,0,1,3
AT2G40360,0,2,0,0,0,0,1,3
AT3G11400,0,0,0,1,0,0,1,3
AT5G30510,0,0,0,0,0,0,1,3
AT1G24260,0,0,2,0,0,0,0,3
AT2G28950,0,0,1,1,0,0,0,3
AT3G58610,0,0,1,0,0,0,0,3
AT5G51120,1,3,1,1,1,0,0,3
AT1G47550,0,0,0,0,0,0,0,3
AT1G64790,0,0,0,0,0,0,0,3
AT2G05920,0,0,0,0,0,0,0,3
AT2G47250,0,0,0,0,0,0,0,3
AT3G61240,0,0,0,0,0,0,0,3
AT4G15020,0,0,0,0,0,0,0,3
AT4G36250,0,0,0,0,0,0,0,3
AT5G42820,0,0,0,0,0,0,0,3
AT5G46630,0,0,0,0,0,0,0,3
AT5G48880,0,0,0,0,0,0,0,3
AT1G02330,0,1,0,0,1,0,0,3
AT1G76030,0,0,0,0,1,0,0,3
AT1G79280,0,1,0,0,3,0,0,3
AT5G62300,0,0,0,0,1,0,8,2
AT1G56450,0,0,2,0,0,0,2,2
AT1G77750,0,0,2,0,0,0,2,2
AT1G79210,0,0,2,0,0,0,2,2
AT5G43990,1,2,1,0,0,0,2,2
AT3G56150,0,1,1,0,1,0,1,2
AT3G02080,1,0,0,0,0,0,1,2
AT1G79370,0,0,0,0,0,0,1,2
AT3G50050,0,0,0,0,0,0,1,2
AT4G39520,0,0,0,0,0,0,1,2
AT5G35530,0,0,0,0,0,0,1,2
AT1G20450,2,0,0,0,1,0,1,2
AT5G08450,0,0,5,0,0,0,0,2
AT1G12920,0,0,1,0,0,0,0,2
AT5G60670,0,0,1,0,0,0,0,2
AT1G02080,0,0,0,0,0,0,0,2
AT1G05380,0,0,0,0,0,0,0,2
AT1G07440,0,0,0,0,0,0,0,2
AT1G09210,0,0,0,0,0,0,0,2
AT1G22410,0,0,0,0,0,0,0,2
AT1G24706,0,1,0,0,0,0,0,2
AT1G27752,0,0,0,0,0,0,0,2
AT1G30680,0,0,0,0,0,0,0,2
AT1G54170,0,0,0,0,0,0,0,2
AT1G74470,0,0,0,0,0,0,0,2
AT2G03820,0,0,0,0,0,0,0,2
AT2G17410,0,0,0,0,0,0,0,2
AT3G25800,0,0,0,0,0,0,0,2
AT3G45190,0,0,0,0,0,0,0,2
AT5G59890,0,0,0,0,0,0,0,2
AT3G53990,0,0,0,0,0,0,0,2
AT3G55340,0,0,0,0,0,0,0,2
AT3G57410,0,0,0,0,0,0,0,2
AT4G00990,0,0,0,0,0,0,0,2
AT4G08350,0,0,0,0,0,0,0,2
AT4G10610,0,0,0,0,0,0,0,2
AT4G25500,0,0,0,0,0,0,0,2
AT5G13430,0,0,0,0,0,0,0,2
AT5G13780,0,0,0,0,0,0,0,2
AT5G15550,0,0,0,0,0,0,0,2
AT5G38430,0,0,0,0,0,0,0,2
AT5G45950,0,0,0,0,0,0,0,2
AT5G51110,0,0,0,0,0,0,0,2
AT5G65720,0,0,0,0,0,0,0,2
ATMG00070,0,0,0,0,0,0,0,2
ATMG00510,0,0,0,0,0,0,0,2
AT1G10300,1,1,0,1,1,0,0,2
AT5G05010,0,0,0,0,1,0,0,2
