Protein,WT,WT,AT4G31680,AT4G31680,AT4G34400
AT4G34400,0,0,0,0,81
AT1G28420,0,0,0,0,24
AT5G44180,0,0,1,0,15
AT3G06400,0,0,0,0,15
AT2G31660,0,0,0,0,14
AT3G07220,0,0,0,0,12
AT3G43240,0,0,0,0,9
AT1G73230,0,0,0,3,5
AT3G44750,0,0,0,1,5
AT1G48630,1,0,0,1,5
AT2G37040,1,0,4,0,5
AT4G27640,0,0,0,0,4
AT2G27020,2,0,2,2,4
AT1G53310,0,0,3,1,3
AT1G79210,0,0,0,1,3
AT1G18840,0,0,0,0,3
AT2G37270,1,0,2,2,3
AT1G76180,3,0,4,5,3
AT2G43910,0,0,2,2,2
AT3G18410,0,0,0,2,2
AT3G52140,0,0,1,1,2
AT3G59540,0,0,0,1,2
AT3G15660,0,0,0,1,2
AT3G21055,0,0,0,1,2
AT5G62390,0,0,0,1,2
AT1G56450,0,0,1,0,2
AT1G52740,0,0,0,0,2
AT2G34860,0,0,0,0,2
AT2G47240,0,0,0,0,2
AT3G19650,0,0,0,0,2
AT3G22310,0,0,0,0,2
AT3G52500,0,0,0,0,2
AT4G02560,0,0,0,0,2
AT5G08180,0,0,0,0,2
AT2G33845,1,0,0,2,2
AT3G24100,1,0,0,2,2
AT5G42790,1,0,0,0,2
AT3G28830,2,0,0,2,2
AT5G44710,3,0,2,2,2
AT1G32480,0,0,0,2,1
AT3G51260,0,0,0,2,1
AT3G48560,0,0,2,1,1
AT3G60540,0,0,1,1,1
AT5G25460,0,0,1,1,1
AT2G14880,0,0,0,1,1
AT3G27430,0,0,0,1,1
AT2G40300,0,0,2,0,1
AT1G79340,0,0,1,0,1
AT1G80940,0,0,1,0,1
AT3G02180,0,0,1,0,1
AT3G06860,0,0,1,0,1
AT3G20390,0,0,1,0,1
AT3G53110,0,0,1,0,1
AT3G54760,0,0,1,0,1
AT5G07030,0,0,1,0,1
AT5G09410,0,0,1,0,1
AT5G62670,0,0,1,0,1
AT1G09780,0,0,0,0,1
AT1G33040,0,0,0,0,1
AT1G64370,0,0,0,0,1
AT1G72550,0,0,0,0,1
AT1G78650,0,0,0,0,1
AT2G19270,0,0,0,0,1
AT2G28470,0,0,0,0,1
AT5G59290,0,0,0,0,1
AT3G17340,0,0,0,0,1
AT3G47370,0,0,0,0,1
AT3G51880,0,0,0,0,1
AT4G10450,0,0,0,0,1
AT4G19570,0,0,0,0,1
AT5G18620,0,0,0,0,1
AT5G19900,0,0,0,0,1
AT5G40490,0,0,0,0,1
AT1G04750,1,0,0,1,1
AT1G13060,1,0,0,1,1
AT4G31360,1,0,0,1,1
AT5G58710,1,0,0,1,1
AT5G60460,1,0,0,1,1
AT1G53280,1,0,3,0,1
AT1G08520,1,0,2,0,1
AT3G13460,1,0,2,0,1
AT2G33040,1,0,1,0,1
AT3G51800,1,0,1,0,1
AT1G22410,1,0,0,0,1
AT1G67230,1,0,0,0,1
AT2G02160,1,0,0,0,1
AT3G29075,1,0,0,0,1
AT4G13230,1,0,0,0,1
AT5G16730,1,0,0,0,1
AT5G63310,1,0,0,0,1
AT3G28790,2,0,2,3,1
AT2G38270,2,0,0,2,1
AT5G20500,2,0,0,2,1
AT3G51240,2,0,5,1,1
AT2G45470,2,0,1,1,1
AT1G62380,2,0,2,0,1
AT1G04280,2,0,1,0,1
AT2G15820,3,0,1,1,1
AT1G08500,4,0,1,1,1
AT4G01580,0,0,32,19,0
AT5G35660,0,0,8,13,0
AT4G28520,0,0,16,8,0
AT3G16620,0,2,1,1,2
AT4G27150,0,0,9,8,0
AT4G27170,0,0,4,6,0
AT2G20960,0,0,0,4,0
AT1G21560,0,0,8,3,0
AT1G62000,0,0,3,3,0
AT5G44120,0,0,3,3,0
AT2G37220,0,0,2,3,0
AT4G27140,0,0,0,3,0
AT2G24645,0,0,6,2,0
AT4G31650,0,0,3,2,0
AT2G20420,0,0,2,2,0
AT1G44575,0,0,1,2,0
AT3G56240,0,0,0,2,0
AT5G40370,0,0,0,2,0
AT5G63900,0,0,0,2,0
AT2G24700,0,0,19,1,0
AT1G48860,0,0,2,1,0
AT3G14100,0,0,2,1,0
AT3G50820,0,0,2,1,0
AT2G04780,0,0,1,1,0
AT3G06580,0,0,1,1,0
AT4G35970,0,0,1,1,0
AT3G61240,0,0,1,1,0
AT4G34870,0,0,1,1,0
AT5G05000,0,0,1,1,0
AT5G40420,0,0,1,1,0
AT5G42190,0,0,1,1,0
AT1G15820,0,0,0,1,0
AT1G31330,0,0,0,1,0
AT1G49130,0,0,0,1,0
AT3G14290,0,0,0,1,0
AT1G79230,0,0,0,1,0
AT2G20597,0,0,0,1,0
AT2G47400,0,0,0,1,0
AT3G53460,0,0,0,1,0
AT3G53890,0,0,0,1,0
AT3G55520,0,0,0,1,0
AT3G59920,0,0,0,1,0
AT3G62730,0,0,0,1,0
AT4G13670,0,0,0,1,0
AT5G25350,0,0,0,1,0
AT5G39490,0,0,0,1,0
AT5G52820,0,0,0,1,0
AT5G54960,0,0,0,1,0
AT1G12900,0,0,5,0,0
AT5G57550,0,0,4,0,0
AT2G33380,0,0,3,0,0
AT3G10850,0,0,3,0,0
AT1G70320,0,0,2,0,0
AT2G15690,0,0,2,0,0
AT2G32765,0,0,2,0,0
AT2G40490,0,0,2,0,0
AT3G02520,0,0,2,0,0
AT3G18960,0,0,2,0,0
AT3G22300,0,0,2,0,0
AT3G45980,0,0,2,0,0
AT4G02930,0,0,2,0,0
AT4G15210,0,0,2,0,0
AT4G33400,0,0,2,0,0
AT4G38130,0,0,2,0,0
AT5G17770,0,0,2,0,0
AT5G45390,0,0,2,0,0
AT5G47930,0,0,2,0,0
AT5G62790,0,0,2,0,0
AT1G03880,0,0,1,0,0
AT1G16030,0,0,1,0,0
AT1G16820,0,0,1,0,0
AT1G24050,0,0,1,0,0
AT1G30630,0,0,1,0,0
AT1G31530,0,0,1,0,0
AT1G49760,0,0,1,0,0
AT1G74030,0,0,1,0,0
AT2G01720,0,0,1,0,0
AT2G05380,0,0,1,0,0
AT2G22240,0,0,1,0,0
AT2G28900,0,0,1,0,0
AT2G36830,0,0,1,0,0
AT3G06850,0,0,1,0,0
AT3G07730,0,0,1,0,0
AT3G08030,0,0,1,0,0
AT3G12290,0,0,1,0,0
AT3G12580,0,0,1,0,0
AT3G12915,0,0,1,0,0
AT3G13990,0,0,1,0,0
AT5G59890,0,0,1,0,0
AT3G46820,0,0,1,0,0
AT3G47520,0,0,1,0,0
AT3G48420,0,0,1,0,0
AT3G58730,0,0,1,0,0
AT4G01170,0,0,1,0,0
AT4G04460,0,0,1,0,0
AT4G11220,0,0,1,0,0
AT4G13780,0,0,1,0,0
AT4G21580,0,0,1,0,0
AT4G25500,0,0,1,0,0
AT4G28540,0,0,1,0,0
AT4G31770,0,0,1,0,0
AT4G32330,0,0,1,0,0
AT4G34350,0,0,1,0,0
AT5G08260,0,0,1,0,0
AT5G13930,0,0,1,0,0
AT5G20630,0,0,1,0,0
AT5G20830,0,0,1,0,0
AT5G34850,0,0,1,0,0
AT5G45620,0,0,1,0,0
AT5G58420,0,0,1,0,0
ATCG00670,0,0,1,0,0
ATCG00740,0,0,1,0,0
ATCG01120,0,0,1,0,0
AT1G17540,0,0,0,0,0
AT1G54410,0,0,0,0,0
AT1G62080,0,0,0,0,0
AT2G25300,0,0,0,0,0
AT1G03130,1,0,1,3,0
AT3G05220,1,0,3,1,0
AT1G16800,1,0,2,1,0
AT4G29350,1,0,2,1,0
AT3G52880,1,0,1,1,0
AT4G24510,1,0,1,1,0
AT4G29060,1,0,1,1,0
ATCG00710,1,0,1,1,0
AT1G15690,1,0,0,1,0
AT2G02100,1,0,0,1,0
AT3G28390,0,0,0,0,3
AT4G14160,1,0,0,1,0
AT4G35570,1,0,0,1,0
AT3G14067,1,0,2,0,0
AT4G15790,1,0,2,0,0
AT5G59870,1,0,2,0,0
AT1G52730,1,0,1,0,0
AT1G18250,1,0,1,0,0
AT3G19980,1,0,1,0,0
