Protein,WT,AT1G17930,AT2G04865
AT1G67750,0.0,441431000.0,303393000.0
AT3G59380,0.0,0.0,56671000.0
AT3G51740,0.0,21337200.0,13591600.0
AT5G41010,0.0,6753090.0,12146700.0
AT5G49210,0.0,0.0,11594200.0
AT5G65280,0.0,0.0,7294590.0
AT4G01130,0.0,3103950.0,7021990.0
AT1G17640,0.0,4807740.0,6393130.0
AT1G26470,0.0,16420200.0,5703200.0
AT1G11780,0.0,6238560.0,5621230.0
AT3G57360,0.0,0.0,4855930.0
AT1G52780,0.0,0.0,4659530.0
AT3G02020,0.0,4392450.0,3380830.0
AT3G07780,0.0,2787430.0,3118520.0
AT1G27850,0.0,2198370.0,3082550.0
AT1G14740,0.0,2353550.0,3009070.0
AT1G63800,0.0,2860110.0,2873280.0
AT3G25680,0.0,3196.26,2789950.0
AT3G03110,0.0,3599070.0,2515290.0
AT3G62700,0.0,0.0,2456940.0
AT5G61910,0.0,3581080.0,2326400.0
AT5G53770,0.0,5229.96,2268050.0
AT5G59710,0.0,2259530.0,2217650.0
AT2G44065,0.0,1479650.0,2151980.0
AT1G16240,0.0,0.0,2130320.0
AT1G17680,0.0,0.0,1939560.0
AT5G24060,0.0,2057490.0,1850950.0
AT5G06780,0.0,0.0,1704520.0
AT3G27320,0.0,0.0,1650380.0
AT1G51350,0.0,250108.0,1589190.0
AT1G12010,0.0,0.0,1588900.0
AT1G73100,0.0,1423040.0,1575250.0
AT5G09740,0.0,0.0,1566010.0
AT3G05760,0.0,1732920.0,1549100.0
AT3G66652,0.0,0.0,1448860.0
AT5G46640,0.0,0.0,1412190.0
AT5G37630,0.0,0.0,1323570.0
AT1G12830,0.0,1937460.0,1303100.0
AT5G09680,0.0,1679340.0,1293330.0
AT3G58680,0.0,0.0,1239430.0
AT1G77210,0.0,0.0,1230880.0
AT1G25380,0.0,0.0,1165520.0
AT1G22770,0.0,658914.0,1145140.0
AT4G29530,0.0,1316720.0,1058970.0
AT5G12430,0.0,999357.0,1048610.0
AT2G35630,0.0,821991.0,1022810.0
AT2G33330,0.0,1299800.0,1006000.0
AT3G21070,0.0,1117920.0,981614.0
AT1G65070,0.0,1092710.0,970160.0
AT1G75410,0.0,885081.0,960651.0
AT1G10240,0.0,0.0,950673.0
AT3G47890,0.0,437362.0,949237.0
AT5G27860,0.0,0.0,936784.0
AT5G06420,0.0,0.0,871097.0
AT1G72390,0.0,754091.0,861258.0
AT1G04780,0.0,3385.14,845089.0
AT4G11120,0.0,0.0,829577.0
AT3G10260,0.0,517822.0,797600.0
AT1G14580,0.0,866616.0,746384.0
AT4G27745,0.0,0.0,740445.0
AT3G25470,0.0,0.0,737013.0
AT3G43590,0.0,662859.0,688708.0
AT2G01910,0.0,475022.0,672880.0
AT1G79880,0.0,447491.0,666950.0
AT2G32690,0.0,782619.0,666079.0
AT1G16280,0.0,244395.0,664700.0
AT1G66940,0.0,3498.03,634172.0
AT1G16445,0.0,844892.0,623459.0
AT2G16890,0.0,631784.0,620859.0
AT3G48150,0.0,0.0,618965.0
AT3G45010,0.0,771867.0,615696.0
AT3G63370,0.0,829675.0,613423.0
AT1G19300,0.0,0.0,595668.0
AT1G26850,0.0,269226.0,588683.0
AT4G38980,0.0,5715.67,582384.0
AT5G23250,0.0,507482.0,577624.0
AT4G01710,0.0,678033.0,544902.0
AT5G46230,0.0,0.0,535645.0
AT1G28380,0.0,574539.0,535148.0
AT3G48350,0.0,636957.0,532784.0
AT5G58270,0.0,0.0,526516.0
