Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT2G24740,0,0,0,0,109070000,59079000,0,0,0,0,102,46
AT3G23990,0,0,1029400,20139000,61171000,36008000,0,0,3,33,57,30
AT3G13860,0,0,0,11300000,27203000,20906000,0,0,0,10,28,13
AT2G33210,0,0,0,7185800,19454000,11406000,0,0,1,12,24,8
AT1G61850,0,0,2948600,1661500,3923800,0,0,0,7,9,14,2
AT1G80490,0,0,0,0,0,0,0,0,0,0,10,2
AT2G29550,0,0,7250000,17555000,7723700,5338300,0,0,3,14,9,6
AT4G31990,0,0,2470600,1913600,5772100,4886700,0,0,7,9,8,10
AT3G06650,0,0,2196100,1708000,1896700,2798800,0,1,3,7,8,4
AT5G56010,0,0,4009100,28699000,4120100,2776200,0,0,12,49,7,5
AT3G09440,0,0,5858600,19374000,2273200,717200,0,0,11,32,7,4
AT2G32080,0,0,7660000,3609100,6152600,5039900,0,1,4,3,7,2
AT1G09310,0,0,5273700,3353400,3751700,7597000,0,0,4,6,6,3
AT4G10320,0,0,0,1244900,1674800,0,0,0,1,6,6,1
AT3G29360,0,0,0,0,0,0,0,0,1,4,6,1
AT1G69830,0,0,0,2070800,3021800,0,0,0,0,2,6,1
AT1G60710,0,0,0,2300100,3456400,2564800,0,1,1,8,6,3
AT3G11130,0,0,0,2037400,1289500,0,0,0,0,9,5,0
AT1G42970,0,0,1931000,1073100,1709700,0,0,0,2,8,5,1
AT2G21660,0,0,4734800,6268500,6621400,8429100,0,0,3,7,5,4
AT3G04840,0,0,0,3195600,2824700,0,0,0,2,7,5,2
AT4G33010,0,0,0,2419900,2424600,2675300,0,0,2,7,5,2
AT5G11170,0,0,0,1916800,2892600,0,0,0,1,7,5,1
ATCG00480,0,0,0,1801800,1377000,0,0,0,3,6,5,0
AT3G60750,0,0,2569800,2325900,2779300,0,0,0,3,6,5,2
AT4G16155,0,0,0,2602200,2019200,0,0,0,1,6,5,1
AT2G27860,0,0,0,0,0,0,0,0,3,5,5,2
AT4G20850,0,0,0,0,0,0,0,0,2,5,5,0
AT4G01850,0,0,0,3125700,3872900,3757900,0,0,1,5,5,2
AT3G27850,0,0,7706900,3504800,4946900,0,0,0,4,4,5,2
AT3G02230,0,0,0,5382500,6357600,0,0,0,1,4,5,1
AT2G44350,0,0,1093700,701380,1629400,0,0,0,3,3,5,0
