Protein,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT2G24740,0,0,0,0,102,46
AT3G23990,0,0,3,33,57,30
AT3G13860,0,0,0,10,28,13
AT2G33210,0,0,1,12,24,8
AT1G61850,0,0,7,9,14,2
AT1G80490,0,0,0,0,10,2
AT2G29550,0,0,3,14,9,6
AT4G31990,0,0,7,9,8,10
AT3G06650,0,1,3,7,8,4
AT5G56010,0,0,12,49,7,5
AT3G09440,0,0,11,32,7,4
AT2G32080,0,1,4,3,7,2
AT1G09310,0,0,4,6,6,3
AT4G10320,0,0,1,6,6,1
AT3G29360,0,0,1,4,6,1
AT1G69830,0,0,0,2,6,1
AT1G60710,0,1,1,8,6,3
AT3G11130,0,0,0,9,5,0
AT1G42970,0,0,2,8,5,1
AT2G21660,0,0,3,7,5,4
AT3G04840,0,0,2,7,5,2
AT4G33010,0,0,2,7,5,2
AT5G11170,0,0,1,7,5,1
ATCG00480,0,0,3,6,5,0
AT3G60750,0,0,3,6,5,2
AT4G16155,0,0,1,6,5,1
AT2G27860,0,0,3,5,5,2
AT4G20850,0,0,2,5,5,0
AT4G01850,0,0,1,5,5,2
AT3G27850,0,0,4,4,5,2
AT3G02230,0,0,1,4,5,1
AT2G44350,0,0,3,3,5,0
AT5G63110,0,0,1,3,5,0
AT3G46970,0,0,1,3,5,1
AT5G43940,0,0,2,1,5,0
AT1G17770,0,0,67,294,4,1
AT3G09840,0,0,3,24,4,1
AT5G06600,0,0,0,23,4,0
AT3G03960,0,0,0,20,4,0
AT3G55440,0,0,3,6,4,5
AT2G33150,0,0,1,6,4,0
AT3G16520,0,0,1,6,4,3
AT5G04140,0,0,0,5,4,0
AT1G23310,0,0,4,4,4,2
AT5G48300,0,0,2,4,4,2
AT1G56100,0,0,2,3,4,1
AT2G01140,0,0,1,2,4,0
AT4G01897,0,0,0,1,4,0
AT1G65450,0,0,1,0,4,2
AT4G13930,0,2,1,1,4,1
AT5G22330,0,0,0,18,3,0
AT3G11830,0,0,0,14,3,0
ATCG00120,0,0,1,11,3,0
AT5G19550,0,0,3,7,3,6
AT5G12250,0,0,1,6,3,0
AT3G55120,0,0,2,5,3,1
AT1G71220,0,0,2,5,3,2
AT1G11860,0,0,2,4,3,2
AT5G59880,0,0,2,4,3,5
AT4G16143,0,0,1,4,3,1
AT3G48730,0,0,1,3,3,1
AT2G40660,0,0,0,3,3,0
AT5G13930,0,0,2,2,3,0
AT5G02240,0,0,2,1,3,0
AT2G36880,0,0,2,1,3,1
AT5G67360,0,0,0,1,3,1
