Protein,AT2G27040,AT2G27040,WT
AT3G28220,53,57,119
ATCG00490,71,56,123
AT5G38420,17,23,38
AT1G67090,15,20,32
AT1G52400,46,48,72
AT5G38430,14,18,23
AT3G62250,16,6,37
AT2G47110,16,6,37
AT3G04120,24,18,72
AT2G35635,15,6,33
AT1G31340,15,6,33
AT5G62690,44,30,63
AT5G62700,44,30,63
AT1G13440,25,17,70
AT1G07940,36,16,103
AT1G07930,36,16,103
AT1G07920,36,16,103
AT5G60390,36,16,103
AT5G23860,41,27,61
AT2G29550,39,27,59
AT1G24020,12,11,17
AT4G02290,44,32,52
AT2G27040,101,75,2
AT1G33120,16,10,20
AT1G33140,16,10,20
AT4G27090,12,7,12
AT5G44340,32,24,46
AT4G20890,33,22,49
AT1G50010,35,23,43
AT1G04820,35,23,43
AT4G14960,35,23,0
AT5G09810,27,18,38
AT5G25980,32,29,55
AT3G52930,24,16,37
AT5G24780,13,12,34
AT2G06850,20,17,19
AT3G12145,25,14,28
AT5G19770,34,21,31
AT5G19780,34,21,31
AT5G02500,43,30,52
AT3G58570,44,37,32
AT4G13940,33,20,40
AT1G20010,31,19,35
AT3G16470,28,18,38
AT1G19570,17,8,14
AT5G12250,28,17,38
AT1G07890,18,12,12
AT1G52030,39,20,65
AT3G08580,22,11,42
AT1G56070,53,36,58
AT2G37620,22,18,22
AT3G53750,22,18,22
AT2G31610,10,9,27
AT2G28740,7,5,4
AT5G59970,7,5,4
AT3G46320,7,5,4
AT3G45930,7,5,4
AT3G53730,7,5,4
AT1G07820,7,5,4
AT5G59690,7,5,4
AT1G07660,7,5,4
AT3G20820,23,14,25
AT3G12110,23,16,22
AT3G09440,38,23,50
ATCG00480,30,20,31
AT5G56010,38,27,46
AT3G55440,14,9,18
AT2G27100,48,30,30
AT3G26650,20,13,30
AT2G36530,23,16,29
AT5G17920,40,24,58
AT3G45140,47,32,56
AT1G04410,15,12,23
AT3G13920,24,13,27
AT1G54270,23,14,25
AT1G75780,23,14,31
AT1G18080,18,12,17
AT2G01250,10,10,13
AT3G09820,19,12,18
AT2G20450,7,4,9
AT3G04840,16,6,19
AT3G46520,19,14,19
AT5G59370,19,14,19
AT1G78300,11,9,16
AT2G39330,21,13,33
AT1G76030,22,15,30
AT1G20260,22,15,30
AT5G02490,27,19,45
AT3G23810,28,12,29
AT1G72370,13,11,14
AT3G58510,33,21,25
AT1G49240,17,13,18
AT3G18780,17,13,18
AT5G42020,34,19,36
AT1G07770,6,4,7
AT5G59850,6,4,7
ATCG01060,5,2,4
AT1G43170,21,12,17
AT2G42740,9,6,8
AT3G58700,9,6,8
AT4G18730,9,6,8
AT5G45775,9,6,8
AT5G58420,14,7,14
AT2G17360,14,7,14
AT5G07090,14,7,14
AT1G78900,26,20,34
AT2G33370,8,4,6
AT3G04400,8,4,6
AT1G04480,8,4,6
AT1G52040,27,10,26
AT5G28540,34,18,35
AT4G38510,23,13,29
AT1G42970,16,15,24
AT4G38970,17,12,21
AT5G42980,6,4,4
AT3G01280,15,8,11
AT3G01500,13,11,18
AT5G20290,10,8,7
AT5G39310,7,11,16
AT1G35160,14,7,17
AT2G44120,10,8,11
AT3G16640,10,4,7
AT2G39730,19,11,31
AT1G12900,15,11,23
AT2G42520,31,21,19
AT3G02520,11,6,17
AT5G38480,10,7,14
AT5G55190,0,6,0
AT5G20010,8,6,13
AT5G20020,0,6,0
AT5G15090,13,8,11
AT5G02870,18,10,22
AT4G09000,12,8,19
ATCG00120,24,15,19
AT3G12580,26,16,37
AT5G03300,16,9,15
AT4G15000,6,4,5
AT1G15930,6,5,4
AT1G65930,19,10,19
AT1G64740,20,13,17
AT5G15200,8,5,10
AT3G09630,16,9,23
AT3G47470,11,8,7
AT4G10340,13,8,9
AT3G09200,13,8,15
AT5G57290,5,4,3
AT5G18380,5,4,7
AT2G36460,12,9,19
AT3G11510,6,4,6
AT2G36160,6,0,6
AT3G17390,22,8,14
AT1G74050,8,4,16
AT1G74060,8,4,16
AT4G35630,17,14,10
AT4G28250,9,8,9
AT5G14740,9,10,14
AT4G17390,9,5,7
AT4G16720,9,5,7
AT2G43970,24,18,6
AT5G08670,24,12,22
AT5G08680,24,12,22
AT5G08690,24,12,22
AT3G12780,18,9,25
AT2G28000,22,14,23
AT1G79550,17,8,17
AT4G09320,5,4,8
AT4G34670,10,4,15
AT3G60750,30,18,24
AT2G27710,4,3,4
AT1G67730,9,5,21
AT3G52580,5,4,5
AT2G30860,9,6,4
AT5G35590,9,6,8
AT2G41840,10,6,12
AT3G48930,6,3,7
AT1G61520,9,6,11
AT1G53240,12,7,14
AT1G36240,0,0,4
AT3G18740,3,3,4
AT4G24190,28,18,32
AT1G31330,7,7,4
AT3G02230,14,6,16
AT3G08530,53,33,82
AT3G18130,12,9,7
AT4G20360,16,11,17
AT2G16600,7,3,7
AT5G67500,15,4,12
AT2G18960,30,17,47
AT1G78570,23,13,28
AT2G36880,23,5,11
AT2G17630,16,11,9
AT3G05910,15,11,9
AT3G11130,55,33,74
AT5G16050,9,4,14
AT3G52880,17,10,15
AT3G05530,14,10,13
AT1G11840,10,7,12
AT4G34870,6,4,5
AT1G75560,13,5,5
AT2G42100,9,10,13
AT2G32060,5,3,5
AT5G14040,12,7,16
AT1G18250,8,5,9
AT3G09840,25,16,32
AT5G26742,28,18,16
AT5G15520,3,2,8
AT3G02080,0,2,9
AT5G61170,0,2,11
AT3G62290,6,3,8
AT1G10630,6,3,8
AT5G14670,6,3,8
AT1G70490,6,3,8
AT2G47170,6,3,8
AT1G23490,6,3,8
AT5G26000,18,12,16
AT5G15650,14,6,13
AT5G35630,18,8,12
ATCG00470,5,3,3
AT2G27020,8,7,4
AT5G66680,11,10,16
AT1G48920,24,15,3
AT1G20620,14,10,19
AT5G52470,10,6,11
AT4G34450,22,14,47
AT2G47610,10,5,7
AT3G14420,10,8,13
AT1G12840,12,9,9
AT4G38740,5,4,5
AT4G39330,11,7,13
AT5G62350,5,5,6
AT5G50920,29,19,30
AT3G03250,13,12,11
AT2G21660,8,3,4
AT3G27690,7,7,6
AT2G05070,7,7,6
AT2G05100,7,7,6
AT1G30230,10,4,9
