Protein,AT1G08600,AT1G08600,WT,WT
AT5G52040,886,930,950,937
AT4G25500,624,664,672,673
AT3G44310,225,241,307,258
AT1G67090,62,66,64,66
AT5G38420,64,66,65,65
AT5G38430,60,62,61,61
AT4G35630,160,191,161,192
ATCG00490,134,153,146,158
AT3G08590,179,179,197,196
AT1G19480,90,87,108,100
AT2G17630,96,112,96,121
AT5G24780,53,62,68,63
AT1G29250,21,22,24,22
AT4G29270,23,30,43,43
AT5G62690,57,67,60,56
AT5G62700,57,67,60,56
AT2G29550,57,66,59,57
AT1G09780,79,81,72,74
AT5G23860,55,66,55,54
AT2G34160,16,15,17,15
AT3G09820,34,37,36,39
AT1G74050,26,28,28,31
AT1G74060,0,0,0,0
AT5G44340,45,54,48,44
AT4G20890,45,55,47,43
AT1G07890,20,23,25,25
AT1G20010,44,52,45,45
AT5G12250,43,50,44,44
AT2G27710,9,14,13,13
AT3G48930,11,15,16,19
AT2G47610,24,28,30,29
AT1G26630,11,15,14,14
AT3G52930,35,31,29,31
AT2G36880,34,30,32,32
AT1G54270,33,38,38,36
AT5G02500,63,58,61,64
AT3G15730,77,75,77,76
AT5G03300,28,27,29,31
AT3G44320,35,37,34,34
AT3G62870,22,24,28,28
AT3G13920,31,33,35,36
AT5G09810,33,34,28,32
AT3G09440,60,55,57,59
AT1G75780,37,43,36,36
AT1G49240,35,36,24,32
AT3G18780,35,36,24,32
AT2G17360,16,23,24,25
AT5G07090,16,23,24,25
AT5G20290,16,15,21,21
AT1G18540,18,21,24,19
AT3G55280,10,12,15,16
AT2G39460,10,12,15,16
AT5G10360,18,21,26,26
AT1G19570,16,15,20,18
AT1G43170,32,32,38,36
AT1G64520,23,22,23,24
AT2G46280,24,23,28,28
AT3G60770,7,14,16,12
AT3G17390,28,24,26,27
AT1G30230,24,22,18,22
AT2G36530,30,29,29,29
AT5G19990,35,36,35,30
AT1G55490,44,50,50,53
AT2G01250,17,16,26,24
AT5G25980,35,40,37,42
AT3G56340,8,10,10,10
AT1G04410,19,22,23,24
AT4G23670,7,12,12,13
AT4G00100,7,13,15,11
AT5G20890,37,41,42,44
AT1G64880,42,39,51,42
AT1G53750,34,35,36,33
AT1G50010,28,30,25,26
AT1G04820,28,30,25,26
AT3G62250,12,8,11,11
AT2G47110,12,8,11,11
AT3G13470,41,46,47,48
AT2G28740,11,7,5,5
AT5G59970,11,7,5,5
AT3G46320,11,7,5,5
AT3G45930,11,7,5,5
AT3G53730,11,7,5,5
AT1G07820,11,7,5,5
AT5G59690,11,7,5,5
AT1G07660,11,7,5,5
AT3G12110,29,28,23,26
AT3G26650,25,32,28,28
AT3G05530,28,33,33,30
AT5G26360,37,40,38,40
AT2G41840,20,22,20,21
AT5G27850,15,12,16,16
AT4G33680,24,28,31,34
AT4G14960,27,28,25,26
ATCG01060,6,5,5,4
AT5G58290,29,27,32,29
AT1G07940,28,25,26,28
AT1G07930,28,25,26,28
AT1G07920,28,25,26,28
AT5G60390,28,25,26,28
AT2G37620,29,25,21,23
AT3G53750,29,25,21,23
AT5G20010,12,13,15,14
AT1G57720,29,28,28,25
AT2G28000,36,42,41,38
AT3G57290,33,30,33,31
AT3G28500,6,8,9,8
AT5G11170,23,29,23,24
AT1G02500,23,17,21,18
AT3G53740,7,7,8,8
AT4G01850,24,19,23,20
AT1G01100,5,8,10,10
AT3G09840,51,49,49,44
AT2G21660,9,11,14,13
AT1G56070,44,50,48,45
AT4G23920,19,19,22,18
AT1G71080,18,22,26,24
AT5G15200,11,13,14,11
AT5G19770,24,24,25,27
AT5G19780,24,24,25,27
AT1G20620,25,28,33,33
AT2G40660,29,24,26,26
AT3G23600,19,15,13,15
AT3G11630,12,13,11,15
AT2G34480,10,11,13,12
AT2G39990,18,22,17,20
AT2G44120,15,17,21,16
AT3G03540,24,29,38,32
AT3G04120,18,21,19,18
AT1G20200,27,30,32,31
AT3G04840,14,16,15,23
AT3G09630,22,24,28,22
AT4G16143,30,30,31,28
AT3G49910,7,7,10,10
AT5G35200,43,36,32,29
AT3G03960,31,26,36,34
AT3G44300,25,20,19,16
AT1G29150,26,22,26,28
AT1G08360,10,12,13,13
AT5G11710,28,30,29,30
AT1G24020,11,9,9,9
AT4G29040,24,25,29,30
AT2G20140,24,25,29,0
AT1G12310,11,7,11,8
AT3G18190,26,30,31,27
AT5G24770,12,16,17,14
AT4G38680,8,8,9,8
AT5G15650,17,17,20,20
AT5G42980,6,7,6,6
AT3G04920,5,9,9,9
AT4G29350,7,9,5,7
AT3G60820,13,14,13,14
AT5G02790,10,11,14,11
AT1G09640,26,23,22,23
AT2G39730,29,30,25,24
AT5G47700,6,6,7,9
AT1G78300,13,12,11,11
AT5G02870,21,21,28,22
AT5G23740,6,9,11,10
AT5G35630,12,15,16,18
AT5G56010,30,31,33,34
AT3G02230,17,18,18,20
AT4G09000,13,18,16,15
AT2G27530,11,12,13,13
AT1G42970,23,23,23,26
AT1G12900,18,24,22,24
AT5G02490,41,32,32,40
AT2G37190,9,0,9,0
AT3G53430,9,9,9,11
AT1G58684,15,16,15,17
AT1G58983,15,16,15,17
AT1G59359,15,16,15,17
AT1G58380,15,16,15,17
AT5G26000,26,31,30,30
AT1G15930,6,7,8,9
AT5G19510,13,13,12,13
AT2G24940,3,7,3,5
AT1G14320,11,12,15,11
ATCG01240,7,8,11,8
ATCG00900,7,8,11,8
AT3G45140,40,40,39,44
AT1G09100,21,24,24,23
AT5G06290,9,11,10,11
AT4G31700,14,13,15,18
AT1G52400,31,27,30,27
AT2G18020,11,12,14,18
AT2G36460,16,17,14,16
AT5G64350,5,5,5,5
AT3G10610,7,6,0,0
AT2G05220,7,6,10,9
AT5G04800,7,6,10,9
AT2G04390,7,6,10,9
AT3G23990,28,29,32,29
AT5G19550,19,17,17,22
AT2G31610,8,14,13,15
AT4G15000,7,7,7,8
AT4G13940,21,24,23,23
AT3G02530,25,26,28,28
AT5G28540,37,31,34,34
AT3G27850,9,11,9,9
AT3G27830,9,11,9,9
ATCG00380,8,10,11,9
AT5G42020,37,31,34,33
