Protein,AT1G15750,AT5G60690,AT4G11560,WT
AT4G11560,0,0,426,3
AT5G16680,0,0,41,0
AT3G02890,0,0,23,0
AT1G74060,0,0,14,0
AT1G15750,528,13,9,2
AT1G64740,0,7,7,0
AT1G16470,4,5,7,0
AT1G72730,4,0,7,0
AT5G59910,2,0,6,0
AT5G61110,0,0,6,0
AT3G50820,0,13,5,0
AT1G02930,0,15,4,0
AT3G15020,0,12,4,0
AT3G15980,0,6,4,0
AT5G60670,3,5,4,0
AT1G02840,0,3,4,0
AT5G25230,0,0,4,0
AT2G36620,0,0,4,0
AT1G43770,0,0,4,0
AT1G79930,2,26,3,0
AT2G21130,2,15,3,0
AT2G37220,0,9,3,0
AT2G31390,0,6,3,0
AT4G08900,0,5,3,0
AT5G60790,0,4,3,0
AT1G18450,0,3,3,0
AT5G22650,2,2,3,0
AT1G06020,0,0,3,0
AT5G65730,0,0,3,0
AT3G61140,0,0,3,0
AT4G37930,0,18,2,0
AT4G16760,0,17,2,0
AT4G34050,0,15,2,0
AT5G20830,0,13,2,0
AT4G11150,0,10,2,0
AT5G54160,0,9,2,0
AT3G57410,0,9,2,0
AT4G27440,0,8,2,0
AT2G44100,0,8,2,0
AT3G01390,2,7,2,0
AT1G03680,0,7,2,0
AT5G12110,0,7,2,0
AT3G04610,0,7,2,0
AT3G53460,2,6,2,0
AT5G64350,0,6,2,0
AT1G23820,0,6,2,0
AT5G04430,0,5,2,0
AT3G14100,0,5,2,0
AT1G09270,0,5,2,0
AT2G03440,3,4,2,0
AT2G31570,0,4,2,0
AT4G37000,0,4,2,0
AT1G62640,0,4,2,0
AT5G43060,0,4,2,0
AT2G34970,2,3,2,0
AT1G45145,0,3,2,0
AT3G01480,0,3,2,0
AT5G17990,0,3,2,0
AT1G36240,2,2,2,0
AT3G18740,2,2,2,0
AT2G18740,2,2,2,0
AT4G30330,2,2,2,0
AT3G45030,0,2,2,0
AT5G62300,0,2,2,0
AT1G07440,0,2,2,0
AT1G21440,0,2,2,0
AT2G20610,0,2,2,0
AT2G05520,9,0,2,0
AT1G09690,2,0,2,0
AT1G09590,2,0,2,0
AT1G01560,0,0,2,0
AT5G09550,0,0,2,0
AT5G27670,0,0,2,0
AT5G16130,0,0,2,0
AT2G44050,0,0,2,0
AT3G05625,0,0,2,0
AT2G05580,0,0,2,0
AT1G70850,0,0,2,0
AT2G43120,0,0,2,0
AT1G28290,0,0,2,0
AT1G48420,0,0,2,0
AT4G34490,0,0,2,0
AT4G37510,0,0,2,0
AT1G05640,0,0,2,0
AT1G03910,0,0,2,0
AT1G20640,0,0,2,0
AT5G51660,0,0,2,0
AT1G08060,0,0,2,0
AT5G56740,0,3,0,0
AT5G27030,27,0,0,0
AT1G09780,0,41,0,0
AT5G60690,0,41,0,0
