Protein,AT5G14620,AT5G146201,WT
AT1G07940,137,151,143
AT1G07930,137,151,143
AT1G07920,137,151,143
AT5G60390,137,151,143
ATCG00490,138,127,151
AT1G52400,115,122,158
AT1G67090,50,41,43
AT5G38420,48,38,41
AT3G26650,82,87,106
AT3G04120,63,65,85
AT1G13440,64,66,82
AT1G50010,88,76,107
AT1G04820,88,76,107
AT5G62690,84,82,95
AT5G62700,84,82,95
AT4G14960,84,72,102
AT3G17390,82,68,71
AT5G23860,82,77,91
AT2G29550,78,76,92
AT5G38430,35,28,33
AT3G13920,69,67,81
AT5G44340,72,68,85
AT1G54270,65,63,77
AT4G20890,69,64,83
AT3G62250,35,31,30
AT2G35635,0,0,30
AT1G31340,0,0,30
AT4G02890,0,0,30
AT1G55060,0,0,30
AT2G36170,0,0,30
AT4G05050,0,0,30
AT1G65350,0,0,30
AT3G52590,0,0,30
AT5G20620,0,0,30
AT5G37640,0,0,30
AT5G03240,0,0,30
AT1G23410,0,0,30
AT2G47110,35,31,30
AT4G05320,0,0,30
AT2G36880,66,53,65
AT5G19770,71,61,80
AT5G19780,71,61,80
AT1G20010,66,60,81
AT5G12250,65,58,81
AT1G52040,66,57,84
AT5G09810,49,53,64
AT4G01850,57,51,56
AT1G75780,56,54,71
AT1G12900,48,45,68
AT1G24020,22,21,18
AT5G17920,100,97,103
AT1G02500,58,41,50
AT5G24780,35,34,33
AT3G20820,44,44,46
AT1G26630,21,15,20
ATCG00120,58,63,54
AT4G35090,60,72,37
AT3G16470,46,43,64
AT1G52030,60,58,92
AT2G28740,11,12,10
AT5G59970,11,12,10
AT3G46320,11,12,10
AT3G45930,11,12,10
AT3G53730,11,12,10
AT1G07820,11,12,10
AT5G59690,11,12,10
AT1G07660,11,12,10
AT1G64740,48,42,54
AT3G53890,8,9,9
AT5G27700,8,9,9
AT1G20630,56,56,41
AT4G27090,17,14,10
AT1G49240,37,37,40
AT3G18780,37,37,40
AT5G56010,67,73,68
AT5G02500,70,60,62
AT4G13940,43,43,57
AT2G37620,37,34,39
AT3G53750,37,34,39
ATCG01060,7,9,7
AT3G52930,38,32,31
AT1G18080,28,30,34
AT3G12110,35,34,37
AT5G25980,49,51,52
ATCG00480,47,49,42
AT5G56030,64,71,66
AT5G42080,54,47,66
AT2G39730,45,43,41
AT5G50920,80,89,82
AT2G20450,15,12,9
AT3G12145,33,27,27
AT1G56070,77,63,86
AT1G19570,18,16,22
AT1G78900,49,53,60
AT4G02930,39,38,38
AT3G45140,77,73,77
AT3G03780,62,60,69
AT3G09200,25,27,27
AT1G72730,31,30,41
AT1G07890,24,19,18
AT2G44060,28,22,29
AT3G58510,54,47,47
AT2G46280,25,29,25
AT5G42020,60,51,49
AT4G20360,34,36,44
AT5G28540,60,49,51
AT3G58570,55,52,45
AT2G27710,8,9,10
AT1G14830,46,38,60
AT3G48870,69,79,72
AT3G18130,24,27,24
AT1G20620,40,41,32
AT1G78300,20,19,20
ATCG00470,11,11,8
AT5G38480,20,20,18
AT4G09320,14,12,12
AT1G42970,29,33,38
AT5G56000,51,56,49
AT5G20630,14,17,16
AT2G21660,14,14,11
AT1G48630,23,26,23
AT3G23810,31,31,45
AT5G19990,33,32,27
AT2G39330,32,28,40
AT5G20290,16,16,16
AT1G30630,19,22,22
AT1G76030,0,0,34
AT1G20260,35,36,34
AT5G54160,28,22,28
AT5G35630,33,32,27
AT1G64520,19,19,19
AT3G46520,26,27,27
AT5G59370,26,27,27
AT1G72370,23,19,21
AT1G33120,13,12,16
AT1G33140,13,12,16
AT3G05530,27,30,32
AT3G09440,49,45,42
AT1G22300,16,20,17
AT5G58290,26,32,27
AT2G42520,45,44,43
AT3G28500,6,8,10
AT4G39330,26,24,25
AT3G62530,16,14,16
AT2G38040,50,57,52
AT5G13450,16,18,14
AT4G09000,21,20,23
AT1G35160,20,19,19
AT3G55440,18,13,19
AT1G10290,63,50,66
AT1G12310,9,8,12
AT4G38510,31,33,32
AT2G47730,20,18,13
AT1G78570,43,40,47
AT4G38970,29,22,26
AT1G59610,60,51,66
AT3G01280,19,17,17
AT3G01390,7,7,7
AT1G70710,29,29,36
AT5G16050,17,17,17
AT3G07030,27,24,26
AT3G22890,30,30,26
AT3G09840,52,50,48
AT3G12780,32,28,29
AT4G02290,30,30,35
AT3G62290,11,10,12
AT5G48880,26,26,31
AT4G33250,14,13,14
AT2G30860,13,12,14
AT1G45000,21,30,21
AT3G11510,11,9,7
AT3G09820,18,20,24
AT3G27850,12,10,12
AT3G27830,12,10,12
AT3G08530,100,86,118
AT5G52840,11,11,8
AT2G45640,8,9,10
AT5G24770,17,15,15
AT2G31610,11,17,16
AT3G11130,99,83,119
AT5G43010,21,29,20
