Protein,AT5G64630,AT5G64630,AT5G64630,AT5G64630,AT5G64630,AT5G64630,WT,WT,WT,WT
AT5G64630,401,347,432,375,165,141,37,26,19,16
AT5G38420,29,28,34,44,30,34,21,17,16,11
AT1G67090,23,24,29,35,21,27,20,13,16,13
ATCG00490,72,85,99,100,75,71,40,23,34,32
AT2G27710,9,7,23,24,2,3,18,11,11,10
AT5G35360,45,42,43,55,58,65,69,57,49,46
AT5G38430,25,21,28,33,23,24,17,12,10,8
AT5G20630,24,20,25,32,58,52,19,7,16,9
ATCG00480,45,45,45,50,135,127,41,36,26,23
AT4G20360,33,39,48,53,40,49,33,41,25,55
AT2G39730,53,55,89,83,41,37,29,28,29,28
ATCG00120,35,35,59,56,85,71,34,23,24,23
AT1G12310,16,9,8,7,14,11,6,7,12,12
ATCG00470,8,11,14,11,23,27,9,7,3,4
AT3G12780,51,50,45,38,36,30,29,17,29,24
AT4G02930,22,38,27,40,20,43,18,26,16,43
AT2G27720,5,6,13,11,2,2,12,9,9,5
AT3G26650,29,28,48,50,33,36,25,19,11,10
AT1G42970,30,32,49,58,29,29,25,16,19,17
AT3G56130,13,10,12,9,31,38,23,15,10,16
AT5G66570,10,12,19,17,96,93,11,7,16,14
AT3G50820,0,0,14,12,83,92,0,7,0,10
AT1G62820,13,6,9,7,13,10,6,5,10,9
AT5G60390,35,34,49,53,17,16,21,15,19,20
AT1G07920,35,34,49,53,17,16,21,15,19,20
AT1G07930,35,34,49,53,17,16,21,15,19,20
AT1G07940,35,34,49,53,17,16,21,15,19,20
AT5G02500,60,61,39,37,30,25,31,19,37,33
AT1G09340,24,23,27,31,54,54,12,8,17,17
AT4G09650,9,8,13,11,52,50,10,7,10,6
AT1G20620,37,40,33,35,26,29,30,14,23,15
AT1G33140,14,10,16,21,11,5,15,7,8,5
AT1G33120,14,10,16,21,11,5,15,7,8,5
AT1G52670,6,11,14,13,24,30,19,13,12,12
AT5G08690,23,28,32,28,98,88,22,19,17,20
AT5G08670,23,28,32,28,98,88,22,19,17,20
AT5G08680,23,28,32,28,98,88,22,19,17,20
AT4G05320,12,0,0,0,19,0,0,8,0,6
AT2G36170,12,0,0,0,19,0,0,8,0,6
AT1G23410,12,0,0,0,19,17,0,8,0,6
AT5G20620,12,0,0,0,19,0,0,8,0,6
AT1G65350,12,0,0,0,19,0,0,8,0,6
AT3G09790,0,0,0,0,0,0,0,8,0,0
AT3G52590,12,0,0,0,19,0,0,8,0,6
AT4G02890,12,0,0,0,19,0,0,8,0,6
AT1G55060,12,0,0,0,19,0,0,8,0,6
AT2G35635,12,10,0,0,19,0,8,8,12,6
AT5G37640,12,0,0,0,19,0,0,8,0,6
AT5G03240,12,0,0,0,19,0,0,8,0,6
AT3G62250,12,0,10,11,19,17,0,8,0,6
AT1G31340,12,10,0,0,19,0,8,8,12,6
AT2G47110,12,0,10,11,19,17,0,8,0,6
AT4G05050,12,0,0,0,19,0,0,8,0,6
