Protein,WT,WT.1,WT.2,WT.3,WT.4,WT.5
AT1G08600,0,0,0,0,0,0
AT1G65470,0,0,0,0,0,0
AT1G66740,0,0,0,0,0,0
AT2G25170,0,0,0,0,0,0
AT3G06400,0,0,0,0,0,0
AT5G18620,0,0,0,0,0,0
AT5G38110,0,0,0,0,0,0
AT5G58230,10,11,0,0,0,0
AT5G64630,0,0,0,0,0,0
AT1G01050,0,2,2,0,0,0
AT1G01080,3,2,5,3,0,0
AT1G01090,14,13,11,9,0,0
AT1G01100,10,9,0,0,0,0
AT1G01160,2,0,0,0,0,0
AT1G01300,16,19,8,3,0,0
AT1G01320,6,7,2,0,0,0
AT1G01350,0,2,0,0,0,0
AT1G01370,0,0,0,0,0,0
AT1G01470,2,0,0,2,0,0
AT1G01510,0,0,5,6,8,0
AT1G01560,0,0,0,0,0,0
AT1G01610,0,0,8,14,0,0
AT1G01620,0,0,3,3,0,0
AT1G01710,0,3,4,0,0,0
AT1G01730,0,0,0,0,0,0
AT1G01790,0,0,0,0,0,0
AT1G01800,3,4,0,0,0,0
AT1G01940,0,3,0,0,0,0
AT1G01960,4,5,0,0,0,0
AT1G02050,6,8,2,3,0,0
AT1G02080,9,16,9,2,0,0
AT1G02090,6,6,0,0,0,0
AT1G02140,2,4,0,0,0,0
AT1G02150,2,3,7,13,10,0
AT1G02190,0,0,0,0,0,0
AT1G02205,0,0,9,7,0,0
AT1G02280,0,0,0,3,0,0
AT1G02305,4,2,0,0,0,0
AT1G02370,0,0,0,0,0,0
AT1G02500,40,47,28,28,7,10
AT1G02560,5,4,5,4,0,0
AT1G02690,6,5,2,0,0,0
AT1G02780,9,8,0,0,0,0
AT1G02813,3,3,0,0,0,0
AT1G02840,10,11,6,4,0,0
AT1G02920,0,0,0,0,0,0
AT1G02930,13,14,0,0,0,0
AT1G03030,2,2,0,0,0,0
AT1G03060,0,2,0,0,0,0
AT1G03090,2,0,0,0,0,0
AT1G03110,4,4,0,0,0,0
AT1G03130,6,9,0,0,0,0
AT1G03140,0,0,0,0,14,0
AT1G03150,2,0,0,0,0,0
AT1G03160,0,0,6,2,0,0
AT1G03230,5,6,0,0,0,0
AT1G03310,4,4,0,0,0,0
AT1G03330,4,3,0,0,0,0
AT1G03475,5,5,8,8,15,0
AT1G03600,0,0,0,0,0,0
AT1G03630,9,13,13,13,0,3
AT1G03680,5,4,0,0,0,0
AT1G03770,0,3,0,0,0,0
AT1G03860,0,0,4,4,0,0
AT1G03880,0,0,3,0,0,0
AT1G03900,3,5,0,0,0,0
AT1G04080,9,11,0,0,0,0
AT1G04110,0,0,0,0,0,0
AT1G04130,3,3,0,0,0,0
AT1G04170,11,8,5,4,0,0
AT1G04190,4,4,0,0,0,0
AT1G04210,0,2,0,0,0,0
AT1G04270,2,0,0,0,3,0
AT1G04290,0,0,0,2,0,0
AT1G04410,35,41,18,17,0,6
AT1G04430,0,0,0,2,0,0
AT1G04480,7,8,8,3,8,2
AT1G04510,8,13,4,4,0,0
AT1G04530,7,0,4,5,0,0
AT1G04580,0,0,121,126,0,0
AT1G04640,0,0,0,0,2,0
AT1G04690,16,25,6,5,45,0
AT1G04710,10,8,0,4,0,0
AT1G04750,3,2,2,0,0,0
AT1G04760,0,0,0,0,0,0
AT1G04810,29,35,12,0,0,0
AT1G04820,43,58,44,42,0,45
AT1G04850,2,4,0,0,0,0
AT1G04870,3,3,0,0,0,0
