Protein,AT4G36290,WT
AT3G44310,1086,1293
AT3G44320,257,288
AT5G43940,81,328
AT3G44300,186,178
ATCG00490,205,137
AT5G38420,59,45
AT1G67090,55,46
AT2G28190,85,38
AT5G38430,50,35
AT1G20620,79,92
AT4G35630,98,50
AT4G29270,55,26
AT5G25980,170,28
AT3G08590,77,75
AT4G38680,53,9
AT1G08830,25,13
AT3G52930,31,34
AT1G04410,46,22
AT4G35090,48,36
AT1G19570,18,15
AT4G29350,9,10
AT2G47400,7,10
AT4G23600,50,20
AT5G26000,47,34
AT3G26650,27,28
AT2G36460,24,25
AT3G09820,26,22
AT5G35630,41,23
AT2G39730,27,34
AT2G24940,6,7
ATCG01060,8,4
AT1G29250,5,10
AT2G34160,5,10
AT1G12900,22,26
AT1G07890,22,12
AT5G40370,9,8
AT3G23600,18,12
AT4G21280,15,12
AT3G11630,13,16
AT2G17630,26,22
AT4G37800,9,18
AT1G13440,26,13
AT3G04120,24,13
AT1G42970,27,20
AT3G01500,20,16
AT2G21660,8,9
AT4G15545,19,15
AT2G47730,18,10
AT3G26060,11,10
AT5G09810,23,15
AT5G03300,18,15
AT5G14740,18,14
AT1G71080,17,14
AT2G36530,29,16
AT3G16640,9,7
AT1G20630,20,23
AT4G39260,8,7
AT3G16400,34,13
AT4G05180,9,10
AT1G49240,18,14
AT3G18780,18,14
AT1G17100,14,7
AT4G02520,13,6
AT4G26530,14,14
AT1G19480,22,11
AT3G14990,29,8
AT5G20010,11,7
AT5G02500,29,22
AT3G09440,24,24
AT3G47070,3,4
AT3G13490,28,19
AT3G01390,6,3
AT5G66040,7,3
AT5G06290,11,9
AT5G66570,15,10
AT5G37780,7,5
AT1G66410,7,5
AT5G21274,0,5
AT2G41110,0,5
AT3G43810,0,5
AT3G56800,0,5
AT2G27030,0,5
AT3G12580,27,20
AT1G06680,9,9
AT2G13360,21,10
AT1G32060,14,13
AT1G26630,10,3
AT1G09340,30,4
AT4G38970,20,10
AT2G30860,11,5
AT1G27970,5,4
AT2G37660,11,10
AT5G24165,3,2
AT5G42980,5,3
AT4G20360,16,14
AT1G78380,14,3
AT1G20020,13,10
AT4G21860,12,3
AT1G69830,25,27
AT5G09660,14,9
AT3G14210,12,11
AT5G35200,9,19
AT5G16710,12,5
AT2G21330,16,9
AT1G23310,22,9
AT4G09010,13,8
AT1G23740,16,8
AT3G28940,12,1
AT2G23390,18,10
AT5G02790,7,6
AT1G56070,34,17
AT3G46520,16,7
AT5G59370,16,7
AT3G12110,17,7
AT1G07940,18,9
AT1G07930,18,9
AT1G07920,18,9
AT5G60390,18,9
AT5G43960,18,9
AT5G24420,8,6
AT3G14420,21,4
AT3G48420,15,5
AT4G25130,6,7
AT1G13930,6,3
AT5G20630,8,4
AT4G20260,13,2
