Protein,AT3G33520,AT3G33520,AT1G18800,AT1G18800,WT,WT,WT,WT
AT3G12810,175,208,0,0,0,0,0,0
AT1G36160,181,189,300,285,257,301,245,264
AT5G22330,176,189,0,0,3,4,0,0
AT3G57660,174,164,153,169,123,139,195,214
AT3G57150,139,159,177,239,125,130,162,213
AT5G52470,114,138,139,162,92,115,139,135
AT5G67630,115,136,0,0,3,2,2,0
AT3G33520,123,119,0,0,0,0,0,0
AT1G56110,108,118,125,152,112,131,123,128
AT3G05060,87,111,118,152,89,98,95,109
AT1G29940,108,101,105,112,97,82,125,125
AT2G17930,84,94,0,0,0,0,0,0
AT4G25630,73,92,96,110,78,98,88,88
AT3G13470,61,79,11,8,20,15,5,5
AT4G36080,72,78,0,0,0,0,0,0
AT3G10380,74,77,33,36,11,12,50,60
AT1G55490,60,77,13,9,20,15,5,5
AT1G18450,75,76,0,0,8,3,5,2
AT2G28000,67,72,8,10,15,15,2,2
AT3G01460,67,71,0,0,0,0,0,0
AT1G63810,62,69,86,92,69,60,97,97
AT2G40360,64,68,70,85,74,69,68,81
AT3G12860,49,66,60,89,49,68,58,72
AT5G25980,57,66,46,48,36,36,66,48
AT1G76850,60,64,20,19,5,10,60,67
AT1G76810,54,59,43,47,49,42,69,69
AT5G02500,60,58,62,63,45,50,54,50
AT5G40340,52,56,80,64,72,74,69,70
AT1G36180,50,54,99,83,71,85,68,72
AT5G35360,44,54,78,75,77,92,60,63
AT2G19520,61,54,73,83,38,49,70,84
AT3G11964,60,53,77,72,60,65,77,73
AT5G27120,56,52,76,87,46,55,64,58
AT5G56500,44,52,7,6,11,8,3,5
AT1G29320,45,48,54,62,50,54,63,64
AT2G47210,45,46,0,0,0,0,0,0
AT5G14520,41,45,40,41,39,39,51,50
AT4G26630,50,43,107,104,113,148,72,81
AT1G60850,51,43,49,48,51,51,48,50
AT5G44340,39,43,14,13,14,10,18,20
AT5G26360,36,42,3,6,5,7,0,0
AT1G03090,39,41,54,59,56,59,50,53
AT5G40200,45,40,58,39,54,54,55,52
AT1G72440,37,39,35,35,26,24,34,33
AT4G16630,37,38,33,31,37,38,40,40
AT4G20890,38,38,14,16,15,10,19,20
AT1G24510,33,38,4,4,5,3,2,0
AT3G09440,39,37,41,42,31,31,32,35
AT4G04940,38,37,40,50,42,45,51,55
AT5G62690,45,37,17,17,11,10,26,23
AT5G62700,45,37,17,17,11,10,26,23
AT5G15550,32,36,49,50,30,27,50,49
AT2G39730,27,36,13,14,14,19,17,19
AT3G18190,30,36,3,2,5,0,0,0
AT1G50920,45,35,50,51,43,46,41,36
AT4G01560,27,35,39,36,48,54,41,47
AT1G71820,35,35,24,24,12,12,37,34
AT5G09810,32,35,13,10,18,19,13,12
AT5G57120,18,34,61,58,30,34,66,37
AT1G43170,32,34,42,37,48,37,43,42
AT2G05920,33,34,38,40,23,19,45,43
AT5G55660,28,33,68,66,72,96,50,48
AT3G56130,34,33,56,75,34,47,36,33
ATCG00480,30,33,35,35,36,37,42,39
AT5G64420,29,33,29,30,23,17,24,25
AT1G21170,44,33,17,15,4,10,42,43
AT1G04820,27,33,12,13,14,10,10,18
AT1G50010,27,33,12,0,14,10,10,18
AT4G14960,26,33,12,14,14,10,10,18
AT3G23620,29,32,32,34,34,35,33,37
ATCG00490,35,32,27,33,24,32,27,34
AT5G28540,26,32,27,22,36,32,37,36
AT1G56070,33,32,23,28,31,32,24,21
AT4G26190,25,32,20,17,23,32,28,32
AT5G23860,39,32,15,15,11,9,18,18
AT2G29550,44,32,14,15,13,8,17,17
AT5G20890,35,32,6,0,10,6,0,0
AT2G36740,37,32,0,0,0,0,0,0
AT3G58660,32,31,41,37,31,41,43,45
AT3G13940,26,31,39,45,27,36,31,38
AT5G08670,30,31,35,33,37,39,44,36
AT5G08680,30,31,35,33,37,39,44,36
AT5G08690,30,31,35,33,37,39,44,36
AT5G42020,24,31,31,23,37,33,33,35
AT1G52030,22,31,15,17,13,10,30,34
AT3G03960,30,31,4,5,4,6,0,2
AT5G16070,37,31,2,3,8,7,0,0
AT3G21540,40,29,42,37,42,37,56,51
AT3G03920,30,29,31,33,21,36,30,33
AT3G07050,32,28,39,40,52,49,34,39
AT3G09630,27,28,37,37,41,41,30,48
AT5G55920,24,28,28,23,28,27,30,34
AT3G06400,32,28,18,20,26,23,21,21
AT3G14210,28,28,17,14,10,11,34,35
AT3G62870,27,27,35,29,37,44,34,36
AT4G05410,25,27,30,32,34,39,30,35
AT4G20360,24,27,30,48,42,134,20,50
AT1G02870,23,27,30,24,33,29,26,21
AT1G15440,21,27,26,26,22,21,24,31
AT4G02930,17,27,24,46,40,129,19,50
AT4G25340,24,27,21,25,25,24,28,30
AT3G55620,14,27,20,28,25,26,32,29
AT1G47550,27,27,15,13,4,4,22,22
AT3G02530,38,27,2,4,9,7,0,0
AT3G20050,23,27,0,0,4,2,0,0
AT5G20600,21,26,39,35,32,31,43,41
AT5G18620,37,26,18,16,26,21,19,19
ATCG00120,23,26,16,17,20,21,28,23
AT2G47610,25,25,36,29,36,44,30,32
AT5G02490,27,25,31,35,23,24,28,22
AT3G12580,30,25,30,34,27,24,29,26
AT3G52500,18,25,30,23,21,21,27,22
AT1G62390,26,25,29,25,34,33,31,31
AT2G47110,24,25,27,28,20,24,24,32
AT3G62250,24,25,27,28,20,24,24,32
AT1G31340,24,25,26,28,20,0,24,32
AT2G35635,24,25,26,28,20,0,24,32
AT1G23410,24,25,25,28,20,22,24,32
AT1G08360,22,25,25,27,31,28,25,27
AT1G65350,25,25,0,28,21,0,24,32
AT1G55060,24,25,0,28,20,0,24,32
AT2G36170,24,25,0,28,20,0,24,32
AT3G52590,24,25,0,28,20,0,24,32
AT4G02890,24,25,0,28,20,0,24,32
AT4G05050,24,25,0,28,20,0,24,32
AT4G05320,24,25,0,28,20,0,24,32
AT5G03240,24,25,0,28,20,0,24,32
AT5G20620,24,25,0,28,20,0,24,32
AT5G37640,24,25,0,28,20,0,24,32
AT1G75940,30,24,38,42,33,23,45,41
AT2G01250,24,24,28,23,32,26,22,23
AT1G52400,25,24,26,31,15,19,34,43
AT3G20820,21,24,26,27,24,23,25,32
AT4G15770,28,24,21,15,18,14,22,24
AT5G12250,32,24,12,8,5,0,15,12
AT1G20010,29,24,10,11,7,9,15,17
AT5G02870,28,23,32,33,35,35,28,47
AT5G64680,21,23,21,23,16,13,19,23
AT5G26742,18,23,17,23,26,19,29,24
AT3G12110,17,23,11,9,12,18,9,7
AT3G23990,21,23,10,11,18,16,11,12
AT3G11830,26,23,0,0,0,3,0,0
AT3G18600,25,22,32,34,33,26,34,34
AT4G31880,20,22,30,28,42,37,22,24
AT5G52820,24,22,26,28,17,15,27,30
AT3G25520,23,22,24,31,29,39,28,28
AT1G07920,21,22,22,20,24,26,20,20
AT1G07930,21,22,22,20,24,26,20,20
AT1G07940,21,22,22,20,24,26,20,20
AT5G60390,21,22,22,20,24,26,20,20
AT5G19770,20,22,6,5,12,7,6,8
AT3G09980,17,22,3,0,0,0,28,21
AT5G19780,20,22,0,0,12,0,6,8
AT4G16143,23,21,26,30,28,29,33,35
AT5G39740,22,21,25,29,27,36,25,28
AT1G52980,29,21,21,18,16,27,23,24
AT2G36340,15,21,21,21,21,21,27,25
AT2G27530,21,21,20,24,22,24,22,22
AT3G26650,16,21,12,18,23,18,12,11
AT1G49240,17,21,6,5,12,15,9,8
AT3G18780,17,21,6,5,12,15,9,8
AT1G68560,31,20,38,39,35,27,42,45
AT3G57940,24,20,38,27,39,36,26,34
AT4G25730,17,20,22,25,23,31,21,23
AT1G67090,22,20,18,17,12,13,17,14
AT5G38420,22,20,14,19,15,12,19,14
AT2G37990,20,19,22,24,22,22,20,23
AT4G16720,18,19,17,17,24,28,21,24
AT4G17390,18,19,17,17,24,28,21,24
AT3G46520,15,19,11,8,13,17,0,6
AT5G59370,15,19,11,0,13,17,0,0
AT1G13440,25,19,9,11,14,14,16,9
AT3G04120,25,19,9,10,15,14,16,9
AT1G75780,25,19,7,7,3,5,14,12
AT5G45600,25,19,0,0,0,0,0,0
AT5G16750,14,18,29,28,21,25,28,29
AT1G23280,17,18,24,25,25,31,19,18
AT1G52670,21,18,21,26,33,37,24,17
AT1G33120,16,18,19,21,28,26,16,20
AT1G33140,16,18,19,21,28,26,16,20
