Protein,AT2G25170,AT2G25170,AT2G25170,AT2G25170,AT2G25170,AT2G25170,AT2G25170,AT1G08600,AT1G08600,AT1G08600,WT,WT,WT,WT,WT
AT2G25170,153,176,522,571,146,156,227,139,127,111,0,0,0,0,2
AT1G01730,37,37,120,112,34,38,138,17,18,15,0,0,0,0,0
AT2G05230,33,32,75,80,30,34,80,3,2,0,0,0,0,0,0
AT2G05250,33,32,75,80,30,34,80,3,2,0,0,0,0,0,0
AT5G53150,38,45,56,62,41,40,59,0,0,0,0,0,0,0,0
AT1G08600,22,25,43,36,20,27,68,257,255,225,0,0,0,0,0
AT2G25560,13,12,20,22,12,9,14,47,40,37,0,0,0,0,0
AT1G05640,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0
AT3G06400,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0
AT4G40030,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0
AT4G40040,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0
AT5G10980,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0
AT5G18620,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0
AT4G11560,36,12,52,11,97,21,0,0,0,0,0,0,0,0,0
AT5G43010,23,22,26,26,23,24,5,0,15,29,0,0,25,18,23
AT1G09100,25,27,24,27,26,0,0,21,24,23,0,31,24,23,21
AT2G20140,23,26,24,22,19,23,0,24,25,21,0,24,29,0,24
AT2G46610,0,12,18,0,0,0,0,0,19,0,0,0,0,54,6
AT1G55860,23,29,16,20,22,21,0,24,29,34,0,21,39,34,31
AT1G74060,14,17,15,17,14,19,0,0,0,19,0,21,0,0,24
AT3G58570,0,16,13,9,0,12,0,0,0,13,0,0,0,0,10
AT1G59830,11,10,11,10,10,9,0,6,5,8,0,10,5,5,9
AT3G14040,0,9,11,0,8,6,0,0,0,0,0,15,0,2,5
AT1G29350,5,6,10,8,6,6,0,0,0,6,0,6,0,0,4
AT4G14040,5,3,8,6,2,0,0,0,0,7,0,0,0,0,0
AT4G34850,7,6,8,7,8,9,0,4,3,13,0,5,5,4,11
AT5G39850,10,12,8,8,9,11,0,0,0,0,0,0,0,0,0
