Protein,AT1G08600,WT
AT1G08600,225,0
AT2G25560,37,0
AT2G22360,2,0
AT1G74250,5,0
AT3G12010,6,0
AT1G13370,5,0
AT5G10980,5,0
AT4G40030,5,0
AT4G40040,5,0
AT3G06400,3,0
AT5G18620,3,0
AT2G25170,111,2
AT5G03740,3,0
AT1G01730,15,0
AT3G12280,2,0
AT2G15400,2,0
AT3G20740,2,0
AT1G17790,2,0
AT3G10270,3,0
AT5G63550,3,0
AT1G01350,2,0
AT5G06420,2,0
AT2G07690,2,0
AT1G48920,19,5
AT3G28730,8,2
AT5G58230,13,16
AT1G08060,0,2
AT5G44800,0,2
AT1G13440,24,0
AT1G70490,9,0
AT1G23490,9,0
AT2G03750,9,0
AT5G23900,8,0
AT5G60670,7,0
AT3G61860,7,0
AT3G11250,7,0
AT4G14040,7,0
AT3G57660,7,0
AT5G41700,6,0
AT3G24830,6,0
AT4G39680,6,0
AT3G53700,6,0
AT2G37340,5,0
AT4G35460,5,0
AT4G34860,5,0
AT5G13110,5,0
AT1G24280,5,0
AT3G01540,5,0
AT5G18570,5,0
AT5G46580,5,0
AT1G49630,5,0
AT1G15250,4,0
AT1G36240,4,0
ATCG01120,4,0
AT4G34555,4,0
AT2G21580,4,0
ATCG00810,4,0
AT1G77440,4,0
AT1G35720,4,0
AT3G09810,4,0
AT3G50000,4,0
AT3G14390,4,0
AT4G26270,4,0
AT3G18490,4,0
AT3G10050,4,0
AT2G28390,4,0
AT5G13380,4,0
AT3G06980,4,0
AT3G20630,4,0
AT3G48110,4,0
AT3G06480,4,0
AT1G73460,4,0
AT1G73450,4,0
AT2G38770,4,0
AT5G63650,3,0
AT2G18740,3,0
AT4G30330,3,0
AT3G09500,3,0
AT5G55210,3,0
AT1G31140,3,0
AT5G46790,3,0
AT2G28950,3,0
AT1G09140,3,0
AT5G16390,3,0
AT1G52340,3,0
AT5G44720,3,0
AT5G19440,3,0
AT1G15470,3,0
AT1G15710,3,0
AT4G36810,3,0
AT2G46070,3,0
AT2G33190,3,0
AT1G09210,3,0
AT5G22630,3,0
AT1G80380,3,0
AT4G18950,3,0
AT3G52500,3,0
AT3G30841,3,0
