protein1	protein2	dis	cor
AT1G01050	AT1G73180	1.0378626122481	0.405916444737877
AT1G01050	AT1G27540	1.09321080436157	0.430374946116536
AT1G01080	AT2G22360	0.718998252807667	0.389026938363018
AT1G01080	AT5G10010	0.945275567192719	0.339027888980568
AT1G01080	AT1G15290	0.945312044648214	0.461477159558648
AT1G01080	AT3G18390	1.06825520142273	0.387060513338971
AT1G01080	AT5G46580	1.63846772401189	0.508338054041636
AT1G01090	AT3G53430	0.787458686869259	0.330135479584663
AT1G01090	AT3G55750	0.896911596585738	0.445819304237027
AT1G01090	AT2G27710	0.928413523118514	0.349886991544487
AT1G01090	AT2G27720	0.9684867387879	0.277963657543157
AT1G01090	AT1G07320	1.02193819569251	0.407770468595834
AT1G01090	AT1G61580	1.10682406814447	0.358964650933515
AT1G01090	AT1G01100	1.13392295436279	0.386284624349318
AT1G01090	AT2G44120	1.19278228896198	0.380589803631537
AT1G01090	AT5G22440	1.20663196610695	0.431647405005593
AT1G01090	AT5G48760	1.26703042268769	0.441373441077239
AT1G01090	AT4G22010	1.33298309178398	0.355237867215215
AT1G01090	AT3G46970	1.37705946078489	0.408238873821742
AT1G01090	AT4G13170	1.4056352200322	0.417763300136932
AT1G01090	AT3G14600	1.42231201469418	0.453992970555947
AT1G01090	AT5G47700	1.50819164449295	0.399877413407525
AT1G01090	AT3G16950	1.54140970168578	0.565792690658105
AT1G01090	AT5G35530	1.54159001955413	0.324032582154762
AT1G01090	AT1G41880	1.5606140161972	0.34470741978391
AT1G01090	AT1G29965	1.60700889568832	0.348655228097133
AT1G01090	AT4G00810	1.69906916848772	0.326212875035197
AT1G01090	AT4G30800	1.69923134010872	0.422888768330053
AT1G01090	AT2G36620	2.01906195357351	0.334788711331033
AT1G01090	AT3G57490	2.41945360032285	0.283887185094786
AT1G01100	AT3G05590	0.632303705729762	0.372114893254509
AT1G01100	AT5G47700	0.80169411630651	0.817555203383876
AT1G01100	AT1G61580	1.07092172868934	0.424593956907055
AT1G01100	AT5G39850	1.11772681074313	0.302263133787126
AT1G01100	AT1G58380	1.17934097651255	0.347539998339862
AT1G01100	AT1G58684	1.22750166360169	0.347767186823199
AT1G01100	AT1G29970	1.24808036557778	0.271765405951803
AT1G01100	AT1G41880	1.29148578434526	0.454690048888486
AT1G01100	AT3G14600	1.29451070800473	0.571150624103594
AT1G01100	AT1G29965	1.30576712569091	0.405408217241891
AT1G01100	AT1G58983	1.31067589863085	0.351182926172231
AT1G01100	ATCG00830	1.3301720597754	0.258354312328501
AT1G01100	AT1G43770	1.37293605237348	0.180849851879634
AT1G01100	AT1G74270	1.44061632268105	0.344681612429888
AT1G01100	AT3G57490	1.46342383228097	0.353331684337234
AT1G01100	AT4G13170	1.48100985045257	0.354810397449551
AT1G01100	AT2G36620	1.62224977172013	0.398028630692721
AT1G01100	AT5G35530	1.72435238934263	0.332059927235505
AT1G01100	AT3G16950	1.87907016735267	0.387147232814828
AT1G01100	AT4G30800	1.90338021159254	0.354690708440521
AT1G01100	AT1G11910	4.94868082327349	0.514497503139913
AT1G01290	AT1G55040	0.165099068980579	0.716180065418883
AT1G01290	AT4G21105	0.344104197959354	0.772867010366767
AT1G01290	AT1G17350	0.408442148783698	0.450631685470517
AT1G01290	AT3G24320	0.412395054410868	0.807097073522751
AT1G01290	AT5G40930	0.425366421952928	0.571865022556549
AT1G01290	AT4G28010	0.504254806655846	0.799698181378403
AT1G01290	AT5G41685	0.535530659728762	0.75086026080451
AT1G01290	AT2G30780	0.549599764538236	0.834012045847137
AT1G01290	AT3G25430	0.574334886208733	0.804148007589059
AT1G01290	AT5G16340	0.641124760180476	0.74328745630032
AT1G01290	AT5G16370	0.738244961553674	0.70305252036958
AT1G01290	AT1G10700	0.74404959942297	0.557083837210337
AT1G01290	AT1G79490	0.766887877719577	0.755021344071693
AT1G01290	AT5G39960	0.976733619710617	0.824511401292908
AT1G01290	AT1G71310	4.26638399125178	0.55698719787744
AT1G01300	AT1G18540	0.342412207742432	0.674498817676123
AT1G01300	AT3G11130	0.37408685961797	0.592611030978983
AT1G01300	AT5G45775	0.926605432536305	0.675742803027257
AT1G01300	AT3G13580	1.0778491799134	0.715219033394483
AT1G01300	AT1G67430	1.11572050795327	0.612217495800393
AT1G01300	AT4G00100	1.12067311782747	0.575634283680484
AT1G01300	AT5G57290	1.17552407951584	0.65682715099989
AT1G01300	AT4G34980	1.69055595497026	0.783800304542111
AT1G01300	AT1G33140	4.47309402765841	0.495665967820371
AT1G01300	AT3G25520	4.59864279440404	0.660898375251611
AT1G01300	AT3G04400	4.61529274034943	0.721822652795485
AT1G01320	AT3G57660	0.0893757912818881	0.417599551890678
AT1G01320	AT5G40340	0.127530810646915	0.368994931739098
AT1G01320	AT1G67680	0.163251430056764	0.500327805105306
AT1G01320	AT4G25630	0.17858912763174	0.411378630572537
AT1G01320	AT1G62390	0.185814245611886	0.503795133836809
AT1G01320	AT3G56130	0.212171283697949	0.421559067659336
AT1G01320	AT1G29940	0.219572941252908	0.41711985342493
AT1G01320	AT5G27120	0.23500469759213	0.405961251292682
AT1G01320	AT5G61970	0.264054478218624	0.519275853288798
AT1G01320	AT1G76810	0.277637435821022	0.561672073236631
