Protein,AT2G33620,AT2G33620,AT3G04590,AT3G04590,AT1G49950,AT1G49950,AT5G67580,AT5G67580,AT3G49850,AT3G49850,WT,WT
AT2G33620,313,298,85,61,3,0,1,0,0,0,0,0
AT4G17950,114,113,155,142,0,0,0,0,1,1,0,0
AT5G51590,105,114,134,111,0,0,0,0,5,2,0,0
AT1G63480,100,105,87,86,0,0,0,0,0,0,0,0
AT4G25320,100,98,86,89,0,0,0,0,0,0,0,0
AT3G04590,90,110,392,409,0,0,0,0,2,5,0,0
AT2G45850,77,77,62,58,0,0,0,0,0,0,0,0
AT2G05920,73,77,88,81,10,8,7,14,20,11,0,18
AT1G63470,71,82,103,104,0,0,0,0,1,3,0,0
ATCG00170,54,76,56,65,9,18,0,1,5,4,0,1
AT3G61310,52,49,78,85,0,0,0,0,1,3,0,0
AT4G00200,50,63,67,67,0,0,0,0,0,0,0,0
ATCG00190,46,39,45,44,13,17,0,0,4,3,0,3
AT4G22770,41,54,73,73,0,0,0,0,0,0,0,0
AT1G16970,39,41,40,33,0,0,0,0,5,5,0,0
AT1G48050,39,46,34,34,0,2,2,3,7,7,0,0
AT1G48620,37,41,48,46,0,0,0,0,12,7,0,0
AT3G04260,32,37,26,41,8,9,0,0,3,5,0,2
AT3G48500,30,33,26,35,14,12,0,1,1,3,0,0
ATCG00180,30,33,32,29,8,10,0,0,4,1,0,1
AT1G74850,28,35,28,33,8,13,0,0,1,2,0,1
AT5G46640,26,28,28,31,0,0,0,0,0,0,0,0
AT1G63680,23,35,24,31,5,6,0,1,0,4,0,0
AT2G34640,22,25,39,24,5,8,0,0,2,1,0,0
ATCG00120,20,17,12,13,35,29,11,12,15,22,0,22
AT3G18990,20,21,20,24,0,1,0,0,0,1,0,0
AT4G20130,19,20,30,20,1,1,0,0,0,0,0,0
AT4G12080,19,21,23,16,0,0,0,0,0,0,0,0
AT1G69200,18,22,22,27,1,6,0,0,0,1,0,0
AT5G18960,18,15,1,3,0,0,0,0,0,0,0,0
AT2G04030,17,19,15,21,37,38,15,20,28,28,0,29
AT4G25210,17,15,18,11,0,0,0,0,0,1,0,0
AT4G39680,15,11,4,2,3,0,1,0,3,2,0,2
AT1G61730,15,18,14,24,0,0,0,0,1,2,0,0
AT5G19780,14,14,17,9,23,22,16,11,12,9,0,16
AT4G13940,14,10,13,14,18,24,12,15,17,18,0,25
AT3G18035,14,10,23,30,1,1,3,0,3,7,0,1
