>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346

>AT1G50920 | Symbols:  | Nucleolar GTP-binding protein | chr1:18870555-18872570 FORWARD LENGTH=671

>AT1G36960 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G48095.1); Has 54 Blast hits to 54 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:14014796-14015508 FORWARD LENGTH=181

>AT1G44020 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16716692-16718656 REVERSE LENGTH=577

>AT1G15970 | Symbols:  | DNA glycosylase superfamily protein | chr1:5486544-5488494 REVERSE LENGTH=352

>AT1G73440 | Symbols:  | calmodulin-related | chr1:27611418-27612182 FORWARD LENGTH=254

>AT1G75120 | Symbols: RRA1 | Nucleotide-diphospho-sugar transferase family protein | chr1:28197022-28198656 REVERSE LENGTH=402

>AT1G17600 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:6053026-6056572 REVERSE LENGTH=1049

>AT1G51380 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:19047960-19049967 FORWARD LENGTH=392

>AT1G77370 | Symbols:  | Glutaredoxin family protein | chr1:29073916-29074642 FORWARD LENGTH=130

>AT1G44090 | Symbols: ATGA20OX5, GA20OX5 | gibberellin 20-oxidase 5 | chr1:16760677-16762486 REVERSE LENGTH=385

>AT1G10950 | Symbols: TMN1, AtTMN1 | transmembrane nine 1 | chr1:3659322-3663622 FORWARD LENGTH=589

>AT1G31870 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol, nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2050, pre-mRNA-splicing factor (InterPro:IPR018609); Has 13303 Blast hits to 9618 proteins in 489 species: Archae - 8; Bacteria - 444; Metazoa - 7153; Fungi - 2294; Plants - 942; Viruses - 128; Other Eukaryotes - 2334 (source: NCBI BLink). | chr1:11437269-11439821 FORWARD LENGTH=561

>AT1G51360 | Symbols: ATDABB1, DABB1 | dimeric A/B barrel domainS-protein 1 | chr1:19044208-19044840 FORWARD LENGTH=210

>AT1G14940 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5154775-5155512 REVERSE LENGTH=155

>AT1G50950 | Symbols:  | Thioredoxin protein with domain of unknown function (DUF1692) | chr1:18880465-18884043 FORWARD LENGTH=484

>AT1G75110 | Symbols: RRA2 | Nucleotide-diphospho-sugar transferase family protein | chr1:28194348-28195885 REVERSE LENGTH=428

>AT1G17400 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G72490.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr1:5960920-5962245 REVERSE LENGTH=295

>AT1G09420 | Symbols: G6PD4 | glucose-6-phosphate dehydrogenase 4 | chr1:3038640-3041715 REVERSE LENGTH=625

>AT1G50930 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G20557.1); Has 215 Blast hits to 213 proteins in 63 species: Archae - 0; Bacteria - 2; Metazoa - 83; Fungi - 10; Plants - 45; Viruses - 5; Other Eukaryotes - 70 (source: NCBI BLink). | chr1:18876898-18877706 FORWARD LENGTH=196

>AT1G65960 | Symbols: GAD2 | glutamate decarboxylase 2 | chr1:24555868-24557253 FORWARD LENGTH=365

>AT1G09400 | Symbols:  | FMN-linked oxidoreductases superfamily protein | chr1:3033676-3034993 REVERSE LENGTH=324

>AT1G09415 | Symbols: NIMIN-3 | NIM1-interacting 3 | chr1:3037910-3038248 REVERSE LENGTH=112

>AT1G74730 | Symbols:  | Protein of unknown function (DUF1118) | chr1:28078995-28079831 FORWARD LENGTH=198

>AT1G75100 | Symbols: JAC1 | J-domain protein required for chloroplast accumulation response 1 | chr1:28191108-28193769 REVERSE LENGTH=651

>AT1G75240 | Symbols: AtHB33, HB33, ZHD5 | homeobox protein 33 | chr1:28241576-28242505 FORWARD LENGTH=309

>AT1G14920 | Symbols: GAI, RGA2 | GRAS family transcription factor family protein | chr1:5149414-5151015 FORWARD LENGTH=533

>AT1G65510 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: endomembrane system; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: LP.06 six leaves visible, LP.04 four leaves visible, 4 anthesis, petal differentiation and expansion stage, LP.08 eight leaves visible; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G65486.1); Has 22 Blast hits to 22 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:24359456-24359847 FORWARD LENGTH=80

>AT1G75250 | Symbols: ATRL6, RSM3, RL6 | RAD-like 6 | chr1:28245073-28245453 REVERSE LENGTH=126

>AT1G54410 | Symbols:  | dehydrin family protein | chr1:20310305-20310601 REVERSE LENGTH=98

>AT1G09410 | Symbols:  | pentatricopeptide (PPR) repeat-containing protein | chr1:3035443-3037560 FORWARD LENGTH=705

>AT1G54420 | Symbols:  | unknown protein; Has 9 Blast hits to 7 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink). | chr1:20311619-20312418 FORWARD LENGTH=120

>AT1G75090 | Symbols:  | DNA glycosylase superfamily protein | chr1:28187647-28189612 REVERSE LENGTH=329

>AT1G36950 | Symbols:  | RING/U-box superfamily protein | chr1:14009673-14010822 REVERSE LENGTH=226

>AT1G50940 | Symbols: ETFALPHA | electron transfer flavoprotein alpha | chr1:18878038-18879939 REVERSE LENGTH=363

